monopterus_albus ENSMALG00000008299
mastacembelus_armatus ENSMAMG00000023997
anabas_testudineus ENSATEG00000023908
scophthalmus_maximus ENSSMAG00000002665
cynoglossus_semilaevis ENSCSEG00000005074
seriola_lalandi_dorsalis ENSSLDG00000022284
seriola_dumerili ENSSDUG00000016341
takifugu_rubripes ENSTRUG00000022538
labrus_bergylta ENSLBEG00000022997
stegastes_partitus ENSSPAG00000002607
stegastes_partitus ENSSPAG00000002640
amphiprion_percula ENSAPEG00000013568
poecilia_formosa ENSPFOG00000010095
poecilia_mexicana ENSPMEG00000002648
poecilia_latipinna ENSPLAG00000013880
poecilia_reticulata ENSPREG00000009684
xiphophorus_maculatus ENSXMAG00000010909
xiphophorus_couchianus ENSXCOG00000016160
gambusia_affinis ENSGAFG00000001849
cyprinodon_variegatus ENSCVAG00000019448
fundulus_heteroclitus ENSFHEG00000003898
kryptolebias_marmoratus ENSKMAG00000018242
maylandia_zebra ENSMZEG00005025538
pundamilia_nyererei ENSPNYG00000004426
haplochromis_burtoni ENSHBUG00000012140
astatotilapia_calliptera ENSACLG00000013321
oreochromis_niloticus ENSONIG00000006837
amphilophus_citrinellus ENSACIG00000011214
hippocampus_comes ENSHCOG00000011697
pygocentrus_nattereri ENSPNAG00000020779
astyanax_mexicanus ENSAMXG00000034505
ictalurus_punctatus ENSIPUG00000010956
