bison_bison_bison ENSBBBG00000023658
bos_mutus ENSBMUG00000007820
sus_scrofa ENSSSCG00000033908
gorilla_gorilla ENSGGOG00000000280
homo_sapiens ENSG00000139656
pan_troglodytes ENSPTRG00000045031
pan_paniscus ENSPPAG00000029243
pongo_abelii ENSPPYG00000005328
nomascus_leucogenys ENSNLEG00000018205
papio_anubis ENSPANG00000012229
mandrillus_leucophaeus ENSMLEG00000044402
theropithecus_gelada ENSTGEG00000001746
cercocebus_atys ENSCATG00000018859
macaca_mulatta ENSMMUG00000020487
macaca_fascicularis ENSMFAG00000032449
macaca_nemestrina ENSMNEG00000042675
chlorocebus_sabaeus ENSCSAG00000017783
colobus_angolensis_palliatus ENSCANG00000038638
piliocolobus_tephrosceles ENSPTEG00000027058
rhinopithecus_bieti ENSRBIG00000043447
rhinopithecus_roxellana ENSRROG00000038502
cebus_capucinus ENSCCAG00000034428
saimiri_boliviensis_boliviensis ENSSBOG00000025045
callithrix_jacchus ENSCJAG00000017548
aotus_nancymaae ENSANAG00000018813
carlito_syrichta ENSTSYG00000013288
