canis_lupus ENSCAFG00000004370
mustela_putorius ENSMPUG00000005378
myotis_lucifugus ENSMLUG00000028294
bos_mutus ENSBMUG00000011801
ovis_aries ENSOARG00000014931
bos_indicus ENSBIXG00005017064
bos_indicus ENSBIXG00000018451
bos_taurus ENSBTAG00000027723
bos_mutus ENSBMUG00000003002
ovis_aries ENSOARG00000004640
pongo_abelii ENSPPYG00000018315
pongo_abelii ENSPPYG00000019003
echinops_telfairi ENSETEG00000014717
dasypus_novemcinctus ENSDNOG00000045465
dasypus_novemcinctus ENSDNOG00000045330
dasypus_novemcinctus ENSDNOG00000045539
dasypus_novemcinctus ENSDNOG00000044604
pongo_abelii ENSPPYG00000007009
gorilla_gorilla ENSGGOG00000039527
echinops_telfairi ENSETEG00000016952
dasypus_novemcinctus ENSDNOG00000039226
ailuropoda_melanoleuca ENSAMEG00000010911
dasypus_novemcinctus ENSDNOG00000038577
echinops_telfairi ENSETEG00000019720
sarcophilus_harrisii ENSSHAG00000014234
