chrysemys_picta_bellii ENSCPBG00000004995
chelonoidis_abingdonii ENSCABG00000004502
anas_platyrhynchos_platyrhynchos ENSAPLG00000018005
gallus_gallus ENSGALG00000041323
apteryx_rowi ENSARWG00000013582
anolis_carolinensis ENSACAG00000029280
pogona_vitticeps ENSPVIG00000009154
sphenodon_punctatus ENSSPUG00000002307
phascolarctos_cinereus ENSPCIG00000017153
notamacropus_eugenii ENSMEUG00000016219
monodelphis_domestica ENSMODG00000006319
tursiops_truncatus ENSTTRG00000009517
sus_scrofa ENSSSCG00000033444
capra_hircus ENSCHIG00000021502
ovis_aries ENSOARG00000017725
bos_taurus ENSBTAG00000006185
bos_mutus ENSBMUG00000000674
bison_bison_bison ENSBBBG00000017574
equus_caballus ENSECAG00000017469
equus_asinus_asinus ENSEASG00005005959
myotis_lucifugus ENSMLUG00000009876
pteropus_vampyrus ENSPVAG00000007791
ursus_maritimus ENSUMAG00000021404
ursus_americanus ENSUAMG00000011774
ailuropoda_melanoleuca ENSAMEG00000010824
mustela_putorius_furo ENSMPUG00000005692
neovison_vison ENSNVIG00000002387
canis_lupus_familiaris ENSCAFG00000017538
canis_lupus_dingo ENSCAFG00020025419
panthera_tigris_altaica ENSPTIG00000016884
panthera_pardus ENSPPRG00000005108
felis_catus ENSFCAG00000037284
microcebus_murinus ENSMICG00000045263
propithecus_coquereli ENSPCOG00000023772
prolemur_simus ENSPSMG00000019463
otolemur_garnettii ENSOGAG00000029829
macaca_mulatta ENSMMUG00000003612
macaca_nemestrina ENSMNEG00000032089
macaca_fascicularis ENSMFAG00000030716
papio_anubis ENSPANG00000005947
theropithecus_gelada ENSTGEG00000026568
colobus_angolensis_palliatus ENSCANG00000043422
homo_sapiens ENSG00000161888
pongo_abelii ENSPPYG00000009570
nomascus_leucogenys ENSNLEG00000012487
saimiri_boliviensis_boliviensis ENSSBOG00000024440
cebus_capucinus ENSCCAG00000025689
aotus_nancymaae ENSANAG00000037783
rhinopithecus_bieti ENSRBIG00000040083
rhinopithecus_roxellana ENSRROG00000044771
mandrillus_leucophaeus ENSMLEG00000031606
gorilla_gorilla ENSGGOG00000008573
pan_troglodytes ENSPTRG00000010491
callithrix_jacchus ENSCJAG00000005896
carlito_syrichta ENSTSYG00000029320
carlito_syrichta ENSTSYG00000013513
castor_canadensis ENSCCNG00000021833
castor_canadensis ENSCCNG00000023111
dipodomys_ordii ENSDORG00000029533
heterocephalus_glaber_male ENSHGLG00100014457
heterocephalus_glaber_female ENSHGLG00000005561
fukomys_damarensis ENSFDAG00000019917
chinchilla_lanigera ENSCLAG00000000916
octodon_degus ENSODEG00000016091
ictidomys_tridecemlineatus ENSSTOG00000008026
urocitellus_parryii ENSUPAG00010003350
spermophilus_dauricus ENSSDAG00000007282
marmota_marmota_marmota ENSMMMG00000019947
mus_musculus ENSMUSG00000074476
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031881
mus_spicilegus ENSMSIG00000015419
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033005
mus_pahari MGP_PahariEiJ_G0014747
rattus_norvegicus ENSRNOG00000029862
meriones_unguiculatus ENSMUGG00000019697
cricetulus_griseus_crigri-picr ENSCGRG00015002720
cricetulus_griseus_crigri ENSCGRG00000016851
cricetulus_griseus_chok1gshd ENSCGRG00001015236
mesocricetus_auratus ENSMAUG00000016753
peromyscus_maniculatus_bairdii ENSPEMG00000009453
nannospalax_galili ENSNGAG00000005326
jaculus_jaculus ENSJJAG00000017112
pan_paniscus ENSPPAG00000013770
erinaceus_europaeus ENSEEUG00000010460
echinops_telfairi ENSETEG00000004939
procavia_capensis ENSPCAG00000001493
microtus_ochrogaster ENSMOCG00000023025
piliocolobus_tephrosceles ENSPTEG00000013104
vulpes_vulpes ENSVVUG00000017858
loxodonta_africana ENSLAFG00000029480
ornithorhynchus_anatinus ENSOANG00000022229
xenopus_tropicalis ENSXETG00000027687
paramormyrops_kingsleyae ENSPKIG00000007607
scleropages_formosus ENSSFOG00015013634
poecilia_formosa ENSPFOG00000007227
poecilia_mexicana ENSPMEG00000003797
poecilia_latipinna ENSPLAG00000005511
poecilia_reticulata ENSPREG00000014799
xiphophorus_maculatus ENSXMAG00000004479
xiphophorus_couchianus ENSXCOG00000015639
gambusia_affinis ENSGAFG00000014961
fundulus_heteroclitus ENSFHEG00000010254
oryzias_latipes ENSORLG00020004759
oryzias_latipes ENSORLG00000015391
oryzias_latipes_asm223469v1 ENSORLG00015016698
oryzias_melastigma ENSOMEG00000007738
cynoglossus_semilaevis ENSCSEG00000014595
maylandia_zebra ENSMZEG00005004038
haplochromis_burtoni ENSHBUG00000021224
pundamilia_nyererei ENSPNYG00000000511
astatotilapia_calliptera ENSACLG00000000132
neolamprologus_brichardi ENSNBRG00000011610
oreochromis_niloticus ENSONIG00000008221
amphilophus_citrinellus ENSACIG00000021764
amphiprion_ocellaris ENSAOCG00000018925
amphiprion_percula ENSAPEG00000015408
acanthochromis_polyacanthus ENSAPOG00000003328
stegastes_partitus ENSSPAG00000003995
kryptolebias_marmoratus ENSKMAG00000012212
seriola_lalandi_dorsalis ENSSLDG00000024439
seriola_dumerili ENSSDUG00000017432
scophthalmus_maximus ENSSMAG00000003380
anabas_testudineus ENSATEG00000011284
periophthalmus_magnuspinnatus ENSPMGG00000018809
mola_mola ENSMMOG00000007592
gasterosteus_aculeatus ENSGACG00000006733
