drosophila_melanogaster FBgn0266579
caenorhabditis_elegans_strain_n2 WBGene00021132
pygocentrus_nattereri ENSPNAG00000029640
astyanax_mexicanus ENSAMXG00000042933
ictalurus_punctatus ENSIPUG00000016041
danio_rerio ENSDARG00000101703
esox_lucius ENSELUG00000014435
paramormyrops_kingsleyae ENSPKIG00000024351
lepisosteus_oculatus ENSLOCG00000003868
anolis_carolinensis ENSACAG00000029597
pogona_vitticeps ENSPVIG00000012100
notechis_scutatus ENSNSUG00000002374
salvator_merianae ENSSMRG00000008403
pogona_vitticeps ENSPVIG00000012082
anolis_carolinensis ENSACAG00000012552
salvator_merianae ENSSMRG00000006783
gopherus_agassizii ENSGAGG00000003991
chrysemys_picta_bellii ENSCPBG00000019484
pelodiscus_sinensis ENSPSIG00000012630
pelodiscus_sinensis ENSPSIG00000009184
monodelphis_domestica ENSMODG00000019294
ornithorhynchus_anatinus ENSOANG00000011811
xenopus_tropicalis ENSXETG00000032851
petromyzon_marinus ENSPMAG00000003235
ciona_intestinalis ENSCING00000011471
ciona_savignyi ENSCSAVG00000010451
