myotis_lucifugus ENSMLUG00000026524
erinaceus_europaeus ENSEEUG00000012257
ovis_aries ENSOARG00000006599
capra_hircus ENSCHIG00000021696
bos_mutus ENSBMUG00000014189
bos_taurus ENSBTAG00000025449
bison_bison_bison ENSBBBG00000017944
sus_scrofa ENSSSCG00000001416
tursiops_truncatus ENSTTRG00000014104
pteropus_vampyrus ENSPVAG00000012383
ursus_americanus ENSUAMG00000012225
ursus_maritimus ENSUMAG00000014142
ailuropoda_melanoleuca ENSAMEG00000009267
neovison_vison ENSNVIG00000015806
mustela_putorius_furo ENSMPUG00000011124
canis_lupus_dingo ENSCAFG00020020715
vulpes_vulpes ENSVVUG00000020920
canis_lupus_familiaris ENSCAFG00000000606
panthera_pardus ENSPPRG00000004751
panthera_tigris_altaica ENSPTIG00000014347
felis_catus ENSFCAG00000027029
equus_asinus_asinus ENSEASG00005016257
equus_caballus ENSECAG00000011814
propithecus_coquereli ENSPCOG00000016834
prolemur_simus ENSPSMG00000017943
microcebus_murinus ENSMICG00000045037
otolemur_garnettii ENSOGAG00000027034
pan_troglodytes ENSPTRG00000017976
pan_paniscus ENSPPAG00000043902
gorilla_gorilla ENSGGOG00000009963
homo_sapiens ENSG00000204428
pongo_abelii ENSPPYG00000016449
nomascus_leucogenys ENSNLEG00000031008
rhinopithecus_bieti ENSRBIG00000044843
rhinopithecus_roxellana ENSRROG00000015327
colobus_angolensis_palliatus ENSCANG00000041119
piliocolobus_tephrosceles ENSPTEG00000036702
macaca_nemestrina ENSMNEG00000044640
macaca_fascicularis ENSMFAG00000046088
mandrillus_leucophaeus ENSMLEG00000031241
cercocebus_atys ENSCATG00000038541
theropithecus_gelada ENSTGEG00000029387
papio_anubis ENSPANG00000022234
chlorocebus_sabaeus ENSCSAG00000008618
saimiri_boliviensis_boliviensis ENSSBOG00000034599
cebus_capucinus ENSCCAG00000029153
callithrix_jacchus ENSCJAG00000002989
aotus_nancymaae ENSANAG00000027649
mus_spicilegus ENSMSIG00000005761
mus_musculus ENSMUSG00000034482
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022408
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021503
mus_pahari MGP_PahariEiJ_G0020498
rattus_norvegicus ENSRNOG00000000846
peromyscus_maniculatus_bairdii ENSPEMG00000004879
nannospalax_galili ENSNGAG00000018931
chinchilla_lanigera ENSCLAG00000012352
octodon_degus ENSODEG00000017654
cavia_aperea ENSCAPG00000008844
cavia_porcellus ENSCPOG00000010796
fukomys_damarensis ENSFDAG00000016691
castor_canadensis ENSCCNG00000011248
oryctolagus_cuniculus ENSOCUG00000007942
ochotona_princeps ENSOPRG00000003317
urocitellus_parryii ENSUPAG00010020418
marmota_marmota_marmota ENSMMMG00000009985
spermophilus_dauricus ENSSDAG00000005987
ictidomys_tridecemlineatus ENSSTOG00000013012
carlito_syrichta ENSTSYG00000037258
dasypus_novemcinctus ENSDNOG00000046113
loxodonta_africana ENSLAFG00000031499
