ictalurus_punctatus ENSIPUG00000013845
electrophorus_electricus ENSEEEG00000019887
astyanax_mexicanus ENSAMXG00000015497
astyanax_mexicanus ENSAMXG00005016187
pygocentrus_nattereri ENSPNAG00000001178
danio_rerio ENSDARG00000071025
seriola_dumerili ENSSDUG00000004316
seriola_lalandi ENSSLDG00000009636
mastacembelus_armatus ENSMAMG00000002848
mola_mola ENSMMOG00000021093
amphiprion_ocellaris ENSAOCG00000009643
stegastes_partitus ENSSPAG00000005844
xiphophorus_couchianus ENSXCOG00000011052
xiphophorus_maculatus ENSXMAG00000020979
poecilia_formosa ENSPFOG00000023713
haplochromis_burtoni ENSHBUG00000021141
pundamilia_nyererei ENSPNYG00000002143
neolamprologus_brichardi ENSNBRG00000016213
monopterus_albus ENSMALG00000001919
anabas_testudineus ENSATEG00000007281
scophthalmus_maximus ENSSMAG00000000010
cynoglossus_semilaevis ENSCSEG00000009143
esox_lucius ENSELUG00000002029
lepisosteus_oculatus ENSLOCG00000010790
zonotrichia_albicollis ENSZALG00000017856
taeniopygia_guttata ENSTGUG00000009996
ficedula_albicollis ENSFALG00000003952
parus_major ENSPMJG00000018263
cyanistes_caeruleus ENSCCEG00000023329
lepidothrix_coronata ENSLCOG00000016070
calidris_pygmaea ENSCPGG00000001226
calidris_pugnax ENSCPUG00000007830
gallus_gallus ENSGALG00000008562
meleagris_gallopavo ENSMGAG00000008408
coturnix_japonica ENSCJPG00005010797
numida_meleagris ENSNMEG00000021813
apteryx_haastii ENSAHAG00000015863
apteryx_rowi ENSARWG00000004108
dromaius_novaehollandiae ENSDNVG00000015833
crocodylus_porosus ENSCPRG00005001912
gopherus_agassizii ENSGAGG00000012063
chelonoidis_abingdonii ENSCABG00000021630
chrysemys_picta ENSCPBG00000020053
pelodiscus_sinensis ENSPSIG00000017788
pogona_vitticeps ENSPVIG00000002840
anolis_carolinensis ENSACAG00000028631
equus_caballus ENSECAG00000006820
equus_asinus ENSEASG00005002938
myotis_lucifugus ENSMLUG00000028179
ursus_americanus ENSUAMG00000015478
ursus_maritimus ENSUMAG00000022576
neovison_vison ENSNVIG00000005190
canis_lupus ENSCAFG00020027434
canis_lupus ENSCAFG00000024719
vulpes_vulpes ENSVVUG00000011958
panthera_pardus ENSPPRG00000005491
panthera_tigris ENSPTIG00000011914
felis_catus ENSFCAG00000024422
bos_indicus ENSBIXG00000017943
bos_indicus ENSBIXG00005031615
bos_mutus ENSBMUG00000019682
bos_taurus ENSBTAG00000046454
bison_bison ENSBBBG00000010949
ovis_aries ENSOARG00000018743
capra_hircus ENSCHIG00000016602
sus_scrofa ENSSSCG00000035158
castor_canadensis ENSCCNG00000008832
dipodomys_ordii ENSDORG00000028814
mus_spretus MGP_SPRETEiJ_G0015009
mus_spicilegus ENSMSIG00000013289
mus_musculus ENSMUSG00000069085
mus_caroli MGP_CAROLIEiJ_G0014202
mus_pahari MGP_PahariEiJ_G0027440
rattus_norvegicus ENSRNOG00000042181
meriones_unguiculatus ENSMUGG00000000571
peromyscus_maniculatus ENSPEMG00000020630
microtus_ochrogaster ENSMOCG00000015652
cricetulus_griseus ENSCGRG00015028873
cricetulus_griseus ENSCGRG00000010793
cricetulus_griseus ENSCGRG00001017611
mesocricetus_auratus ENSMAUG00000021422
jaculus_jaculus ENSJJAG00000016868
urocitellus_parryii ENSUPAG00010007862
ictidomys_tridecemlineatus ENSSTOG00000019822
marmota_marmota ENSMMMG00000014828
chinchilla_lanigera ENSCLAG00000003705
octodon_degus ENSODEG00000009029
oryctolagus_cuniculus ENSOCUG00000021490
pan_troglodytes ENSPTRG00000042355
pan_paniscus ENSPPAG00000008787
homo_sapiens ENSG00000232125
gorilla_gorilla ENSGGOG00000027242
nomascus_leucogenys ENSNLEG00000007113
theropithecus_gelada ENSTGEG00000004032
cercocebus_atys ENSCATG00000035275
papio_anubis ENSPANG00000011028
macaca_mulatta ENSMMUG00000048288
macaca_nemestrina ENSMNEG00000038040
macaca_fascicularis ENSMFAG00000044098
mandrillus_leucophaeus ENSMLEG00000040225
chlorocebus_sabaeus ENSCSAG00000010181
piliocolobus_tephrosceles ENSPTEG00000034086
colobus_angolensis ENSCANG00000030833
rhinopithecus_bieti ENSRBIG00000028505
rhinopithecus_roxellana ENSRROG00000042201
saimiri_boliviensis ENSSBOG00000026100
cebus_capucinus ENSCCAG00000036386
callithrix_jacchus ENSCJAG00000005926
aotus_nancymaae ENSANAG00000031986
carlito_syrichta ENSTSYG00000025995
prolemur_simus ENSPSMG00000007453
propithecus_coquereli ENSPCOG00000020018
microcebus_murinus ENSMICG00000027944
otolemur_garnettii ENSOGAG00000027434
dasypus_novemcinctus ENSDNOG00000038637
loxodonta_africana ENSLAFG00000032161
ailuropoda_melanoleuca ENSAMEG00000002947
latimeria_chalumnae ENSLACG00000000950
