manacus_vitellinus ENSMVIG00005013973
lepidothrix_coronata ENSLCOG00000001719
junco_hyemalis ENSJHYG00000006432
zonotrichia_albicollis ENSZALG00000011533
serinus_canaria ENSSCAG00000014462
taeniopygia_guttata ENSTGUG00000013284
lonchura_striata_domestica ENSLSDG00000011874
ficedula_albicollis ENSFALG00000002477
cyanistes_caeruleus ENSCCEG00000020936
cyanistes_caeruleus ENSCCEG00000020943
parus_major ENSPMJG00000013026
calidris_pygmaea ENSCPGG00000014865
calidris_pugnax ENSCPUG00000008847
gallus_gallus ENSGALG00000016668
coturnix_japonica ENSCJPG00005001035
gallus_gallus ENSGALG00000047285
meleagris_gallopavo ENSMGAG00000014212
numida_meleagris ENSNMEG00000008253
anas_platyrhynchos_platyrhynchos ENSAPLG00000031088
anser_brachyrhynchus ENSABRG00000003728
apteryx_owenii ENSAOWG00000019346
apteryx_haastii ENSAHAG00000017854
apteryx_rowi ENSARWG00000007640
dromaius_novaehollandiae ENSDNVG00000015425
nothoprocta_perdicaria ENSNPEG00000008178
