oryzias_latipes_asm223469v1 ENSORLG00015016914
oryzias_melastigma ENSOMEG00000000393
cyprinodon_variegatus ENSCVAG00000012057
pundamilia_nyererei ENSPNYG00000023938
poecilia_latipinna ENSPLAG00000001673
poecilia_formosa ENSPFOG00000020410
poecilia_mexicana ENSPMEG00000004142
cyprinodon_variegatus ENSCVAG00000012434
neolamprologus_brichardi ENSNBRG00000010468
pundamilia_nyererei ENSPNYG00000024157
acanthochromis_polyacanthus ENSAPOG00000011746
fundulus_heteroclitus ENSFHEG00000015458
labrus_bergylta ENSLBEG00000012370
monopterus_albus ENSMALG00000006528
haplochromis_burtoni ENSHBUG00000017335
pygocentrus_nattereri ENSPNAG00000016743
paramormyrops_kingsleyae ENSPKIG00000022068
paramormyrops_kingsleyae ENSPKIG00000019592
paramormyrops_kingsleyae ENSPKIG00000019614
paramormyrops_kingsleyae ENSPKIG00000019574
