anser_brachyrhynchus ENSABRG00000003189
anas_platyrhynchos_platyrhynchos ENSAPLG00000005038
gallus_gallus ENSGALG00000039120
meleagris_gallopavo ENSMGAG00000002828
numida_meleagris ENSNMEG00000005250
cyanistes_caeruleus ENSCCEG00000001045
taeniopygia_guttata ENSTGUG00000000174
ficedula_albicollis ENSFALG00000001904
lepidothrix_coronata ENSLCOG00000012088
manacus_vitellinus ENSMVIG00005019475
apteryx_rowi ENSARWG00000012563
apteryx_haastii ENSAHAG00000008974
pelodiscus_sinensis ENSPSIG00000017255
gopherus_agassizii ENSGAGG00000012367
chelonoidis_abingdonii ENSCABG00000021628
chrysemys_picta_bellii ENSCPBG00000015788
crocodylus_porosus ENSCPRG00005002905
pogona_vitticeps ENSPVIG00000011160
anolis_carolinensis ENSACAG00000005672
notechis_scutatus ENSNSUG00000010149
salvator_merianae ENSSMRG00000016986
anolis_carolinensis ENSACAG00000004678
sphenodon_punctatus ENSSPUG00000012982
latimeria_chalumnae ENSLACG00000008199
xenopus_tropicalis ENSXETG00000021305
ursus_americanus ENSUAMG00000025544
ursus_maritimus ENSUMAG00000004119
ailuropoda_melanoleuca ENSAMEG00000012660
neovison_vison ENSNVIG00000022053
mustela_putorius_furo ENSMPUG00000015073
canis_lupus_dingo ENSCAFG00020014132
canis_lupus_familiaris ENSCAFG00000013517
vulpes_vulpes ENSVVUG00000003652
panthera_pardus ENSPPRG00000012827
panthera_tigris_altaica ENSPTIG00000014904
felis_catus ENSFCAG00000015475
equus_asinus_asinus ENSEASG00005008157
equus_caballus ENSECAG00000015086
capra_hircus ENSCHIG00000022993
ovis_aries ENSOARG00000005857
bison_bison_bison ENSBBBG00000001294
bos_mutus ENSBMUG00000016839
tursiops_truncatus ENSTTRG00000015858
sus_scrofa ENSSSCG00000011330
pteropus_vampyrus ENSPVAG00000004207
myotis_lucifugus ENSMLUG00000009943
sorex_araneus ENSSARG00000001412
chinchilla_lanigera ENSCLAG00000016378
octodon_degus ENSODEG00000010896
cavia_porcellus ENSCPOG00000008167
cavia_aperea ENSCAPG00000007762
heterocephalus_glaber_female ENSHGLG00000013814
heterocephalus_glaber_male ENSHGLG00100009133
fukomys_damarensis ENSFDAG00000012456
marmota_marmota_marmota ENSMMMG00000006514
ictidomys_tridecemlineatus ENSSTOG00000003096
spermophilus_dauricus ENSSDAG00000004167
castor_canadensis ENSCCNG00000007969
dipodomys_ordii ENSDORG00000016568
mus_spicilegus ENSMSIG00000024861
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033884
mus_musculus ENSMUSG00000056724
