macaca_mulatta ENSMMUG00000037734
colobus_angolensis_palliatus ENSCANG00000018360
nomascus_leucogenys ENSNLEG00000029703
callithrix_jacchus ENSCJAG00000042353
prolemur_simus ENSPSMG00000003421
spermophilus_dauricus ENSSDAG00000010906
spermophilus_dauricus ENSSDAG00000007529
spermophilus_dauricus ENSSDAG00000015559
spermophilus_dauricus ENSSDAG00000010902
ictidomys_tridecemlineatus ENSSTOG00000019717
dipodomys_ordii ENSDORG00000024292
dipodomys_ordii ENSDORG00000028710
microtus_ochrogaster ENSMOCG00000006601
peromyscus_maniculatus_bairdii ENSPEMG00000001703
cricetulus_griseus_chok1gshd ENSCGRG00001000965
mesocricetus_auratus ENSMAUG00000011822
rattus_norvegicus ENSRNOG00000048267
nannospalax_galili ENSNGAG00000004722
nannospalax_galili ENSNGAG00000001249
jaculus_jaculus ENSJJAG00000011660
jaculus_jaculus ENSJJAG00000002456
jaculus_jaculus ENSJJAG00000010631
octodon_degus ENSODEG00000018951
chinchilla_lanigera ENSCLAG00000017855
fukomys_damarensis ENSFDAG00000001257
fukomys_damarensis ENSFDAG00000002481
heterocephalus_glaber_female ENSHGLG00000011896
heterocephalus_glaber_male ENSHGLG00100000225
cavia_porcellus ENSCPOG00000033080
tursiops_truncatus ENSTTRG00000014499
sus_scrofa ENSSSCG00000029261
bison_bison_bison ENSBBBG00000002937
ailuropoda_melanoleuca ENSAMEG00000019343
neovison_vison ENSNVIG00000018913
canis_lupus_dingo ENSCAFG00020014461
panthera_tigris_altaica ENSPTIG00000004327
panthera_pardus ENSPPRG00000022134
myotis_lucifugus ENSMLUG00000026062
equus_asinus_asinus ENSEASG00005012962
equus_asinus_asinus ENSEASG00005021985
equus_caballus ENSECAG00000035477
myotis_lucifugus ENSMLUG00000029208
vicugna_pacos ENSVPAG00000000714
urocitellus_parryii ENSUPAG00010019103
spermophilus_dauricus ENSSDAG00000010861
marmota_marmota_marmota ENSMMMG00000018743
loxodonta_africana ENSLAFG00000020905
procavia_capensis ENSPCAG00000006632
pteropus_vampyrus ENSPVAG00000012206
vicugna_pacos ENSVPAG00000011792
oryctolagus_cuniculus ENSOCUG00000023567
choloepus_hoffmanni ENSCHOG00000004955
