scophthalmus_maximus ENSSMAG00000007741
cynoglossus_semilaevis ENSCSEG00000009107
acanthochromis_polyacanthus ENSAPOG00000013897
stegastes_partitus ENSSPAG00000015632
gambusia_affinis ENSGAFG00000001471
poecilia_reticulata ENSPREG00000014518
cyprinodon_variegatus ENSCVAG00000014002
fundulus_heteroclitus ENSFHEG00000008635
oryzias_melastigma ENSOMEG00000011458
astatotilapia_calliptera ENSACLG00000022563
maylandia_zebra ENSMZEG00005007683
haplochromis_burtoni ENSHBUG00000004406
pundamilia_nyererei ENSPNYG00000012708
neolamprologus_brichardi ENSNBRG00000008890
amphilophus_citrinellus ENSACIG00000013943
mastacembelus_armatus ENSMAMG00000001416
labrus_bergylta ENSLBEG00000004980
kryptolebias_marmoratus ENSKMAG00000003718
hippocampus_comes ENSHCOG00000010488
periophthalmus_magnuspinnatus ENSPMGG00000017056
scleropages_formosus ENSSFOG00015012103
parus_major ENSPMJG00000013490
lonchura_striata_domestica ENSLSDG00000006807
calidris_pygmaea ENSCPGG00000004133
