anas_platyrhynchos ENSAPLG00000021653
anser_brachyrhynchus ENSABRG00000020576
gallus_gallus ENSGALG00000033927
coturnix_japonica ENSCJPG00005007960
numida_meleagris ENSNMEG00000005201
calidris_pygmaea ENSCPGG00000001721
calidris_pugnax ENSCPUG00000015775
canis_lupus ENSCAFG00020021254
canis_lupus ENSCAFG00000007035
vulpes_vulpes ENSVVUG00000028067
neovison_vison ENSNVIG00000000383
mustela_putorius ENSMPUG00000006104
ursus_maritimus ENSUMAG00000009999
ursus_americanus ENSUAMG00000003295
ailuropoda_melanoleuca ENSAMEG00000019354
panthera_pardus ENSPPRG00000015955
panthera_tigris ENSPTIG00000005497
felis_catus ENSFCAG00000005873
myotis_lucifugus ENSMLUG00000017285
bos_indicus ENSBIXG00005014976
bos_indicus ENSBIXG00000022680
bos_taurus ENSBTAG00000008933
bos_mutus ENSBMUG00000022313
bison_bison ENSBBBG00000006967
ovis_aries ENSOARG00000016615
sus_scrofa ENSSSCG00000000264
vicugna_pacos ENSVPAG00000000948
equus_asinus ENSEASG00005009753
equus_caballus ENSECAG00000022554
dasypus_novemcinctus ENSDNOG00000032000
chinchilla_lanigera ENSCLAG00000010550
octodon_degus ENSODEG00000014360
cavia_porcellus ENSCPOG00000021484
cavia_aperea ENSCAPG00000004067
heterocephalus_glaber ENSHGLG00100019114
heterocephalus_glaber ENSHGLG00000019577
fukomys_damarensis ENSFDAG00000016719
urocitellus_parryii ENSUPAG00010002873
urocitellus_parryii ENSUPAG00010020994
spermophilus_dauricus ENSSDAG00000009442
ictidomys_tridecemlineatus ENSSTOG00000004229
marmota_marmota ENSMMMG00000002535
castor_canadensis ENSCCNG00000021192
dipodomys_ordii ENSDORG00000012006
microtus_ochrogaster ENSMOCG00000015218
peromyscus_maniculatus ENSPEMG00000013196
cricetulus_griseus ENSCGRG00001009958
cricetulus_griseus ENSCGRG00000003962
cricetulus_griseus ENSCGRG00015028648
mesocricetus_auratus ENSMAUG00000020935
mus_spicilegus ENSMSIG00000025738
mus_spretus MGP_SPRETEiJ_G0021237
mus_musculus ENSMUSG00000045665
mus_caroli MGP_CAROLIEiJ_G0020344
mus_pahari MGP_PahariEiJ_G0020343
rattus_norvegicus ENSRNOG00000012832
meriones_unguiculatus ENSMUGG00000014740
nannospalax_galili ENSNGAG00000020403
jaculus_jaculus ENSJJAG00000019216
oryctolagus_cuniculus ENSOCUG00000011242
propithecus_coquereli ENSPCOG00000003152
microcebus_murinus ENSMICG00000014231
prolemur_simus ENSPSMG00000019914
pan_paniscus ENSPPAG00000035626
pan_troglodytes ENSPTRG00000005008
homo_sapiens ENSG00000182544
gorilla_gorilla ENSGGOG00000004121
pongo_abelii ENSPPYG00000004573
nomascus_leucogenys ENSNLEG00000017713
macaca_fascicularis ENSMFAG00000045867
macaca_mulatta ENSMMUG00000022020
macaca_nemestrina ENSMNEG00000045251
cercocebus_atys ENSCATG00000042670
mandrillus_leucophaeus ENSMLEG00000036087
theropithecus_gelada ENSTGEG00000008140
papio_anubis ENSPANG00000002873
chlorocebus_sabaeus ENSCSAG00000019257
rhinopithecus_bieti ENSRBIG00000038377
rhinopithecus_roxellana ENSRROG00000037319
colobus_angolensis ENSCANG00000037810
saimiri_boliviensis ENSSBOG00000004420
cebus_capucinus ENSCCAG00000029742
callithrix_jacchus ENSCJAG00000018442
aotus_nancymaae ENSANAG00000007415
carlito_syrichta ENSTSYG00000030372
otolemur_garnettii ENSOGAG00000009445
loxodonta_africana ENSLAFG00000008349
phascolarctos_cinereus ENSPCIG00000005331
vombatus_ursinus ENSVURG00010011235
notamacropus_eugenii ENSMEUG00000005400
monodelphis_domestica ENSMODG00000022724
apteryx_owenii ENSAOWG00000019248
apteryx_haastii ENSAHAG00000001866
apteryx_rowi ENSARWG00000005455
dromaius_novaehollandiae ENSDNVG00000005993
nothoprocta_perdicaria ENSNPEG00000011327
crocodylus_porosus ENSCPRG00005007633
gopherus_agassizii ENSGAGG00000009640
chelonoidis_abingdonii ENSCABG00000005033
chrysemys_picta ENSCPBG00000019716
pelodiscus_sinensis ENSPSIG00000014686
anolis_carolinensis ENSACAG00000006761
pogona_vitticeps ENSPVIG00000023911
notechis_scutatus ENSNSUG00000007103
salvator_merianae ENSSMRG00000001981
sphenodon_punctatus ENSSPUG00000017663
latimeria_chalumnae ENSLACG00000014751
paramormyrops_kingsleyae ENSPKIG00000003605
scleropages_formosus ENSSFOG00015007205
denticeps_clupeoides ENSDCDG00000004049
clupea_harengus ENSCHAG00000026783
electrophorus_electricus ENSEEEG00000019591
ictalurus_punctatus ENSIPUG00000022317
astyanax_mexicanus ENSAMXG00005011619
astyanax_mexicanus ENSAMXG00000029283
pygocentrus_nattereri ENSPNAG00000021003
danio_rerio ENSDARG00000015997
seriola_dumerili ENSSDUG00000013684
seriola_lalandi ENSSLDG00000004282
lates_calcarifer ENSLCAG00010023896
scophthalmus_maximus ENSSMAG00000004331
monopterus_albus ENSMALG00000014445
mastacembelus_armatus ENSMAMG00000007367
anabas_testudineus ENSATEG00000022657
amphiprion_ocellaris ENSAOCG00000024195
amphiprion_percula ENSAPEG00000003689
acanthochromis_polyacanthus ENSAPOG00000014017
stegastes_partitus ENSSPAG00000022372
parambassis_ranga ENSPRNG00000019953
amphilophus_citrinellus ENSACIG00000013459
amphilophus_citrinellus ENSACIG00000016110
maylandia_zebra ENSMZEG00005027191
maylandia_zebra ENSMZEG00005027192
astatotilapia_calliptera ENSACLG00000006747
pundamilia_nyererei ENSPNYG00000017556
haplochromis_burtoni ENSHBUG00000005399
neolamprologus_brichardi ENSNBRG00000018022
oreochromis_niloticus ENSONIG00000012211
oryzias_latipes ENSORLG00015022506
oryzias_latipes ENSORLG00020006859
oryzias_latipes ENSORLG00000007829
oryzias_melastigma ENSOMEG00000016300
cottoperca_gobio ENSCGOG00000003467
larimichthys_crocea ENSLCRG00005010656
labrus_bergylta ENSLBEG00000010541
mola_mola ENSMMOG00000009193
kryptolebias_marmoratus ENSKMAG00000021102
gouania_willdenowi ENSGWIG00000002627
cynoglossus_semilaevis ENSCSEG00000008090
takifugu_rubripes ENSTRUG00000021121
tetraodon_nigroviridis ENSTNIG00000015053
gasterosteus_aculeatus ENSGACG00000009351
betta_splendens ENSBSLG00000011650
hippocampus_comes ENSHCOG00000019846
poecilia_formosa ENSPFOG00000002556
poecilia_latipinna ENSPLAG00000012640
poecilia_mexicana ENSPMEG00000003467
poecilia_reticulata ENSPREG00000020447
xiphophorus_couchianus ENSXCOG00000007005
xiphophorus_maculatus ENSXMAG00000025050
gambusia_affinis ENSGAFG00000008938
cyprinodon_variegatus ENSCVAG00000012887
fundulus_heteroclitus ENSFHEG00000023369
gadus_morhua ENSGMOG00000010079
hucho_hucho ENSHHUG00000036376
hucho_hucho ENSHHUG00000004652
esox_lucius ENSELUG00000007715
lepisosteus_oculatus ENSLOCG00000018206
erpetoichthys_calabaricus ENSECRG00000008312
callorhinchus_milii ENSCMIG00000017002
xenopus_tropicalis ENSXETG00000005914
lonchura_striata ENSLSDG00000018227
taeniopygia_guttata ENSTGUG00000015786
junco_hyemalis ENSJHYG00000005076
parus_major ENSPMJG00000001907
cyanistes_caeruleus ENSCCEG00000022649
ficedula_albicollis ENSFALG00000004364
lepidothrix_coronata ENSLCOG00000007833
petromyzon_marinus ENSPMAG00000008595
ciona_intestinalis ENSCING00000020374
