stegastes_partitus ENSSPAG00000001420
acanthochromis_polyacanthus ENSAPOG00000000110
monopterus_albus ENSMALG00000008154
mastacembelus_armatus ENSMAMG00000019232
haplochromis_burtoni ENSHBUG00000008605
pundamilia_nyererei ENSPNYG00000017245
maylandia_zebra ENSMZEG00005015086
astatotilapia_calliptera ENSACLG00000013337
neolamprologus_brichardi ENSNBRG00000002737
amphilophus_citrinellus ENSACIG00000011378
anabas_testudineus ENSATEG00000017069
mola_mola ENSMMOG00000018636
labrus_bergylta ENSLBEG00000005677
labrus_bergylta ENSLBEG00000024592
larimichthys_crocea ENSLCRG00005010005
takifugu_rubripes ENSTRUG00000025913
betta_splendens ENSBSLG00000007546
periophthalmus_magnuspinnatus ENSPMGG00000010532
parambassis_ranga ENSPRNG00000023429
gouania_willdenowi ENSGWIG00000005224
seriola_lalandi ENSSLDG00000004619
seriola_dumerili ENSSDUG00000018858
lates_calcarifer ENSLCAG00010025969
hucho_hucho ENSHHUG00000051485
esox_lucius ENSELUG00000016138
