monopterus_albus ENSMALG00000006656
anabas_testudineus ENSATEG00000003707
scophthalmus_maximus ENSSMAG00000015018
seriola_lalandi_dorsalis ENSSLDG00000015210
haplochromis_burtoni ENSHBUG00000012378
astatotilapia_calliptera ENSACLG00000006024
neolamprologus_brichardi ENSNBRG00000015274
neolamprologus_brichardi ENSNBRG00000015212
poecilia_mexicana ENSPMEG00000000728
poecilia_formosa ENSPFOG00000022235
poecilia_formosa ENSPFOG00000007830
poecilia_reticulata ENSPREG00000000820
gambusia_affinis ENSGAFG00000007597
cyprinodon_variegatus ENSCVAG00000004279
amphiprion_percula ENSAPEG00000000406
amphiprion_ocellaris ENSAOCG00000005564
acanthochromis_polyacanthus ENSAPOG00000012005
acanthochromis_polyacanthus ENSAPOG00000012132
stegastes_partitus ENSSPAG00000008630
labrus_bergylta ENSLBEG00000013619
hippocampus_comes ENSHCOG00000006416
periophthalmus_magnuspinnatus ENSPMGG00000021501
gadus_morhua ENSGMOG00000014305
esox_lucius ENSELUG00000014821
astyanax_mexicanus ENSAMXG00000006657
pygocentrus_nattereri ENSPNAG00000008763
ictalurus_punctatus ENSIPUG00000024166
danio_rerio ENSDARG00000101697
paramormyrops_kingsleyae ENSPKIG00000011605
lepisosteus_oculatus ENSLOCG00000011213
mus_musculus ENSMUSG00000079679
rattus_norvegicus ENSRNOG00000024709
microtus_ochrogaster ENSMOCG00000008088
dipodomys_ordii ENSDORG00000012385
spermophilus_dauricus ENSSDAG00000006787
ictidomys_tridecemlineatus ENSSTOG00000003203
urocitellus_parryii ENSUPAG00010010662
marmota_marmota_marmota ENSMMMG00000014055
castor_canadensis ENSCCNG00000006969
fukomys_damarensis ENSFDAG00000018842
chinchilla_lanigera ENSCLAG00000003804
jaculus_jaculus ENSJJAG00000010406
pan_paniscus ENSPPAG00000036870
pongo_abelii ENSPPYG00000017775
ovis_aries ENSOARG00000007341
capra_hircus ENSCHIG00000023500
sus_scrofa ENSSSCG00000022543
sorex_araneus ENSSARG00000008261
equus_asinus_asinus ENSEASG00005021097
ursus_maritimus ENSUMAG00000021871
ursus_americanus ENSUAMG00000011544
canis_lupus_dingo ENSCAFG00020010202
vicugna_pacos ENSVPAG00000009094
tursiops_truncatus ENSTTRG00000005927
pteropus_vampyrus ENSPVAG00000015270
tupaia_belangeri ENSTBEG00000014676
procavia_capensis ENSPCAG00000013195
phascolarctos_cinereus ENSPCIG00000011694
sarcophilus_harrisii ENSSHAG00000014230
monodelphis_domestica ENSMODG00000014184
petromyzon_marinus ENSPMAG00000005782
ciona_intestinalis ENSCING00000016512
