carlito_syrichta ENSTSYG00000010583
spermophilus_dauricus ENSSDAG00000008164
ursus_maritimus ENSUMAG00000006247
ailuropoda_melanoleuca ENSAMEG00000002176
canis_lupus_familiaris ENSCAFG00000010092
pteropus_vampyrus ENSPVAG00000012244
gorilla_gorilla ENSGGOG00000022826
homo_sapiens ENSG00000129965
pan_paniscus ENSPPAG00000040990
pan_troglodytes ENSPTRG00000003172
pongo_abelii ENSPPYG00000002923
nomascus_leucogenys ENSNLEG00000013456
macaca_mulatta ENSMMUG00000031267
procavia_capensis ENSPCAG00000013064
propithecus_coquereli ENSPCOG00000016945
microcebus_murinus ENSMICG00000009410
prolemur_simus ENSPSMG00000019979
otolemur_garnettii ENSOGAG00000034796
papio_anubis ENSPANG00000014163
theropithecus_gelada ENSTGEG00000026700
macaca_nemestrina ENSMNEG00000036460
macaca_fascicularis ENSMFAG00000000997
mandrillus_leucophaeus ENSMLEG00000032291
cercocebus_atys ENSCATG00000044493
chlorocebus_sabaeus ENSCSAG00000009797
rhinopithecus_bieti ENSRBIG00000031966
rhinopithecus_roxellana ENSRROG00000040762
piliocolobus_tephrosceles ENSPTEG00000014201
colobus_angolensis_palliatus ENSCANG00000040794
homo_sapiens ENSG00000254647
callithrix_jacchus ENSCJAG00000035804
saimiri_boliviensis_boliviensis ENSSBOG00000032252
cebus_capucinus ENSCCAG00000029201
aotus_nancymaae ENSANAG00000028907
tupaia_belangeri ENSTBEG00000007275
castor_canadensis ENSCCNG00000030523
dipodomys_ordii ENSDORG00000023976
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023988
mus_spicilegus ENSMSIG00000031363
mus_musculus ENSMUSG00000035804
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023067
mus_pahari MGP_PahariEiJ_G0014557
rattus_norvegicus ENSRNOG00000012052
mus_spicilegus ENSMSIG00000007364
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031838
mus_musculus ENSMUSG00000000215
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030729
mus_pahari MGP_PahariEiJ_G0013925
rattus_norvegicus ENSRNOG00000020405
meriones_unguiculatus ENSMUGG00000019885
microtus_ochrogaster ENSMOCG00000013477
peromyscus_maniculatus_bairdii ENSPEMG00000018633
cricetulus_griseus_crigri ENSCGRG00000006693
cricetulus_griseus_crigri-picr ENSCGRG00015022912
cricetulus_griseus_chok1gshd ENSCGRG00001024085
mesocricetus_auratus ENSMAUG00000018376
nannospalax_galili ENSNGAG00000015581
jaculus_jaculus ENSJJAG00000012396
urocitellus_parryii ENSUPAG00010006705
marmota_marmota_marmota ENSMMMG00000004855
ictidomys_tridecemlineatus ENSSTOG00000026937
heterocephalus_glaber_male ENSHGLG00100002636
heterocephalus_glaber_female ENSHGLG00000019348
fukomys_damarensis ENSFDAG00000001978
cavia_porcellus ENSCPOG00000031250
cavia_aperea ENSCAPG00000015350
octodon_degus ENSODEG00000017307
chinchilla_lanigera ENSCLAG00000015849
oryctolagus_cuniculus ENSOCUG00000000243
bos_taurus ENSBTAG00000013003
bos_mutus ENSBMUG00000020393
capra_hircus ENSCHIG00000011044
sus_scrofa ENSSSCG00000033740
canis_lupus_dingo ENSCAFG00020017402
vulpes_vulpes ENSVVUG00000002675
ursus_americanus ENSUAMG00000020859
mustela_putorius_furo ENSMPUG00000005638
neovison_vison ENSNVIG00000007708
panthera_pardus ENSPPRG00000013093
felis_catus ENSFCAG00000024114
equus_caballus ENSECAG00000024609
equus_asinus_asinus ENSEASG00005000392
myotis_lucifugus ENSMLUG00000003871
loxodonta_africana ENSLAFG00000020914
