periophthalmus_magnuspinnatus ENSPMGG00000004852
monopterus_albus ENSMALG00000018901
fundulus_heteroclitus ENSFHEG00000019824
cyprinodon_variegatus ENSCVAG00000007379
poecilia_formosa ENSPFOG00000020398
poecilia_mexicana ENSPMEG00000015428
poecilia_latipinna ENSPLAG00000010684
poecilia_reticulata ENSPREG00000022952
xiphophorus_maculatus ENSXMAG00000019698
gambusia_affinis ENSGAFG00000013790
oryzias_latipes ENSORLG00000025892
oryzias_latipes ENSORLG00015011052
oryzias_latipes ENSORLG00020012621
oryzias_melastigma ENSOMEG00000020549
takifugu_rubripes ENSTRUG00000023768
amphiprion_ocellaris ENSAOCG00000012328
amphiprion_percula ENSAPEG00000015361
acanthochromis_polyacanthus ENSAPOG00000011124
stegastes_partitus ENSSPAG00000019300
parambassis_ranga ENSPRNG00000025133
seriola_dumerili ENSSDUG00000008730
seriola_lalandi ENSSLDG00000024024
mola_mola ENSMMOG00000017274
mastacembelus_armatus ENSMAMG00000021935
kryptolebias_marmoratus ENSKMAG00000003288
scophthalmus_maximus ENSSMAG00000021393
cynoglossus_semilaevis ENSCSEG00000001954
labrus_bergylta ENSLBEG00000000914
cottoperca_gobio ENSCGOG00000004039
gasterosteus_aculeatus ENSGACG00000015602
anabas_testudineus ENSATEG00000007918
amphilophus_citrinellus ENSACIG00000005510
hippocampus_comes ENSHCOG00000008733
gadus_morhua ENSGMOG00000019869
esox_lucius ENSELUG00000001079
pygocentrus_nattereri ENSPNAG00000003356
astyanax_mexicanus ENSAMXG00000039950
ictalurus_punctatus ENSIPUG00000017455
danio_rerio ENSDARG00000099257
denticeps_clupeoides ENSDCDG00000033856
paramormyrops_kingsleyae ENSPKIG00000017876
