ailuropoda_melanoleuca ENSAMEG00000011803
ursus_americanus ENSUAMG00000020390
neovison_vison ENSNVIG00000023772
mustela_putorius_furo ENSMPUG00000006813
canis_lupus_dingo ENSCAFG00020024419
canis_lupus_familiaris ENSCAFG00000017874
vulpes_vulpes ENSVVUG00000028966
panthera_pardus ENSPPRG00000005803
panthera_tigris_altaica ENSPTIG00000010549
felis_catus ENSFCAG00000009432
capra_hircus ENSCHIG00000006891
ovis_aries ENSOARG00000015781
bos_mutus ENSBMUG00000013475
bison_bison_bison ENSBBBG00000003843
bos_taurus ENSBTAG00000010314
sus_scrofa ENSSSCG00000013654
myotis_lucifugus ENSMLUG00000012295
equus_caballus ENSECAG00000012805
equus_asinus_asinus ENSEASG00005010551
castor_canadensis ENSCCNG00000013192
dipodomys_ordii ENSDORG00000006167
mus_musculus ENSMUSG00000001014
mus_spicilegus ENSMSIG00000017145
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032980
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031856
mus_pahari MGP_PahariEiJ_G0014722
rattus_norvegicus ENSRNOG00000042078
meriones_unguiculatus ENSMUGG00000021026
microtus_ochrogaster ENSMOCG00000019163
peromyscus_maniculatus_bairdii ENSPEMG00000023979
cricetulus_griseus_crigri-picr ENSCGRG00015024926
cricetulus_griseus_chok1gshd ENSCGRG00001018219
cricetulus_griseus_crigri ENSCGRG00000010193
mesocricetus_auratus ENSMAUG00000002833
nannospalax_galili ENSNGAG00000001140
jaculus_jaculus ENSJJAG00000016127
ictidomys_tridecemlineatus ENSSTOG00000019729
urocitellus_parryii ENSUPAG00010000954
spermophilus_dauricus ENSSDAG00000023675
marmota_marmota_marmota ENSMMMG00000017853
heterocephalus_glaber_male ENSHGLG00100002156
heterocephalus_glaber_female ENSHGLG00000011486
fukomys_damarensis ENSFDAG00000008223
chinchilla_lanigera ENSCLAG00000006269
octodon_degus ENSODEG00000016513
gorilla_gorilla ENSGGOG00000005987
pan_paniscus ENSPPAG00000035190
pongo_abelii ENSPPYG00000009549
nomascus_leucogenys ENSNLEG00000028505
mandrillus_leucophaeus ENSMLEG00000032689
cercocebus_atys ENSCATG00000040339
theropithecus_gelada ENSTGEG00000024517
macaca_nemestrina ENSMNEG00000043426
macaca_fascicularis ENSMFAG00000003379
chlorocebus_sabaeus ENSCSAG00000007349
rhinopithecus_roxellana ENSRROG00000029024
rhinopithecus_bieti ENSRBIG00000042370
piliocolobus_tephrosceles ENSPTEG00000033208
colobus_angolensis_palliatus ENSCANG00000008998
saimiri_boliviensis_boliviensis ENSSBOG00000016504
cebus_capucinus ENSCCAG00000035684
callithrix_jacchus ENSCJAG00000005760
aotus_nancymaae ENSANAG00000020931
carlito_syrichta ENSTSYG00000031188
propithecus_coquereli ENSPCOG00000024827
prolemur_simus ENSPSMG00000018274
microcebus_murinus ENSMICG00000010290
otolemur_garnettii ENSOGAG00000011058
homo_sapiens ENSG00000105371
pan_troglodytes ENSPTRG00000022810
papio_anubis ENSPANG00000011444
macaca_mulatta ENSMMUG00000009343
ochotona_princeps ENSOPRG00000005786
tursiops_truncatus ENSTTRG00000009541
loxodonta_africana ENSLAFG00000013278
procavia_capensis ENSPCAG00000002511
pteropus_vampyrus ENSPVAG00000003685
dasypus_novemcinctus ENSDNOG00000038213
phascolarctos_cinereus ENSPCIG00000036585
notamacropus_eugenii ENSMEUG00000015087
sarcophilus_harrisii ENSSHAG00000008402
