nothoprocta_perdicaria ENSNPEG00000007439
dromaius_novaehollandiae ENSDNVG00000010921
apteryx_owenii ENSAOWG00000013816
apteryx_haastii ENSAHAG00000000071
apteryx_rowi ENSARWG00000018464
lepidothrix_coronata ENSLCOG00000013655
zonotrichia_albicollis ENSZALG00000002167
anser_brachyrhynchus ENSABRG00000017856
anas_platyrhynchos_platyrhynchos ENSAPLG00000022438
numida_meleagris ENSNMEG00000009277
coturnix_japonica ENSCJPG00005015359
calidris_pugnax ENSCPUG00000017149
calidris_pygmaea ENSCPGG00000013752
melopsittacus_undulatus ENSMUNG00000004616
gopherus_agassizii ENSGAGG00000000441
chelonoidis_abingdonii ENSCABG00000012681
chrysemys_picta_bellii ENSCPBG00000006666
crocodylus_porosus ENSCPRG00005006698
sphenodon_punctatus ENSSPUG00000014248
salvator_merianae ENSSMRG00000001329
