panthera_pardus ENSPPRG00000021077
felis_catus ENSFCAG00000034065
vulpes_vulpes ENSVVUG00000030098
canis_lupus_dingo ENSCAFG00020014109
neovison_vison ENSNVIG00000009665
ursus_americanus ENSUAMG00000018018
panthera_tigris_altaica ENSPTIG00000010331
equus_asinus_asinus ENSEASG00005014086
equus_caballus ENSECAG00000034508
rattus_norvegicus ENSRNOG00000058696
mus_spicilegus ENSMSIG00000006885
microtus_ochrogaster ENSMOCG00000009612
peromyscus_maniculatus_bairdii ENSPEMG00000031409
cricetulus_griseus_chok1gshd ENSCGRG00001016514
cricetulus_griseus_crigri ENSCGRG00000020080
mesocricetus_auratus ENSMAUG00000017168
meriones_unguiculatus ENSMUGG00000025980
meriones_unguiculatus ENSMUGG00000025976
jaculus_jaculus ENSJJAG00000012670
castor_canadensis ENSCCNG00000016937
urocitellus_parryii ENSUPAG00010011773
marmota_marmota_marmota ENSMMMG00000008810
spermophilus_dauricus ENSSDAG00000019729
ictidomys_tridecemlineatus ENSSTOG00000031250
cavia_porcellus ENSCPOG00000034357
propithecus_coquereli ENSPCOG00000013303
