cynoglossus_semilaevis ENSCSEG00000002886
periophthalmus_magnuspinnatus ENSPMGG00000023667
takifugu_rubripes ENSTRUG00000001507
tetraodon_nigroviridis ENSTNIG00000018048
mola_mola ENSMMOG00000006442
fundulus_heteroclitus ENSFHEG00000021544
cyprinodon_variegatus ENSCVAG00000003085
xiphophorus_maculatus ENSXMAG00000005505
xiphophorus_couchianus ENSXCOG00000011211
gambusia_affinis ENSGAFG00000005709
poecilia_formosa ENSPFOG00000011634
poecilia_latipinna ENSPLAG00000016111
poecilia_mexicana ENSPMEG00000000773
poecilia_reticulata ENSPREG00000005534
kryptolebias_marmoratus ENSKMAG00000000965
oryzias_latipes ENSORLG00000006356
oryzias_latipes_asm223469v1 ENSORLG00015021501
oryzias_latipes ENSORLG00020021304
oryzias_melastigma ENSOMEG00000006997
gasterosteus_aculeatus ENSGACG00000017615
labrus_bergylta ENSLBEG00000020604
seriola_lalandi_dorsalis ENSSLDG00000016629
seriola_dumerili ENSSDUG00000002647
scophthalmus_maximus ENSSMAG00000007664
monopterus_albus ENSMALG00000001700
mastacembelus_armatus ENSMAMG00000016302
anabas_testudineus ENSATEG00000016354
amphiprion_percula ENSAPEG00000015299
amphiprion_ocellaris ENSAOCG00000007732
acanthochromis_polyacanthus ENSAPOG00000008286
stegastes_partitus ENSSPAG00000000407
haplochromis_burtoni ENSHBUG00000010413
pundamilia_nyererei ENSPNYG00000009223
astatotilapia_calliptera ENSACLG00000020961
maylandia_zebra ENSMZEG00005019802
neolamprologus_brichardi ENSNBRG00000013280
oreochromis_niloticus ENSONIG00000017565
amphilophus_citrinellus ENSACIG00000020650
hippocampus_comes ENSHCOG00000020212
gadus_morhua ENSGMOG00000018004
esox_lucius ENSELUG00000024529
astyanax_mexicanus ENSAMXG00000004855
pygocentrus_nattereri ENSPNAG00000004442
ictalurus_punctatus ENSIPUG00000015754
danio_rerio ENSDARG00000036967
paramormyrops_kingsleyae ENSPKIG00000011205
scleropages_formosus ENSSFOG00015019038
lepisosteus_oculatus ENSLOCG00000002465
periophthalmus_magnuspinnatus ENSPMGG00000010445
latimeria_chalumnae ENSLACG00000004109
gopherus_agassizii ENSGAGG00000011666
notechis_scutatus ENSNSUG00000004364
sarcophilus_harrisii ENSSHAG00000011830
amphiprion_ocellaris ENSAOCG00000002423
apteryx_owenii ENSAOWG00000004825
apteryx_haastii ENSAHAG00000006344
apteryx_rowi ENSARWG00000018288
dromaius_novaehollandiae ENSDNVG00000016220
nothoprocta_perdicaria ENSNPEG00000006683
zonotrichia_albicollis ENSZALG00000005926
junco_hyemalis ENSJHYG00000004329
serinus_canaria ENSSCAG00000010088
taeniopygia_guttata ENSTGUG00000010936
lonchura_striata_domestica ENSLSDG00000001510
ficedula_albicollis ENSFALG00000000170
cyanistes_caeruleus ENSCCEG00000006215
parus_major ENSPMJG00000017366
manacus_vitellinus ENSMVIG00005015828
lepidothrix_coronata ENSLCOG00000007164
melopsittacus_undulatus ENSMUNG00000015999
calidris_pygmaea ENSCPGG00000015694
calidris_pugnax ENSCPUG00000008612
meleagris_gallopavo ENSMGAG00000013217
coturnix_japonica ENSCJPG00005006863
gallus_gallus ENSGALG00000015977
numida_meleagris ENSNMEG00000005109
anser_brachyrhynchus ENSABRG00000014963
anas_platyrhynchos_platyrhynchos ENSAPLG00000003135
crocodylus_porosus ENSCPRG00005018846
chelonoidis_abingdonii ENSCABG00000016412
gopherus_agassizii ENSGAGG00000013121
chrysemys_picta_bellii ENSCPBG00000024600
pelodiscus_sinensis ENSPSIG00000010065
sphenodon_punctatus ENSSPUG00000009287
pogona_vitticeps ENSPVIG00000014155
notechis_scutatus ENSNSUG00000001718
anolis_carolinensis ENSACAG00000000100
salvator_merianae ENSSMRG00000017820
xenopus_tropicalis ENSXETG00000017992
latimeria_chalumnae ENSLACG00000000683
phascolarctos_cinereus ENSPCIG00000009960
notamacropus_eugenii ENSMEUG00000000861
monodelphis_domestica ENSMODG00000015449
monodelphis_domestica ENSMODG00000022867
sarcophilus_harrisii ENSSHAG00000016889
ursus_americanus ENSUAMG00000027218
ursus_maritimus ENSUMAG00000004266
ailuropoda_melanoleuca ENSAMEG00000004354
canis_lupus_familiaris ENSCAFG00000006089
canis_lupus_dingo ENSCAFG00020001635
vulpes_vulpes ENSVVUG00000024419
neovison_vison ENSNVIG00000019077
mustela_putorius_furo ENSMPUG00000008586
panthera_tigris_altaica ENSPTIG00000013336
panthera_pardus ENSPPRG00000011538
felis_catus ENSFCAG00000003244
octodon_degus ENSODEG00000006624
ochotona_princeps ENSOPRG00000010085
loxodonta_africana ENSLAFG00000012503
procavia_capensis ENSPCAG00000008842
echinops_telfairi ENSETEG00000000373
dasypus_novemcinctus ENSDNOG00000044258
pteropus_vampyrus ENSPVAG00000002817
myotis_lucifugus ENSMLUG00000015515
erinaceus_europaeus ENSEEUG00000001563
equus_asinus_asinus ENSEASG00005001238
equus_caballus ENSECAG00000005905
