pteropus_vampyrus ENSPVAG00000002190
tursiops_truncatus ENSTTRG00000004831
pongo_abelii ENSPPYG00000018275
pongo_abelii ENSPPYG00000018276
pongo_abelii ENSPPYG00000018255
homo_sapiens ENSG00000205277
nomascus_leucogenys ENSNLEG00000033728
chlorocebus_sabaeus ENSCSAG00000018005
cercocebus_atys ENSCATG00000034376
aotus_nancymaae ENSANAG00000025092
vulpes_vulpes ENSVVUG00000010458
canis_lupus_familiaris ENSCAFG00000018242
mustela_putorius_furo ENSMPUG00000017453
microcebus_murinus ENSMICG00000042645
