propithecus_coquereli ENSPCOG00000002793
prolemur_simus ENSPSMG00000018920
otolemur_garnettii ENSOGAG00000006502
pan_troglodytes ENSPTRG00000010263
pan_paniscus ENSPPAG00000004289
homo_sapiens ENSG00000129932
gorilla_gorilla ENSGGOG00000011214
pongo_abelii ENSPPYG00000009373
nomascus_leucogenys ENSNLEG00000030890
macaca_nemestrina ENSMNEG00000040585
macaca_fascicularis ENSMFAG00000032257
theropithecus_gelada ENSTGEG00000014459
papio_anubis ENSPANG00000032446
cercocebus_atys ENSCATG00000033001
chlorocebus_sabaeus ENSCSAG00000011169
rhinopithecus_roxellana ENSRROG00000043930
piliocolobus_tephrosceles ENSPTEG00000021636
colobus_angolensis_palliatus ENSCANG00000031382
rhinopithecus_bieti ENSRBIG00000039236
mandrillus_leucophaeus ENSMLEG00000037533
saimiri_boliviensis_boliviensis ENSSBOG00000021498
callithrix_jacchus ENSCJAG00000014871
cebus_capucinus ENSCCAG00000018512
aotus_nancymaae ENSANAG00000036531
ochotona_princeps ENSOPRG00000000246
ailuropoda_melanoleuca ENSAMEG00000005619
ursus_americanus ENSUAMG00000017231
neovison_vison ENSNVIG00000006293
mustela_putorius_furo ENSMPUG00000003868
canis_lupus_dingo ENSCAFG00020018295
canis_lupus_familiaris ENSCAFG00000019225
vulpes_vulpes ENSVVUG00000003275
panthera_pardus ENSPPRG00000003295
felis_catus ENSFCAG00000030060
capra_hircus ENSCHIG00000023284
ovis_aries ENSOARG00000012577
bison_bison_bison ENSBBBG00000008411
bos_taurus ENSBTAG00000005272
sus_scrofa ENSSSCG00000013478
tursiops_truncatus ENSTTRG00000009703
pteropus_vampyrus ENSPVAG00000004086
equus_caballus ENSECAG00000016441
equus_asinus_asinus ENSEASG00005022139
sorex_araneus ENSSARG00000003488
sorex_araneus ENSSARG00000001387
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016458
mus_musculus ENSMUSG00000078440
mus_spicilegus ENSMSIG00000023865
rattus_norvegicus ENSRNOG00000004259
meriones_unguiculatus ENSMUGG00000010535
microtus_ochrogaster ENSMOCG00000014902
peromyscus_maniculatus_bairdii ENSPEMG00000014213
cricetulus_griseus_chok1gshd ENSCGRG00001018617
cricetulus_griseus_crigri-picr ENSCGRG00015001071
cricetulus_griseus_crigri ENSCGRG00000001867
mesocricetus_auratus ENSMAUG00000008351
nannospalax_galili ENSNGAG00000023202
jaculus_jaculus ENSJJAG00000023778
castor_canadensis ENSCCNG00000015120
heterocephalus_glaber_female ENSHGLG00000015585
heterocephalus_glaber_male ENSHGLG00100019315
fukomys_damarensis ENSFDAG00000020495
cavia_porcellus ENSCPOG00000035221
cavia_aperea ENSCAPG00000006576
chinchilla_lanigera ENSCLAG00000007817
octodon_degus ENSODEG00000014181
urocitellus_parryii ENSUPAG00010008461
ictidomys_tridecemlineatus ENSSTOG00000023074
marmota_marmota_marmota ENSMMMG00000016778
microcebus_murinus ENSMICG00000044244
dasypus_novemcinctus ENSDNOG00000047286
procavia_capensis ENSPCAG00000015885
loxodonta_africana ENSLAFG00000011920
bos_mutus ENSBMUG00000012771
notamacropus_eugenii ENSMEUG00000006396
phascolarctos_cinereus ENSPCIG00000025326
monodelphis_domestica ENSMODG00000006927
sarcophilus_harrisii ENSSHAG00000008794
ornithorhynchus_anatinus ENSOANG00000014789
mus_musculus ENSMUSG00000113262
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015640
mus_pahari MGP_PahariEiJ_G0031053
gopherus_agassizii ENSGAGG00000018739
chelonoidis_abingdonii ENSCABG00000022155
chrysemys_picta_bellii ENSCPBG00000017126
pelodiscus_sinensis ENSPSIG00000013789
crocodylus_porosus ENSCPRG00005012140
sphenodon_punctatus ENSSPUG00000015767
apteryx_haastii ENSAHAG00000019525
apteryx_owenii ENSAOWG00000014109
apteryx_rowi ENSARWG00000015471
dromaius_novaehollandiae ENSDNVG00000005738
nothoprocta_perdicaria ENSNPEG00000013629
gallus_gallus ENSGALG00000017524
meleagris_gallopavo ENSMGAG00000001468
anser_brachyrhynchus ENSABRG00000004216
lonchura_striata_domestica ENSLSDG00000000168
serinus_canaria ENSSCAG00000001308
parus_major ENSPMJG00000004816
ficedula_albicollis ENSFALG00000011564
lepidothrix_coronata ENSLCOG00000001427
junco_hyemalis ENSJHYG00000013903
zonotrichia_albicollis ENSZALG00000002439
melopsittacus_undulatus ENSMUNG00000008580
xenopus_tropicalis ENSXETG00000008150
petromyzon_marinus ENSPMAG00000008489
