dasypus_novemcinctus ENSDNOG00000040342
tupaia_belangeri ENSTBEG00000011031
echinops_telfairi ENSETEG00000006626
capra_hircus ENSCHIG00000017672
ovis_aries ENSOARG00000012498
bos_indicus ENSBIXG00005010599
bos_indicus ENSBIXG00000006973
bos_taurus ENSBTAG00000021397
bos_mutus ENSBMUG00000018255
bison_bison ENSBBBG00000000532
sus_scrofa ENSSSCG00000010538
tursiops_truncatus ENSTTRG00000002171
pteropus_vampyrus ENSPVAG00000008891
canis_lupus ENSCAFG00020007443
canis_lupus ENSCAFG00000009469
neovison_vison ENSNVIG00000019485
panthera_pardus ENSPPRG00000024447
panthera_tigris ENSPTIG00000020694
felis_catus ENSFCAG00000042789
equus_caballus ENSECAG00000000092
pan_troglodytes ENSPTRG00000002830
homo_sapiens ENSG00000119919
gorilla_gorilla ENSGGOG00000013605
nomascus_leucogenys ENSNLEG00000027207
macaca_fascicularis ENSMFAG00000044388
macaca_nemestrina ENSMNEG00000033053
macaca_mulatta ENSMMUG00000018270
chlorocebus_sabaeus ENSCSAG00000005719
papio_anubis ENSPANG00000021255
theropithecus_gelada ENSTGEG00000017498
cercocebus_atys ENSCATG00000037715
piliocolobus_tephrosceles ENSPTEG00000028923
rhinopithecus_bieti ENSRBIG00000038776
cebus_capucinus ENSCCAG00000028510
callithrix_jacchus ENSCJAG00000017049
aotus_nancymaae ENSANAG00000021481
prolemur_simus ENSPSMG00000010298
propithecus_coquereli ENSPCOG00000018687
microcebus_murinus ENSMICG00000002913
otolemur_garnettii ENSOGAG00000013370
castor_canadensis ENSCCNG00000006604
dipodomys_ordii ENSDORG00000003645
urocitellus_parryii ENSUPAG00010018277
ictidomys_tridecemlineatus ENSSTOG00000010439
marmota_marmota ENSMMMG00000022815
cricetulus_griseus ENSCGRG00001011819
cricetulus_griseus ENSCGRG00015024110
cricetulus_griseus ENSCGRG00000013510
mesocricetus_auratus ENSMAUG00000019421
microtus_ochrogaster ENSMOCG00000013130
peromyscus_maniculatus ENSPEMG00000030266
mus_spretus MGP_SPRETEiJ_G0023902
mus_spicilegus ENSMSIG00000014564
mus_musculus ENSMUSG00000044220
mus_caroli MGP_CAROLIEiJ_G0022981
mus_pahari MGP_PahariEiJ_G0014471
rattus_norvegicus ENSRNOG00000016656
nannospalax_galili ENSNGAG00000021093
octodon_degus ENSODEG00000016861
chinchilla_lanigera ENSCLAG00000002178
cavia_porcellus ENSCPOG00000009772
heterocephalus_glaber ENSHGLG00000011465
heterocephalus_glaber ENSHGLG00100016498
fukomys_damarensis ENSFDAG00000017546
erinaceus_europaeus ENSEEUG00000013947
mustela_putorius ENSMPUG00000016992
myotis_lucifugus ENSMLUG00000012413
pongo_abelii ENSPPYG00000002553
pan_paniscus ENSPPAG00000035777
rhinopithecus_roxellana ENSRROG00000031581
colobus_angolensis ENSCANG00000033241
mandrillus_leucophaeus ENSMLEG00000006314
saimiri_boliviensis ENSSBOG00000029445
loxodonta_africana ENSLAFG00000014664
ursus_americanus ENSUAMG00000024195
ailuropoda_melanoleuca ENSAMEG00000007277
