mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022690
mus_spicilegus ENSMSIG00000011258
mus_musculus ENSMUSG00000042625
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021779
mus_pahari MGP_PahariEiJ_G0020768
rattus_norvegicus ENSRNOG00000049511
meriones_unguiculatus ENSMUGG00000005816
peromyscus_maniculatus_bairdii ENSPEMG00000016015
microtus_ochrogaster ENSMOCG00000006827
cricetulus_griseus_crigri ENSCGRG00000011131
cricetulus_griseus_chok1gshd ENSCGRG00001015833
cricetulus_griseus_crigri-picr ENSCGRG00015002536
mesocricetus_auratus ENSMAUG00000011573
nannospalax_galili ENSNGAG00000018473
jaculus_jaculus ENSJJAG00000015942
dipodomys_ordii ENSDORG00000016199
heterocephalus_glaber_female ENSHGLG00000017442
heterocephalus_glaber_male ENSHGLG00100005185
fukomys_damarensis ENSFDAG00000020009
chinchilla_lanigera ENSCLAG00000009742
octodon_degus ENSODEG00000014751
cavia_porcellus ENSCPOG00000011394
cavia_aperea ENSCAPG00000011771
marmota_marmota_marmota ENSMMMG00000018701
spermophilus_dauricus ENSSDAG00000009111
urocitellus_parryii ENSUPAG00010023625
ictidomys_tridecemlineatus ENSSTOG00000002758
ochotona_princeps ENSOPRG00000011523
oryctolagus_cuniculus ENSOCUG00000001592
prolemur_simus ENSPSMG00000003346
tupaia_belangeri ENSTBEG00000012709
prolemur_simus ENSPSMG00000014714
propithecus_coquereli ENSPCOG00000023260
microcebus_murinus ENSMICG00000008711
otolemur_garnettii ENSOGAG00000006855
pan_paniscus ENSPPAG00000043392
pan_troglodytes ENSPTRG00000010334
homo_sapiens ENSG00000130254
gorilla_gorilla ENSGGOG00000015093
pongo_abelii ENSPPYG00000009427
nomascus_leucogenys ENSNLEG00000013514
mandrillus_leucophaeus ENSMLEG00000034562
cercocebus_atys ENSCATG00000039497
theropithecus_gelada ENSTGEG00000018005
papio_anubis ENSPANG00000007004
macaca_fascicularis ENSMFAG00000039706
macaca_nemestrina ENSMNEG00000032042
macaca_mulatta ENSMMUG00000017968
chlorocebus_sabaeus ENSCSAG00000009959
colobus_angolensis_palliatus ENSCANG00000024675
piliocolobus_tephrosceles ENSPTEG00000025591
rhinopithecus_bieti ENSRBIG00000033446
rhinopithecus_roxellana ENSRROG00000006606
callithrix_jacchus ENSCJAG00000017205
callithrix_jacchus ENSCJAG00000041996
cebus_capucinus ENSCCAG00000017348
saimiri_boliviensis_boliviensis ENSSBOG00000032315
aotus_nancymaae ENSANAG00000031936
bos_mutus ENSBMUG00000008610
bos_taurus ENSBTAG00000001790
bison_bison_bison ENSBBBG00000007636
capra_hircus ENSCHIG00000024547
ovis_aries ENSOARG00000007982
tursiops_truncatus ENSTTRG00000013585
sus_scrofa ENSSSCG00000013523
vicugna_pacos ENSVPAG00000012041
myotis_lucifugus ENSMLUG00000001050
pteropus_vampyrus ENSPVAG00000004902
ursus_americanus ENSUAMG00000024695
ursus_maritimus ENSUMAG00000009585
ailuropoda_melanoleuca ENSAMEG00000012146
mustela_putorius_furo ENSMPUG00000006106
neovison_vison ENSNVIG00000014161
canis_lupus_dingo ENSCAFG00020018939
canis_lupus_familiaris ENSCAFG00000018814
vulpes_vulpes ENSVVUG00000013695
panthera_pardus ENSPPRG00000011310
panthera_tigris_altaica ENSPTIG00000015120
felis_catus ENSFCAG00000011834
equus_caballus ENSECAG00000018978
equus_asinus_asinus ENSEASG00005022952
sorex_araneus ENSSARG00000000649
castor_canadensis ENSCCNG00000025628
choloepus_hoffmanni ENSCHOG00000010684
dasypus_novemcinctus ENSDNOG00000045791
loxodonta_africana ENSLAFG00000003836
procavia_capensis ENSPCAG00000006352
echinops_telfairi ENSETEG00000016756
ornithorhynchus_anatinus ENSOANG00000031579
phascolarctos_cinereus ENSPCIG00000009518
notamacropus_eugenii ENSMEUG00000002456
sarcophilus_harrisii ENSSHAG00000012703
monodelphis_domestica ENSMODG00000001178
ornithorhynchus_anatinus ENSOANG00000013644
ornithorhynchus_anatinus ENSOANG00000011319
gopherus_agassizii ENSGAGG00000008422
