maylandia_zebra ENSMZEG00005003797
astatotilapia_calliptera ENSACLG00000014825
haplochromis_burtoni ENSHBUG00000008594
neolamprologus_brichardi ENSNBRG00000019012
amphilophus_citrinellus ENSACIG00000023887
amphilophus_citrinellus ENSACIG00000009554
haplochromis_burtoni ENSHBUG00000006585
pundamilia_nyererei ENSPNYG00000007924
astatotilapia_calliptera ENSACLG00000003645
astatotilapia_calliptera ENSACLG00000003648
neolamprologus_brichardi ENSNBRG00000005717
xiphophorus_maculatus ENSXMAG00000026654
xiphophorus_couchianus ENSXCOG00000018161
fundulus_heteroclitus ENSFHEG00000010220
cyprinodon_variegatus ENSCVAG00000004763
kryptolebias_marmoratus ENSKMAG00000017418
poecilia_latipinna ENSPLAG00000005245
poecilia_mexicana ENSPMEG00000023015
poecilia_reticulata ENSPREG00000011824
xiphophorus_maculatus ENSXMAG00000027210
gambusia_affinis ENSGAFG00000017140
xiphophorus_maculatus ENSXMAG00000023334
xiphophorus_couchianus ENSXCOG00000004229
gambusia_affinis ENSGAFG00000005323
cyprinodon_variegatus ENSCVAG00000005513
cyprinodon_variegatus ENSCVAG00000018041
amphiprion_percula ENSAPEG00000008669
amphiprion_ocellaris ENSAOCG00000000340
amphiprion_ocellaris ENSAOCG00000016091
amphiprion_percula ENSAPEG00000008665
amphiprion_ocellaris ENSAOCG00000000343
acanthochromis_polyacanthus ENSAPOG00000003812
monopterus_albus ENSMALG00000002366
mastacembelus_armatus ENSMAMG00000012143
esox_lucius ENSELUG00000012904
esox_lucius ENSELUG00000000138
esox_lucius ENSELUG00000019034
esox_lucius ENSELUG00000019044
esox_lucius ENSELUG00000019060
esox_lucius ENSELUG00000017549
pygocentrus_nattereri ENSPNAG00000026303
pygocentrus_nattereri ENSPNAG00000026287
