amphiprion_ocellaris ENSAOCG00000008757
amphiprion_percula ENSAPEG00000014752
stegastes_partitus ENSSPAG00000003562
maylandia_zebra ENSMZEG00005013324
astatotilapia_calliptera ENSACLG00000005516
pundamilia_nyererei ENSPNYG00000007403
oreochromis_niloticus ENSONIG00000004189
maylandia_zebra ENSMZEG00005013308
neolamprologus_brichardi ENSNBRG00000015258
poecilia_latipinna ENSPLAG00000005087
poecilia_mexicana ENSPMEG00000020146
poecilia_reticulata ENSPREG00000003463
cyprinodon_variegatus ENSCVAG00000006269
gambusia_affinis ENSGAFG00000006498
poecilia_reticulata ENSPREG00000003257
xiphophorus_couchianus ENSXCOG00000009871
anabas_testudineus ENSATEG00000002122
astatotilapia_calliptera ENSACLG00000020041
periophthalmus_magnuspinnatus ENSPMGG00000007527
astyanax_mexicanus ENSAMXG00000042817
astyanax_mexicanus ENSAMXG00000040534
paramormyrops_kingsleyae ENSPKIG00000015275
