maylandia_zebra ENSMZEG00005027884
haplochromis_burtoni ENSHBUG00000013478
pundamilia_nyererei ENSPNYG00000023580
acanthochromis_polyacanthus ENSAPOG00000010375
xiphophorus_couchianus ENSXCOG00000013027
cyprinodon_variegatus ENSCVAG00000001217
mola_mola ENSMMOG00000011265
periophthalmus_magnuspinnatus ENSPMGG00000021750
monopterus_albus ENSMALG00000005952
amphiprion_percula ENSAPEG00000018267
stegastes_partitus ENSSPAG00000018273
seriola_lalandi_dorsalis ENSSLDG00000021090
seriola_dumerili ENSSDUG00000020827
hippocampus_comes ENSHCOG00000016153
