microcebus_murinus ENSMICG00000043140
otolemur_garnettii ENSOGAG00000034008
cebus_capucinus ENSCCAG00000020580
saimiri_boliviensis_boliviensis ENSSBOG00000025870
callithrix_jacchus ENSCJAG00000008237
aotus_nancymaae ENSANAG00000032980
pan_paniscus ENSPPAG00000025175
pan_troglodytes ENSPTRG00000022139
homo_sapiens ENSG00000123576
gorilla_gorilla ENSGGOG00000003790
nomascus_leucogenys ENSNLEG00000013650
macaca_fascicularis ENSMFAG00000001945
macaca_nemestrina ENSMNEG00000002626
papio_anubis ENSPANG00000014594
mandrillus_leucophaeus ENSMLEG00000043337
cercocebus_atys ENSCATG00000029351
rhinopithecus_bieti ENSRBIG00000037836
oryctolagus_cuniculus ENSOCUG00000029369
ochotona_princeps ENSOPRG00000003187
mus_musculus ENSMUSG00000023443
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034602
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033432
mus_pahari MGP_PahariEiJ_G0031972
rattus_norvegicus ENSRNOG00000048011
cricetulus_griseus_chok1gshd ENSCGRG00001013669
bos_taurus ENSBTAG00000005953
bos_mutus ENSBMUG00000020107
ovis_aries ENSOARG00000000646
vicugna_pacos ENSVPAG00000006594
sus_scrofa ENSSSCG00000012543
equus_asinus_asinus ENSEASG00005002971
equus_caballus ENSECAG00000033402
ailuropoda_melanoleuca ENSAMEG00000000453
mustela_putorius_furo ENSMPUG00000009611
canis_lupus_familiaris ENSCAFG00000023214
canis_lupus_dingo ENSCAFG00020006980
vulpes_vulpes ENSVVUG00000004243
felis_catus ENSFCAG00000007095
pteropus_vampyrus ENSPVAG00000011613
myotis_lucifugus ENSMLUG00000000829
erinaceus_europaeus ENSEEUG00000001559
sorex_araneus ENSSARG00000003386
dasypus_novemcinctus ENSDNOG00000042382
dasypus_novemcinctus ENSDNOG00000037814
canis_lupus_familiaris ENSCAFG00000030625
oryctolagus_cuniculus ENSOCUG00000024319
dasypus_novemcinctus ENSDNOG00000034518
oryctolagus_cuniculus ENSOCUG00000029533
