poecilia_reticulata ENSPREG00000009949
xiphophorus_couchianus ENSXCOG00000020004
acanthochromis_polyacanthus ENSAPOG00000016656
mola_mola ENSMMOG00000021808
oryzias_latipes ENSORLG00020006435
tetraodon_nigroviridis ENSTNIG00000014611
paramormyrops_kingsleyae ENSPKIG00000025392
dipodomys_ordii ENSDORG00000008942
rattus_norvegicus ENSRNOG00000020579
microcebus_murinus ENSMICG00000014238
nannospalax_galili ENSNGAG00000001944
procavia_capensis ENSPCAG00000002235
tursiops_truncatus ENSTTRG00000017330
gadus_morhua ENSGMOG00000014118
eptatretus_burgeri ENSEBUG00000011736
rhinopithecus_bieti ENSRBIG00000039566
ailuropoda_melanoleuca ENSAMEG00000006435
loxodonta_africana ENSLAFG00000009277
ficedula_albicollis ENSFALG00000002790
chrysemys_picta_bellii ENSCPBG00000022081
oreochromis_niloticus ENSONIG00000004645
dipodomys_ordii ENSDORG00000014393
petromyzon_marinus ENSPMAG00000003382
ciona_savignyi ENSCSAVG00000000450
serinus_canaria ENSSCAG00000010926
serinus_canaria ENSSCAG00000006179
maylandia_zebra ENSMZEG00005008948
amphiprion_percula ENSAPEG00000006484
cyprinodon_variegatus ENSCVAG00000001498
mastacembelus_armatus ENSMAMG00000022443
oryzias_latipes ENSORLG00020006856
kryptolebias_marmoratus ENSKMAG00000021363
esox_lucius ENSELUG00000007868
mus_spicilegus ENSMSIG00000014912
heterocephalus_glaber_male ENSHGLG00100006188
tetraodon_nigroviridis ENSTNIG00000014019
poecilia_formosa ENSPFOG00000014232
lepisosteus_oculatus ENSLOCG00000003777
eptatretus_burgeri ENSEBUG00000012380
ciona_intestinalis ENSCING00000002131
drosophila_melanogaster FBgn0000299
