loxodonta_africana ENSLAFG00000027037
dasypus_novemcinctus ENSDNOG00000043568
panthera_tigris_altaica ENSPTIG00000004102
panthera_pardus ENSPPRG00000014433
ursus_maritimus ENSUMAG00000013477
ursus_americanus ENSUAMG00000004251
myotis_lucifugus ENSMLUG00000029827
equus_asinus_asinus ENSEASG00005022895
bos_taurus ENSBTAG00000046347
bos_mutus ENSBMUG00000015579
ovis_aries ENSOARG00000019666
sus_scrofa ENSSSCG00000015916
spermophilus_dauricus ENSSDAG00000006775
marmota_marmota_marmota ENSMMMG00000023290
mus_spicilegus ENSMSIG00000013267
rattus_norvegicus ENSRNOG00000038559
meriones_unguiculatus ENSMUGG00000023661
peromyscus_maniculatus_bairdii ENSPEMG00000026787
cricetulus_griseus_crigri-picr ENSCGRG00015005479
oryctolagus_cuniculus ENSOCUG00000024149
prolemur_simus ENSPSMG00000021788
otolemur_garnettii ENSOGAG00000034586
phascolarctos_cinereus ENSPCIG00000021389
monodelphis_domestica ENSMODG00000027390
sarcophilus_harrisii ENSSHAG00000003952
ornithorhynchus_anatinus ENSOANG00000006232
