petromyzon_marinus ENSPMAG00000002588
eptatretus_burgeri ENSEBUG00000006065
anolis_carolinensis ENSACAG00000004586
pogona_vitticeps ENSPVIG00000013798
notechis_scutatus ENSNSUG00000012064
salvator_merianae ENSSMRG00000015933
sphenodon_punctatus ENSSPUG00000018003
apteryx_owenii ENSAOWG00000002175
apteryx_rowi ENSARWG00000009648
apteryx_haastii ENSAHAG00000008025
dromaius_novaehollandiae ENSDNVG00000010084
anser_brachyrhynchus ENSABRG00000020327
anas_platyrhynchos ENSAPLG00000023599
gallus_gallus ENSGALG00000003241
coturnix_japonica ENSCJPG00005000622
numida_meleagris ENSNMEG00000007381
taeniopygia_guttata ENSTGUG00000001391
lonchura_striata ENSLSDG00000004750
lepidothrix_coronata ENSLCOG00000008978
serinus_canaria ENSSCAG00000004977
manacus_vitellinus ENSMVIG00005001906
ficedula_albicollis ENSFALG00000000612
parus_major ENSPMJG00000006088
calidris_pygmaea ENSCPGG00000014551
crocodylus_porosus ENSCPRG00005002229
gopherus_agassizii ENSGAGG00000023756
chelonoidis_abingdonii ENSCABG00000018811
chrysemys_picta ENSCPBG00000011058
pelodiscus_sinensis ENSPSIG00000011392
phascolarctos_cinereus ENSPCIG00000009089
vombatus_ursinus ENSVURG00010000609
notamacropus_eugenii ENSMEUG00000005222
monodelphis_domestica ENSMODG00000017487
sarcophilus_harrisii ENSSHAG00000008119
myotis_lucifugus ENSMLUG00000017481
erinaceus_europaeus ENSEEUG00000009007
neovison_vison ENSNVIG00000024262
mustela_putorius ENSMPUG00000015300
ursus_americanus ENSUAMG00000014289
ursus_maritimus ENSUMAG00000008448
ailuropoda_melanoleuca ENSAMEG00000007829
canis_lupus ENSCAFG00020025340
vulpes_vulpes ENSVVUG00000015064
canis_lupus ENSCAFG00000010703
panthera_pardus ENSPPRG00000010624
panthera_tigris ENSPTIG00000013947
felis_catus ENSFCAG00000012478
sorex_araneus ENSSARG00000013543
bos_taurus ENSBTAG00000015104
bos_indicus ENSBIXG00005013116
bos_mutus ENSBMUG00000008729
bison_bison ENSBBBG00000012529
bos_indicus ENSBIXG00000020425
capra_hircus ENSCHIG00000011414
sus_scrofa ENSSSCG00000031514
equus_asinus ENSEASG00005010946
propithecus_coquereli ENSPCOG00000020784
prolemur_simus ENSPSMG00000020229
microcebus_murinus ENSMICG00000017797
otolemur_garnettii ENSOGAG00000009466
callithrix_jacchus ENSCJAG00000006747
aotus_nancymaae ENSANAG00000033188
macaca_mulatta ENSMMUG00000015066
chlorocebus_sabaeus ENSCSAG00000001047
rhinopithecus_roxellana ENSRROG00000027591
pongo_abelii ENSPPYG00000001601
cricetulus_griseus ENSCGRG00015009637
cricetulus_griseus ENSCGRG00000015955
cricetulus_griseus ENSCGRG00001015232
mesocricetus_auratus ENSMAUG00000008126
peromyscus_maniculatus ENSPEMG00000026808
microtus_ochrogaster ENSMOCG00000017821
meriones_unguiculatus ENSMUGG00000003366
mus_spretus MGP_SPRETEiJ_G0027510
mus_caroli MGP_CAROLIEiJ_G0026530
mus_pahari MGP_PahariEiJ_G0028862
mus_musculus ENSMUSG00000028795
rattus_norvegicus ENSRNOG00000047578
nannospalax_galili ENSNGAG00000013903
jaculus_jaculus ENSJJAG00000017928
dipodomys_ordii ENSDORG00000029193
oryctolagus_cuniculus ENSOCUG00000007605
ochotona_princeps ENSOPRG00000000798
carlito_syrichta ENSTSYG00000029897
tursiops_truncatus ENSTTRG00000009730
pteropus_vampyrus ENSPVAG00000013306
erinaceus_europaeus ENSEEUG00000002293
piliocolobus_tephrosceles ENSPTEG00000024177
rhinopithecus_bieti ENSRBIG00000022149
colobus_angolensis ENSCANG00000036761
papio_anubis ENSPANG00000015080
theropithecus_gelada ENSTGEG00000015342
mandrillus_leucophaeus ENSMLEG00000035364
cercocebus_atys ENSCATG00000033193
macaca_fascicularis ENSMFAG00000031708
macaca_nemestrina ENSMNEG00000041534
pan_troglodytes ENSPTRG00000000473
pan_paniscus ENSPPAG00000033019
homo_sapiens ENSG00000160050
gorilla_gorilla ENSGGOG00000001574
nomascus_leucogenys ENSNLEG00000002386
saimiri_boliviensis ENSSBOG00000025914
cebus_capucinus ENSCCAG00000022531
aotus_nancymaae ENSANAG00000027200
procavia_capensis ENSPCAG00000004649
