dipodomys_ordii ENSDORG00000005080
castor_canadensis ENSCCNG00000002054
urocitellus_parryii ENSUPAG00010006656
spermophilus_dauricus ENSSDAG00000024249
ictidomys_tridecemlineatus ENSSTOG00000025056
marmota_marmota ENSMMMG00000004844
myotis_lucifugus ENSMLUG00000005270
procavia_capensis ENSPCAG00000004154
echinops_telfairi ENSETEG00000012214
cricetulus_griseus ENSCGRG00015004120
cricetulus_griseus ENSCGRG00001022652
cricetulus_griseus ENSCGRG00000001297
mesocricetus_auratus ENSMAUG00000008968
peromyscus_maniculatus ENSPEMG00000017848
microtus_ochrogaster ENSMOCG00000015926
mus_spicilegus ENSMSIG00000028818
mus_musculus ENSMUSG00000022416
mus_spretus MGP_SPRETEiJ_G0020937
mus_caroli MGP_CAROLIEiJ_G0020039
mus_pahari MGP_PahariEiJ_G0020041
nannospalax_galili ENSNGAG00000007523
jaculus_jaculus ENSJJAG00000018253
cavia_porcellus ENSCPOG00000011963
cavia_aperea ENSCAPG00000011629
octodon_degus ENSODEG00000012240
chinchilla_lanigera ENSCLAG00000016706
heterocephalus_glaber ENSHGLG00000017516
heterocephalus_glaber ENSHGLG00100003472
fukomys_damarensis ENSFDAG00000016878
ochotona_princeps ENSOPRG00000012523
homo_sapiens ENSG00000100346
gorilla_gorilla ENSGGOG00000010106
pan_troglodytes ENSPTRG00000014400
pan_paniscus ENSPPAG00000025913
pongo_abelii ENSPPYG00000011844
nomascus_leucogenys ENSNLEG00000015272
macaca_nemestrina ENSMNEG00000033140
macaca_fascicularis ENSMFAG00000046252
macaca_mulatta ENSMMUG00000004878
papio_anubis ENSPANG00000009111
cercocebus_atys ENSCATG00000044010
mandrillus_leucophaeus ENSMLEG00000038614
theropithecus_gelada ENSTGEG00000009882
chlorocebus_sabaeus ENSCSAG00000006219
colobus_angolensis ENSCANG00000033285
piliocolobus_tephrosceles ENSPTEG00000034056
rhinopithecus_bieti ENSRBIG00000040666
rhinopithecus_roxellana ENSRROG00000040107
cebus_capucinus ENSCCAG00000027924
saimiri_boliviensis ENSSBOG00000034043
callithrix_jacchus ENSCJAG00000044108
aotus_nancymaae ENSANAG00000037507
carlito_syrichta ENSTSYG00000037293
microcebus_murinus ENSMICG00000002043
propithecus_coquereli ENSPCOG00000019621
prolemur_simus ENSPSMG00000003753
otolemur_garnettii ENSOGAG00000002655
capra_hircus ENSCHIG00000021978
ovis_aries ENSOARG00000016884
bos_indicus ENSBIXG00000012458
bos_indicus ENSBIXG00005004854
bos_taurus ENSBTAG00000045610
bos_mutus ENSBMUG00000002923
bison_bison ENSBBBG00000024965
tursiops_truncatus ENSTTRG00000000668
sus_scrofa ENSSSCG00000000082
equus_asinus ENSEASG00005005605
equus_caballus ENSECAG00000010223
ursus_americanus ENSUAMG00000004348
ailuropoda_melanoleuca ENSAMEG00000010949
mustela_putorius ENSMPUG00000013398
