bos_mutus ENSBMUG00000012807
bos_taurus ENSBTAG00000016006
bison_bison_bison ENSBBBG00000015874
capra_hircus ENSCHIG00000014177
capra_hircus ENSCHIG00000010889
ovis_aries ENSOARG00000013924
tursiops_truncatus ENSTTRG00000003899
sus_scrofa ENSSSCG00000039541
echinops_telfairi ENSETEG00000001993
taeniopygia_guttata ENSTGUG00000007827
taeniopygia_guttata ENSTGUG00000007838
ornithorhynchus_anatinus ENSOANG00000008305
canis_lupus_familiaris ENSCAFG00000009528
oryctolagus_cuniculus ENSOCUG00000011356
pogona_vitticeps ENSPVIG00000010462
anolis_carolinensis ENSACAG00000008933
pelodiscus_sinensis ENSPSIG00000012890
tetraodon_nigroviridis ENSTNIG00000005758
ictidomys_tridecemlineatus ENSSTOG00000028622
urocitellus_parryii ENSUPAG00010015938
marmota_marmota_marmota ENSMMMG00000009488
marmota_marmota_marmota ENSMMMG00000009531
spermophilus_dauricus ENSSDAG00000006062
spermophilus_dauricus ENSSDAG00000006130
spermophilus_dauricus ENSSDAG00000023987
ictidomys_tridecemlineatus ENSSTOG00000033175
panthera_tigris_altaica ENSPTIG00000012678
oryctolagus_cuniculus ENSOCUG00000003188
ochotona_princeps ENSOPRG00000009023
petromyzon_marinus ENSPMAG00000000338
tupaia_belangeri ENSTBEG00000016297
pan_paniscus ENSPPAG00000031546
pan_troglodytes ENSPTRG00000008476
homo_sapiens ENSG00000167522
gorilla_gorilla ENSGGOG00000015490
pongo_abelii ENSPPYG00000007663
nomascus_leucogenys ENSNLEG00000015714
colobus_angolensis_palliatus ENSCANG00000035327
piliocolobus_tephrosceles ENSPTEG00000038107
rhinopithecus_roxellana ENSRROG00000009912
rhinopithecus_bieti ENSRBIG00000044710
theropithecus_gelada ENSTGEG00000021521
papio_anubis ENSPANG00000015287
mandrillus_leucophaeus ENSMLEG00000028365
cercocebus_atys ENSCATG00000037760
macaca_fascicularis ENSMFAG00000040263
macaca_mulatta ENSMMUG00000017161
macaca_nemestrina ENSMNEG00000035799
chlorocebus_sabaeus ENSCSAG00000002854
cebus_capucinus ENSCCAG00000013589
saimiri_boliviensis_boliviensis ENSSBOG00000024829
callithrix_jacchus ENSCJAG00000010864
aotus_nancymaae ENSANAG00000027875
cebus_capucinus ENSCCAG00000031658
cebus_capucinus ENSCCAG00000028343
carlito_syrichta ENSTSYG00000034435
propithecus_coquereli ENSPCOG00000028050
prolemur_simus ENSPSMG00000010017
microcebus_murinus ENSMICG00000032745
otolemur_garnettii ENSOGAG00000027523
dipodomys_ordii ENSDORG00000023552
pteropus_vampyrus ENSPVAG00000004896
myotis_lucifugus ENSMLUG00000016458
equus_asinus_asinus ENSEASG00005000838
equus_caballus ENSECAG00000029519
ailuropoda_melanoleuca ENSAMEG00000001060
ursus_americanus ENSUAMG00000006758
neovison_vison ENSNVIG00000010188
mustela_putorius_furo ENSMPUG00000007572
canis_lupus_dingo ENSCAFG00020005087
canis_lupus_familiaris ENSCAFG00000019843
vulpes_vulpes ENSVVUG00000003768
erinaceus_europaeus ENSEEUG00000000639
sorex_araneus ENSSARG00000003759
nannospalax_galili ENSNGAG00000008560
ursus_maritimus ENSUMAG00000008430
petromyzon_marinus ENSPMAG00000008119
loxodonta_africana ENSLAFG00000027068
procavia_capensis ENSPCAG00000000549
echinops_telfairi ENSETEG00000012336
choloepus_hoffmanni ENSCHOG00000009785
dasypus_novemcinctus ENSDNOG00000034453
apteryx_haastii ENSAHAG00000009743
apteryx_rowi ENSARWG00000005954
apteryx_owenii ENSAOWG00000005945
dromaius_novaehollandiae ENSDNVG00000011100
nothoprocta_perdicaria ENSNPEG00000002084
lepidothrix_coronata ENSLCOG00000012374
manacus_vitellinus ENSMVIG00005013337
lonchura_striata_domestica ENSLSDG00000005495
serinus_canaria ENSSCAG00000007324
junco_hyemalis ENSJHYG00000005295
zonotrichia_albicollis ENSZALG00000008937
ficedula_albicollis ENSFALG00000003207
cyanistes_caeruleus ENSCCEG00000006229
parus_major ENSPMJG00000013821
melopsittacus_undulatus ENSMUNG00000002018
calidris_pygmaea ENSCPGG00000018326
calidris_pugnax ENSCPUG00000009748
anser_brachyrhynchus ENSABRG00000000065
anas_platyrhynchos_platyrhynchos ENSAPLG00000019829
gallus_gallus ENSGALG00000052842
meleagris_gallopavo ENSMGAG00000007898
coturnix_japonica ENSCJPG00005015051
numida_meleagris ENSNMEG00000001825
crocodylus_porosus ENSCPRG00005007785
gopherus_agassizii ENSGAGG00000017310
chelonoidis_abingdonii ENSCABG00000004001
chrysemys_picta_bellii ENSCPBG00000023386
