ciona_savignyi ENSCSAVG00000003053
ciona_intestinalis ENSCING00000010654
microcebus_murinus ENSMICG00000038002
prolemur_simus ENSPSMG00000010000
otolemur_garnettii ENSOGAG00000013245
rhinopithecus_bieti ENSRBIG00000039208
rhinopithecus_roxellana ENSRROG00000029638
colobus_angolensis_palliatus ENSCANG00000036801
piliocolobus_tephrosceles ENSPTEG00000005651
cercocebus_atys ENSCATG00000034411
theropithecus_gelada ENSTGEG00000002731
papio_anubis ENSPANG00000010280
chlorocebus_sabaeus ENSCSAG00000008744
macaca_fascicularis ENSMFAG00000039369
macaca_mulatta ENSMMUG00000022469
macaca_nemestrina ENSMNEG00000045109
pan_troglodytes ENSPTRG00000004681
pan_paniscus ENSPPAG00000039068
homo_sapiens ENSG00000060138
gorilla_gorilla ENSGGOG00000001352
pongo_abelii ENSPPYG00000004279
nomascus_leucogenys ENSNLEG00000034844
aotus_nancymaae ENSANAG00000024492
cebus_capucinus ENSCCAG00000016469
callithrix_jacchus ENSCJAG00000021660
callithrix_jacchus ENSCJAG00000033824
aotus_nancymaae ENSANAG00000033366
propithecus_coquereli ENSPCOG00000011663
microcebus_murinus ENSMICG00000031459
urocitellus_parryii ENSUPAG00010003801
carlito_syrichta ENSTSYG00000035821
marmota_marmota_marmota ENSMMMG00000021731
ictidomys_tridecemlineatus ENSSTOG00000032577
castor_canadensis ENSCCNG00000031783
vicugna_pacos ENSVPAG00000000876
loxodonta_africana ENSLAFG00000017247
procavia_capensis ENSPCAG00000001397
echinops_telfairi ENSETEG00000002557
choloepus_hoffmanni ENSCHOG00000011988
cricetulus_griseus_crigri-picr ENSCGRG00015027183
cricetulus_griseus_crigri ENSCGRG00000004563
cricetulus_griseus_chok1gshd ENSCGRG00001016148
mesocricetus_auratus ENSMAUG00000012185
peromyscus_maniculatus_bairdii ENSPEMG00000012132
peromyscus_maniculatus_bairdii ENSPEMG00000010391
microtus_ochrogaster ENSMOCG00000016291
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029994
mus_musculus ENSMUSG00000030189
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028947
mus_pahari MGP_PahariEiJ_G0022709
mus_spicilegus ENSMSIG00000007480
rattus_norvegicus ENSRNOG00000005480
meriones_unguiculatus ENSMUGG00000012371
