mandrillus_leucophaeus ENSMLEG00000022777
papio_anubis ENSPANG00000034828
theropithecus_gelada ENSTGEG00000012648
cercocebus_atys ENSCATG00000004633
rhinopithecus_bieti ENSRBIG00000036373
pan_paniscus ENSPPAG00000043810
gorilla_gorilla ENSGGOG00000040841
saimiri_boliviensis_boliviensis ENSSBOG00000027121
cebus_capucinus ENSCCAG00000023755
aotus_nancymaae ENSANAG00000016925
pan_troglodytes ENSPTRG00000046110
carlito_syrichta ENSTSYG00000029722
equus_asinus_asinus ENSEASG00005016345
equus_caballus ENSECAG00000032860
