octodon_degus ENSODEG00000003506
rattus_norvegicus ENSRNOG00000030572
oryctolagus_cuniculus ENSOCUG00000013243
pan_troglodytes ENSPTRG00000021012
pan_paniscus ENSPPAG00000010462
gorilla_gorilla ENSGGOG00000016595
pongo_abelii ENSPPYG00000019283
nomascus_leucogenys ENSNLEG00000000775
mandrillus_leucophaeus ENSMLEG00000044051
cercocebus_atys ENSCATG00000030908
papio_anubis ENSPANG00000025102
chlorocebus_sabaeus ENSCSAG00000008371
macaca_fascicularis ENSMFAG00000036167
macaca_mulatta ENSMMUG00000008346
macaca_nemestrina ENSMNEG00000036520
piliocolobus_tephrosceles ENSPTEG00000039388
colobus_angolensis_palliatus ENSCANG00000034281
rhinopithecus_roxellana ENSRROG00000028407
cebus_capucinus ENSCCAG00000027349
saimiri_boliviensis_boliviensis ENSSBOG00000000121
aotus_nancymaae ENSANAG00000026687
propithecus_coquereli ENSPCOG00000024651
capra_hircus ENSCHIG00000017511
ovis_aries ENSOARG00000012914
sus_scrofa ENSSSCG00000005255
ursus_americanus ENSUAMG00000009396
ailuropoda_melanoleuca ENSAMEG00000007051
mustela_putorius_furo ENSMPUG00000009515
canis_lupus_familiaris ENSCAFG00000001880
canis_lupus_dingo ENSCAFG00020026439
vulpes_vulpes ENSVVUG00000003940
panthera_pardus ENSPPRG00000008590
equus_asinus_asinus ENSEASG00005009599
equus_caballus ENSECAG00000024999
dasypus_novemcinctus ENSDNOG00000024544
loxodonta_africana ENSLAFG00000005022
phascolarctos_cinereus ENSPCIG00000010578
ornithorhynchus_anatinus ENSOANG00000005025
