numida_meleagris ENSNMEG00000022751
gallus_gallus ENSGALG00000030569
anas_platyrhynchos_platyrhynchos ENSAPLG00000022553
apteryx_owenii ENSAOWG00000016070
apteryx_haastii ENSAHAG00000003462
apteryx_rowi ENSARWG00000010916
dromaius_novaehollandiae ENSDNVG00000011315
calidris_pygmaea ENSCPGG00000012828
nothoprocta_perdicaria ENSNPEG00000012229
chelonoidis_abingdonii ENSCABG00000005968
gopherus_agassizii ENSGAGG00000020172
chrysemys_picta_bellii ENSCPBG00000020652
parus_major ENSPMJG00000002799
ficedula_albicollis ENSFALG00000014316
nothoprocta_perdicaria ENSNPEG00000012230
anser_brachyrhynchus ENSABRG00000021667
coturnix_japonica ENSCJPG00005015751
calidris_pygmaea ENSCPGG00000008280
calidris_pugnax ENSCPUG00000002130
chelonoidis_abingdonii ENSCABG00000005962
pogona_vitticeps ENSPVIG00000011176
anolis_carolinensis ENSACAG00000025111
notechis_scutatus ENSNSUG00000011175
salvator_merianae ENSSMRG00000000685
sphenodon_punctatus ENSSPUG00000003006
junco_hyemalis ENSJHYG00000002651
jaculus_jaculus ENSJJAG00000021436
mesocricetus_auratus ENSMAUG00000001081
dipodomys_ordii ENSDORG00000025352
octodon_degus ENSODEG00000002257
ochotona_princeps ENSOPRG00000010064
sorex_araneus ENSSARG00000005069
sorex_araneus ENSSARG00000005162
erinaceus_europaeus ENSEEUG00000008768
myotis_lucifugus ENSMLUG00000015516
myotis_lucifugus ENSMLUG00000017173
loxodonta_africana ENSLAFG00000011744
echinops_telfairi ENSETEG00000008244
dasypus_novemcinctus ENSDNOG00000000765
chinchilla_lanigera ENSCLAG00000003817
cavia_porcellus ENSCPOG00000022446
heterocephalus_glaber_female ENSHGLG00000001780
heterocephalus_glaber_male ENSHGLG00100003599
fukomys_damarensis ENSFDAG00000017298
urocitellus_parryii ENSUPAG00010005621
spermophilus_dauricus ENSSDAG00000006549
ictidomys_tridecemlineatus ENSSTOG00000007039
marmota_marmota_marmota ENSMMMG00000020984
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017095
mus_spicilegus ENSMSIG00000000264
mus_musculus ENSMUSG00000040365
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016254
mus_pahari MGP_PahariEiJ_G0017390
rattus_norvegicus ENSRNOG00000002388
meriones_unguiculatus ENSMUGG00000003207
cricetulus_griseus_chok1gshd ENSCGRG00001016698
cricetulus_griseus_crigri-picr ENSCGRG00015000911
peromyscus_maniculatus_bairdii ENSPEMG00000017879
microtus_ochrogaster ENSMOCG00000022282
nannospalax_galili ENSNGAG00000023272
castor_canadensis ENSCCNG00000019073
oryctolagus_cuniculus ENSOCUG00000003237
oryctolagus_cuniculus ENSOCUG00000005574
equus_caballus ENSECAG00000007555
equus_asinus_asinus ENSEASG00005012846
pteropus_vampyrus ENSPVAG00000010600
mustela_putorius_furo ENSMPUG00000001186
neovison_vison ENSNVIG00000007141
ursus_americanus ENSUAMG00000015863
ursus_maritimus ENSUMAG00000009686
ailuropoda_melanoleuca ENSAMEG00000000005
canis_lupus_dingo ENSCAFG00020002200
canis_lupus_familiaris ENSCAFG00000012851
vulpes_vulpes ENSVVUG00000002803
panthera_pardus ENSPPRG00000019447
felis_catus ENSFCAG00000003038
ovis_aries ENSOARG00000007277
capra_hircus ENSCHIG00000001532
bos_mutus ENSBMUG00000018238
bos_taurus ENSBTAG00000019646
bison_bison_bison ENSBBBG00000011261
tursiops_truncatus ENSTTRG00000008027
sus_scrofa ENSSSCG00000032836
prolemur_simus ENSPSMG00000013028
propithecus_coquereli ENSPCOG00000027147
otolemur_garnettii ENSOGAG00000016058
