ursus_maritimus ENSUMAG00000015649
vulpes_vulpes ENSVVUG00000012726
neovison_vison ENSNVIG00000007170
ovis_aries ENSOARG00000019633
pongo_abelii ENSPPYG00000012954
marmota_marmota_marmota ENSMMMG00000023762
panthera_pardus ENSPPRG00000000168
felis_catus ENSFCAG00000030594
mustela_putorius_furo ENSMPUG00000014029
ursus_americanus ENSUAMG00000025686
canis_lupus_dingo ENSCAFG00020006229
canis_lupus_familiaris ENSCAFG00000013436
capra_hircus ENSCHIG00000026087
bos_taurus ENSBTAG00000033330
pteropus_vampyrus ENSPVAG00000017417
equus_asinus_asinus ENSEASG00005022553
equus_caballus ENSECAG00000003045
cricetulus_griseus_chok1gshd ENSCGRG00001010386
cricetulus_griseus_crigri-picr ENSCGRG00015000313
microtus_ochrogaster ENSMOCG00000019226
mus_musculus ENSMUSG00000042499
mus_spicilegus ENSMSIG00000006326
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024592
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023669
mus_pahari MGP_PahariEiJ_G0025121
rattus_norvegicus ENSRNOG00000051472
meriones_unguiculatus ENSMUGG00000010767
jaculus_jaculus ENSJJAG00000012344
dipodomys_ordii ENSDORG00000029219
nannospalax_galili ENSNGAG00000023438
oryctolagus_cuniculus ENSOCUG00000013942
urocitellus_parryii ENSUPAG00010020439
macaca_nemestrina ENSMNEG00000029127
macaca_mulatta ENSMMUG00000047915
cercocebus_atys ENSCATG00000031157
theropithecus_gelada ENSTGEG00000021225
chlorocebus_sabaeus ENSCSAG00000014457
piliocolobus_tephrosceles ENSPTEG00000039208
pan_troglodytes ENSPTRG00000012666
pan_paniscus ENSPPAG00000028125
homo_sapiens ENSG00000128713
callithrix_jacchus ENSCJAG00000048503
cebus_capucinus ENSCCAG00000034968
microcebus_murinus ENSMICG00000048033
prolemur_simus ENSPSMG00000024479
propithecus_coquereli ENSPCOG00000015055
otolemur_garnettii ENSOGAG00000029520
aotus_nancymaae ENSANAG00000029678
sus_scrofa ENSSSCG00000034741
mesocricetus_auratus ENSMAUG00000020249
ochotona_princeps ENSOPRG00000004018
mandrillus_leucophaeus ENSMLEG00000030792
rhinopithecus_roxellana ENSRROG00000043226
rhinopithecus_bieti ENSRBIG00000035253
colobus_angolensis_palliatus ENSCANG00000040649
papio_anubis ENSPANG00000032579
octodon_degus ENSODEG00000010934
chinchilla_lanigera ENSCLAG00000012563
cavia_porcellus ENSCPOG00000019766
heterocephalus_glaber_female ENSHGLG00000006431
peromyscus_maniculatus_bairdii ENSPEMG00000018816
carlito_syrichta ENSTSYG00000035865
ailuropoda_melanoleuca ENSAMEG00000001856
myotis_lucifugus ENSMLUG00000007030
macaca_fascicularis ENSMFAG00000043724
dasypus_novemcinctus ENSDNOG00000044260
echinops_telfairi ENSETEG00000011066
monodelphis_domestica ENSMODG00000009565
sarcophilus_harrisii ENSSHAG00000015976
notamacropus_eugenii ENSMEUG00000001401
phascolarctos_cinereus ENSPCIG00000034132
anolis_carolinensis ENSACAG00000007282
notechis_scutatus ENSNSUG00000011224
salvator_merianae ENSSMRG00000018210
pogona_vitticeps ENSPVIG00000001065
