ciona_intestinalis ENSCING00000012392
ciona_savignyi ENSCSAVG00000009513
scleropages_formosus ENSSFOG00015001608
paramormyrops_kingsleyae ENSPKIG00000003533
scleropages_formosus ENSSFOG00015000178
paramormyrops_kingsleyae ENSPKIG00000001702
mastacembelus_armatus ENSMAMG00000021549
monopterus_albus ENSMALG00000017071
anabas_testudineus ENSATEG00000011722
seriola_lalandi_dorsalis ENSSLDG00000008672
seriola_dumerili ENSSDUG00000020111
scophthalmus_maximus ENSSMAG00000005843
xiphophorus_maculatus ENSXMAG00000012283
xiphophorus_couchianus ENSXCOG00000005822
gambusia_affinis ENSGAFG00000005640
poecilia_formosa ENSPFOG00000009942
poecilia_latipinna ENSPLAG00000003519
poecilia_mexicana ENSPMEG00000002935
poecilia_reticulata ENSPREG00000004360
fundulus_heteroclitus ENSFHEG00000014933
cyprinodon_variegatus ENSCVAG00000000703
kryptolebias_marmoratus ENSKMAG00000011787
oryzias_latipes_asm223469v1 ENSORLG00015005888
oryzias_latipes ENSORLG00000019064
oryzias_latipes ENSORLG00020021261
oryzias_melastigma ENSOMEG00000004357
astatotilapia_calliptera ENSACLG00000012990
maylandia_zebra ENSMZEG00005008207
haplochromis_burtoni ENSHBUG00000005250
pundamilia_nyererei ENSPNYG00000013496
neolamprologus_brichardi ENSNBRG00000006929
oreochromis_niloticus ENSONIG00000008377
amphilophus_citrinellus ENSACIG00000009196
acanthochromis_polyacanthus ENSAPOG00000011558
acanthochromis_polyacanthus ENSAPOG00000010822
amphiprion_percula ENSAPEG00000019437
amphiprion_ocellaris ENSAOCG00000003785
stegastes_partitus ENSSPAG00000012480
takifugu_rubripes ENSTRUG00000000302
tetraodon_nigroviridis ENSTNIG00000019829
labrus_bergylta ENSLBEG00000016497
labrus_bergylta ENSLBEG00000004862
mola_mola ENSMMOG00000013676
gasterosteus_aculeatus ENSGACG00000020865
cynoglossus_semilaevis ENSCSEG00000013215
tetraodon_nigroviridis ENSTNIG00000014258
hippocampus_comes ENSHCOG00000017395
periophthalmus_magnuspinnatus ENSPMGG00000004751
gadus_morhua ENSGMOG00000006035
esox_lucius ENSELUG00000021666
tetraodon_nigroviridis ENSTNIG00000004961
pygocentrus_nattereri ENSPNAG00000014592
astyanax_mexicanus ENSAMXG00000032010
ictalurus_punctatus ENSIPUG00000017927
danio_rerio ENSDARG00000010085
lepisosteus_oculatus ENSLOCG00000010375
calidris_pugnax ENSCPUG00000006265
calidris_pygmaea ENSCPGG00000016360
melopsittacus_undulatus ENSMUNG00000003894
parus_major ENSPMJG00000014449
cyanistes_caeruleus ENSCCEG00000013453
ficedula_albicollis ENSFALG00000001103
lonchura_striata_domestica ENSLSDG00000007662
taeniopygia_guttata ENSTGUG00000001347
zonotrichia_albicollis ENSZALG00000009522
junco_hyemalis ENSJHYG00000008960
serinus_canaria ENSSCAG00000010774
manacus_vitellinus ENSMVIG00005010372
lepidothrix_coronata ENSLCOG00000007562
anser_brachyrhynchus ENSABRG00000016204
anas_platyrhynchos_platyrhynchos ENSAPLG00000003370
gallus_gallus ENSGALG00000006677
meleagris_gallopavo ENSMGAG00000008789
coturnix_japonica ENSCJPG00005020986
numida_meleagris ENSNMEG00000020489
apteryx_haastii ENSAHAG00000007697
apteryx_owenii ENSAOWG00000008639
apteryx_rowi ENSARWG00000001931
dromaius_novaehollandiae ENSDNVG00000010153
nothoprocta_perdicaria ENSNPEG00000002213
crocodylus_porosus ENSCPRG00005009472
chelonoidis_abingdonii ENSCABG00000012049
gopherus_agassizii ENSGAGG00000011408
chrysemys_picta_bellii ENSCPBG00000025117
pelodiscus_sinensis ENSPSIG00000012716
anolis_carolinensis ENSACAG00000012415
notechis_scutatus ENSNSUG00000004623
pogona_vitticeps ENSPVIG00000019316
salvator_merianae ENSSMRG00000017880
sphenodon_punctatus ENSSPUG00000009999
phascolarctos_cinereus ENSPCIG00000001023
monodelphis_domestica ENSMODG00000014035
notamacropus_eugenii ENSMEUG00000014251
sarcophilus_harrisii ENSSHAG00000002885
ursus_maritimus ENSUMAG00000018565
ursus_americanus ENSUAMG00000025860
ailuropoda_melanoleuca ENSAMEG00000017663
mustela_putorius_furo ENSMPUG00000010718
neovison_vison ENSNVIG00000018082
canis_lupus_dingo ENSCAFG00020014266
canis_lupus_familiaris ENSCAFG00000000824
vulpes_vulpes ENSVVUG00000024626
panthera_pardus ENSPPRG00000005209
panthera_tigris_altaica ENSPTIG00000006055
felis_catus ENSFCAG00000014013
equus_asinus_asinus ENSEASG00005016292
equus_caballus ENSECAG00000024817
capra_hircus ENSCHIG00000021007
ovis_aries ENSOARG00000015394
bos_mutus ENSBMUG00000014738
bos_taurus ENSBTAG00000001116
bison_bison_bison ENSBBBG00000012706
tursiops_truncatus ENSTTRG00000002908
sus_scrofa ENSSSCG00000020915
vicugna_pacos ENSVPAG00000003835
pteropus_vampyrus ENSPVAG00000014986
myotis_lucifugus ENSMLUG00000001634
erinaceus_europaeus ENSEEUG00000013366
sorex_araneus ENSSARG00000012512
ursus_americanus ENSUAMG00000025859
mus_musculus ENSMUSG00000018906
mus_spicilegus ENSMSIG00000010006
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017195
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016353
mus_pahari MGP_PahariEiJ_G0017488
rattus_norvegicus ENSRNOG00000033663
meriones_unguiculatus ENSMUGG00000025052
peromyscus_maniculatus_bairdii ENSPEMG00000004967
microtus_ochrogaster ENSMOCG00000010121
cricetulus_griseus_chok1gshd ENSCGRG00001012916
cricetulus_griseus_crigri ENSCGRG00000008403
cricetulus_griseus_crigri-picr ENSCGRG00015023630
mesocricetus_auratus ENSMAUG00000007802
nannospalax_galili ENSNGAG00000019060
jaculus_jaculus ENSJJAG00000023004
dipodomys_ordii ENSDORG00000013569
castor_canadensis ENSCCNG00000023260
ictidomys_tridecemlineatus ENSSTOG00000007747
spermophilus_dauricus ENSSDAG00000020601
urocitellus_parryii ENSUPAG00010016159
marmota_marmota_marmota ENSMMMG00000015686
cavia_porcellus ENSCPOG00000008411
cavia_aperea ENSCAPG00000011398
chinchilla_lanigera ENSCLAG00000013749
octodon_degus ENSODEG00000009419
heterocephalus_glaber_female ENSHGLG00000013514
heterocephalus_glaber_male ENSHGLG00100000246
fukomys_damarensis ENSFDAG00000006739
ochotona_princeps ENSOPRG00000011633
oryctolagus_cuniculus ENSOCUG00000008966
tupaia_belangeri ENSTBEG00000010113
pan_troglodytes ENSPTRG00000017213
pan_paniscus ENSPPAG00000028815
homo_sapiens ENSG00000072682
gorilla_gorilla ENSGGOG00000006366
nomascus_leucogenys ENSNLEG00000012634
piliocolobus_tephrosceles ENSPTEG00000002292
colobus_angolensis_palliatus ENSCANG00000031458
rhinopithecus_roxellana ENSRROG00000041342
theropithecus_gelada ENSTGEG00000018647
papio_anubis ENSPANG00000003024
cercocebus_atys ENSCATG00000037172
mandrillus_leucophaeus ENSMLEG00000039335
macaca_fascicularis ENSMFAG00000040077
macaca_nemestrina ENSMNEG00000043295
callithrix_jacchus ENSCJAG00000012936
cebus_capucinus ENSCCAG00000030663
aotus_nancymaae ENSANAG00000022840
macaca_mulatta ENSMMUG00000010858
chlorocebus_sabaeus ENSCSAG00000013842
rhinopithecus_bieti ENSRBIG00000043030
pongo_abelii ENSPPYG00000015755
saimiri_boliviensis_boliviensis ENSSBOG00000032486
carlito_syrichta ENSTSYG00000003233
propithecus_coquereli ENSPCOG00000017003
microcebus_murinus ENSMICG00000005666
prolemur_simus ENSPSMG00000022909
otolemur_garnettii ENSOGAG00000015473
procavia_capensis ENSPCAG00000009410
loxodonta_africana ENSLAFG00000007412
echinops_telfairi ENSETEG00000002322
choloepus_hoffmanni ENSCHOG00000000025
dasypus_novemcinctus ENSDNOG00000000343
ornithorhynchus_anatinus ENSOANG00000005598
xenopus_tropicalis ENSXETG00000006987
latimeria_chalumnae ENSLACG00000010010
scleropages_formosus ENSSFOG00015001574
paramormyrops_kingsleyae ENSPKIG00000003449
ictalurus_punctatus ENSIPUG00000020712
astyanax_mexicanus ENSAMXG00000036173
danio_rerio ENSDARG00000094609
eptatretus_burgeri ENSEBUG00000003375
