panthera_pardus ENSPPRG00000020007
felis_catus ENSFCAG00000037189
vulpes_vulpes ENSVVUG00000006219
canis_lupus_familiaris ENSCAFG00000031107
bos_mutus ENSBMUG00000026816
bos_taurus ENSBTAG00000051324
bison_bison_bison ENSBBBG00000023022
ovis_aries ENSOARG00000008679
sus_scrofa ENSSSCG00000036444
equus_caballus ENSECAG00000031215
equus_asinus_asinus ENSEASG00005004624
cebus_capucinus ENSCCAG00000024991
callithrix_jacchus ENSCJAG00000019779
saimiri_boliviensis_boliviensis ENSSBOG00000021164
aotus_nancymaae ENSANAG00000036433
mandrillus_leucophaeus ENSMLEG00000040811
macaca_nemestrina ENSMNEG00000039388
colobus_angolensis_palliatus ENSCANG00000036556
rhinopithecus_roxellana ENSRROG00000042534
rhinopithecus_bieti ENSRBIG00000022146
piliocolobus_tephrosceles ENSPTEG00000029805
macaca_mulatta ENSMMUG00000041239
macaca_fascicularis ENSMFAG00000042782
theropithecus_gelada ENSTGEG00000012317
chlorocebus_sabaeus ENSCSAG00000009492
papio_anubis ENSPANG00000025004
pan_paniscus ENSPPAG00000029911
pan_troglodytes ENSPTRG00000049114
homo_sapiens ENSG00000226174
gorilla_gorilla ENSGGOG00000040770
nomascus_leucogenys ENSNLEG00000030099
carlito_syrichta ENSTSYG00000033944
prolemur_simus ENSPSMG00000021113
microcebus_murinus ENSMICG00000034469
propithecus_coquereli ENSPCOG00000020677
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019019
mus_musculus ENSMUSG00000012211
mus_spicilegus ENSMSIG00000029118
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018170
mus_pahari MGP_PahariEiJ_G0029927
rattus_norvegicus ENSRNOG00000028158
meriones_unguiculatus ENSMUGG00000013461
cricetulus_griseus_chok1gshd ENSCGRG00001020608
cricetulus_griseus_crigri ENSCGRG00000005183
mesocricetus_auratus ENSMAUG00000014471
microtus_ochrogaster ENSMOCG00000003772
peromyscus_maniculatus_bairdii ENSPEMG00000009291
nannospalax_galili ENSNGAG00000016084
jaculus_jaculus ENSJJAG00000012615
castor_canadensis ENSCCNG00000019920
urocitellus_parryii ENSUPAG00010019836
spermophilus_dauricus ENSSDAG00000021744
marmota_marmota_marmota ENSMMMG00000005567
dasypus_novemcinctus ENSDNOG00000032468
