seriola_lalandi_dorsalis ENSSLDG00000021809
seriola_dumerili ENSSDUG00000011905
scophthalmus_maximus ENSSMAG00000017418
labrus_bergylta ENSLBEG00000023432
anabas_testudineus ENSATEG00000024207
maylandia_zebra ENSMZEG00005013064
astatotilapia_calliptera ENSACLG00000025617
haplochromis_burtoni ENSHBUG00000002750
pundamilia_nyererei ENSPNYG00000019872
neolamprologus_brichardi ENSNBRG00000023103
oreochromis_niloticus ENSONIG00000005302
amphilophus_citrinellus ENSACIG00000013907
oryzias_latipes ENSORLG00020020545
oryzias_latipes ENSORLG00000026996
oryzias_latipes_asm223469v1 ENSORLG00015010118
oryzias_melastigma ENSOMEG00000008826
amphiprion_percula ENSAPEG00000003539
amphiprion_ocellaris ENSAOCG00000013396
stegastes_partitus ENSSPAG00000004304
periophthalmus_magnuspinnatus ENSPMGG00000003488
mola_mola ENSMMOG00000010899
takifugu_rubripes ENSTRUG00000023389
cyprinodon_variegatus ENSCVAG00000011461
gadus_morhua ENSGMOG00000000626
esox_lucius ENSELUG00000014190
danio_rerio ENSDARG00000102450
