mus_musculus ENSMUSG00000049128
mus_spicilegus ENSMSIG00000012431
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026216
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025270
mus_pahari MGP_PahariEiJ_G0026716
rattus_norvegicus ENSRNOG00000009314
cricetulus_griseus_chok1gshd ENSCGRG00001010254
cricetulus_griseus_crigri-picr ENSCGRG00015007655
cricetulus_griseus_crigri ENSCGRG00000001830
mesocricetus_auratus ENSMAUG00000017956
nannospalax_galili ENSNGAG00000016451
marmota_marmota_marmota ENSMMMG00000018197
urocitellus_parryii ENSUPAG00010016639
microcebus_murinus ENSMICG00000026964
pan_paniscus ENSPPAG00000031701
gorilla_gorilla ENSGGOG00000001753
rhinopithecus_bieti ENSRBIG00000031008
chlorocebus_sabaeus ENSCSAG00000000040
ursus_americanus ENSUAMG00000009852
