lonchura_striata_domestica ENSLSDG00000017714
taeniopygia_guttata ENSTGUG00000008874
serinus_canaria ENSSCAG00000004180
junco_hyemalis ENSJHYG00000012755
zonotrichia_albicollis ENSZALG00000000915
parus_major ENSPMJG00000002970
cyanistes_caeruleus ENSCCEG00000019475
ficedula_albicollis ENSFALG00000000162
lepidothrix_coronata ENSLCOG00000001633
melopsittacus_undulatus ENSMUNG00000005534
calidris_pugnax ENSCPUG00000011073
anser_brachyrhynchus ENSABRG00000001721
anas_platyrhynchos_platyrhynchos ENSAPLG00000020114
gallus_gallus ENSGALG00000004342
coturnix_japonica ENSCJPG00005014381
meleagris_gallopavo ENSMGAG00000005268
numida_meleagris ENSNMEG00000018394
manacus_vitellinus ENSMVIG00005003261
anas_platyrhynchos_platyrhynchos ENSAPLG00000021132
calidris_pygmaea ENSCPGG00000001347
dromaius_novaehollandiae ENSDNVG00000017130
nothoprocta_perdicaria ENSNPEG00000012823
apteryx_rowi ENSARWG00000014935
apteryx_owenii ENSAOWG00000000032
apteryx_haastii ENSAHAG00000005977
crocodylus_porosus ENSCPRG00005004032
gopherus_agassizii ENSGAGG00000012617
chelonoidis_abingdonii ENSCABG00000002131
chrysemys_picta_bellii ENSCPBG00000016088
pelodiscus_sinensis ENSPSIG00000014037
anolis_carolinensis ENSACAG00000013438
pogona_vitticeps ENSPVIG00000010381
notechis_scutatus ENSNSUG00000012692
salvator_merianae ENSSMRG00000004986
sphenodon_punctatus ENSSPUG00000017089
choloepus_hoffmanni ENSCHOG00000002944
dasypus_novemcinctus ENSDNOG00000042920
capra_hircus ENSCHIG00000022439
ovis_aries ENSOARG00000015649
bos_taurus ENSBTAG00000001872
bos_mutus ENSBMUG00000011327
bison_bison_bison ENSBBBG00000016634
tursiops_truncatus ENSTTRG00000013294
vicugna_pacos ENSVPAG00000004254
sus_scrofa ENSSSCG00000024443
pteropus_vampyrus ENSPVAG00000010366
myotis_lucifugus ENSMLUG00000014254
ursus_americanus ENSUAMG00000009127
ursus_maritimus ENSUMAG00000007497
ailuropoda_melanoleuca ENSAMEG00000018347
neovison_vison ENSNVIG00000019167
mustela_putorius_furo ENSMPUG00000002704
canis_lupus_familiaris ENSCAFG00000003683
canis_lupus_dingo ENSCAFG00020010816
vulpes_vulpes ENSVVUG00000002051
panthera_tigris_altaica ENSPTIG00000013837
panthera_pardus ENSPPRG00000006469
felis_catus ENSFCAG00000024275
equus_caballus ENSECAG00000007182
equus_asinus_asinus ENSEASG00005022797
erinaceus_europaeus ENSEEUG00000012122
sorex_araneus ENSSARG00000005580
dipodomys_ordii ENSDORG00000030067
dipodomys_ordii ENSDORG00000024942
castor_canadensis ENSCCNG00000027752
