procavia_capensis ENSPCAG00000005591
echinops_telfairi ENSETEG00000013046
canis_lupus ENSCAFG00020021741
vulpes_vulpes ENSVVUG00000027950
ursus_americanus ENSUAMG00000023023
neovison_vison ENSNVIG00000023140
mustela_putorius ENSMPUG00000006809
panthera_tigris ENSPTIG00000019659
panthera_pardus ENSPPRG00000020567
capra_hircus ENSCHIG00000026525
ovis_aries ENSOARG00000016930
bison_bison ENSBBBG00000000631
bos_mutus ENSBMUG00000009030
bos_taurus ENSBTAG00000007904
vicugna_pacos ENSVPAG00000011712
sus_scrofa ENSSSCG00000000249
erinaceus_europaeus ENSEEUG00000014239
sorex_araneus ENSSARG00000005654
pteropus_vampyrus ENSPVAG00000006590
myotis_lucifugus ENSMLUG00000005386
equus_asinus ENSEASG00005009149
castor_canadensis ENSCCNG00000020916
dipodomys_ordii ENSDORG00000013176
peromyscus_maniculatus ENSPEMG00000018769
microtus_ochrogaster ENSMOCG00000019668
cricetulus_griseus ENSCGRG00001013962
cricetulus_griseus ENSCGRG00000006921
cricetulus_griseus ENSCGRG00015028626
mesocricetus_auratus ENSMAUG00000017504
mus_spicilegus ENSMSIG00000010140
mus_spretus MGP_SPRETEiJ_G0021217
mus_musculus ENSMUSG00000056605
mus_caroli MGP_CAROLIEiJ_G0020324
mus_pahari MGP_PahariEiJ_G0020323
rattus_norvegicus ENSRNOG00000030876
nannospalax_galili ENSNGAG00000006933
jaculus_jaculus ENSJJAG00000020832
urocitellus_parryii ENSUPAG00010000241
spermophilus_dauricus ENSSDAG00000022382
ictidomys_tridecemlineatus ENSSTOG00000030142
marmota_marmota ENSMMMG00000001736
cavia_aperea ENSCAPG00000011978
cavia_porcellus ENSCPOG00000038774
octodon_degus ENSODEG00000012462
heterocephalus_glaber ENSHGLG00100004789
heterocephalus_glaber ENSHGLG00000001158
fukomys_damarensis ENSFDAG00000011944
oryctolagus_cuniculus ENSOCUG00000008097
ochotona_princeps ENSOPRG00000008814
tupaia_belangeri ENSTBEG00000007138
meriones_unguiculatus ENSMUGG00000024870
cebus_capucinus ENSCCAG00000021252
saimiri_boliviensis ENSSBOG00000017129
aotus_nancymaae ENSANAG00000031663
pan_troglodytes ENSPTRG00000004984
pan_paniscus ENSPPAG00000044123
homo_sapiens ENSG00000170486
gorilla_gorilla ENSGGOG00000003136
pongo_abelii ENSPPYG00000004552
nomascus_leucogenys ENSNLEG00000017743
mandrillus_leucophaeus ENSMLEG00000041054
theropithecus_gelada ENSTGEG00000006602
cercocebus_atys ENSCATG00000030323
papio_anubis ENSPANG00000020166
macaca_nemestrina ENSMNEG00000040376
macaca_fascicularis ENSMFAG00000037175
chlorocebus_sabaeus ENSCSAG00000005665
piliocolobus_tephrosceles ENSPTEG00000038163
colobus_angolensis ENSCANG00000036383
rhinopithecus_bieti ENSRBIG00000027340
rhinopithecus_roxellana ENSRROG00000003861
carlito_syrichta ENSTSYG00000010194
propithecus_coquereli ENSPCOG00000014924
prolemur_simus ENSPSMG00000003993
microcebus_murinus ENSMICG00000002209
otolemur_garnettii ENSOGAG00000011711
choloepus_hoffmanni ENSCHOG00000000494
dasypus_novemcinctus ENSDNOG00000004263
phascolarctos_cinereus ENSPCIG00000031580
notamacropus_eugenii ENSMEUG00000009899
sarcophilus_harrisii ENSSHAG00000015310
