numida_meleagris ENSNMEG00000009545
coturnix_japonica ENSCJPG00005014487
anser_brachyrhynchus ENSABRG00000019027
lonchura_striata_domestica ENSLSDG00000018126
junco_hyemalis ENSJHYG00000003246
lepidothrix_coronata ENSLCOG00000003545
calidris_pygmaea ENSCPGG00000004889
melopsittacus_undulatus ENSMUNG00000012244
serinus_canaria ENSSCAG00000006785
calidris_pugnax ENSCPUG00000011225
nothoprocta_perdicaria ENSNPEG00000000521
parus_major ENSPMJG00000012331
gopherus_agassizii ENSGAGG00000000532
chelonoidis_abingdonii ENSCABG00000023119
salvator_merianae ENSSMRG00000018273
notechis_scutatus ENSNSUG00000001688
urocitellus_parryii ENSUPAG00010016144
ictidomys_tridecemlineatus ENSSTOG00000023664
castor_canadensis ENSCCNG00000013629
cricetulus_griseus_crigri-picr ENSCGRG00015020823
cricetulus_griseus_chok1gshd ENSCGRG00001009393
mesocricetus_auratus ENSMAUG00000008235
microtus_ochrogaster ENSMOCG00000003755
mus_musculus ENSMUSG00000067261
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027162
mus_spicilegus ENSMSIG00000025994
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026193
mus_pahari MGP_PahariEiJ_G0028530
meriones_unguiculatus ENSMUGG00000025670
jaculus_jaculus ENSJJAG00000015766
bos_taurus ENSBTAG00000008501
ovis_aries ENSOARG00000009638
sus_scrofa ENSSSCG00000032215
felis_catus ENSFCAG00000045701
panthera_pardus ENSPPRG00000014919
ursus_americanus ENSUAMG00000007532
canis_lupus_dingo ENSCAFG00020017935
canis_lupus_familiaris ENSCAFG00000023383
equus_caballus ENSECAG00000031177
homo_sapiens ENSG00000187140
pan_troglodytes ENSPTRG00000030580
gorilla_gorilla ENSGGOG00000027326
pongo_abelii ENSPPYG00000001278
theropithecus_gelada ENSTGEG00000011152
papio_anubis ENSPANG00000017676
macaca_mulatta ENSMMUG00000022350
macaca_fascicularis ENSMFAG00000039187
macaca_nemestrina ENSMNEG00000021981
cercocebus_atys ENSCATG00000018412
chlorocebus_sabaeus ENSCSAG00000000150
colobus_angolensis_palliatus ENSCANG00000014619
piliocolobus_tephrosceles ENSPTEG00000017861
cebus_capucinus ENSCCAG00000020242
callithrix_jacchus ENSCJAG00000044080
aotus_nancymaae ENSANAG00000002392
prolemur_simus ENSPSMG00000007018
propithecus_coquereli ENSPCOG00000004911
microcebus_murinus ENSMICG00000044158
myotis_lucifugus ENSMLUG00000006018
rhinopithecus_bieti ENSRBIG00000026600
loxodonta_africana ENSLAFG00000003874
dasypus_novemcinctus ENSDNOG00000005013
scophthalmus_maximus ENSSMAG00000020628
gasterosteus_aculeatus ENSGACG00000006933
cynoglossus_semilaevis ENSCSEG00000017971
takifugu_rubripes ENSTRUG00000018523
tetraodon_nigroviridis ENSTNIG00000018100
labrus_bergylta ENSLBEG00000014689
xiphophorus_couchianus ENSXCOG00000008251
xiphophorus_maculatus ENSXMAG00000029818
poecilia_formosa ENSPFOG00000020300
poecilia_latipinna ENSPLAG00000011392
poecilia_mexicana ENSPMEG00000015647
poecilia_reticulata ENSPREG00000020683
fundulus_heteroclitus ENSFHEG00000001408
cyprinodon_variegatus ENSCVAG00000002594
gambusia_affinis ENSGAFG00000008715
kryptolebias_marmoratus ENSKMAG00000011317
oryzias_latipes_asm223469v1 ENSORLG00015006639
oryzias_latipes ENSORLG00020010544
oryzias_latipes ENSORLG00000010359
oryzias_melastigma ENSOMEG00000008152
amphiprion_ocellaris ENSAOCG00000006661
amphiprion_percula ENSAPEG00000011219
acanthochromis_polyacanthus ENSAPOG00000016774
maylandia_zebra ENSMZEG00005012536
astatotilapia_calliptera ENSACLG00000001505
pundamilia_nyererei ENSPNYG00000017501
haplochromis_burtoni ENSHBUG00000020578
neolamprologus_brichardi ENSNBRG00000018617
oreochromis_niloticus ENSONIG00000021415
amphilophus_citrinellus ENSACIG00000011882
mastacembelus_armatus ENSMAMG00000009229
monopterus_albus ENSMALG00000017811
anabas_testudineus ENSATEG00000019995
seriola_lalandi_dorsalis ENSSLDG00000002349
seriola_dumerili ENSSDUG00000013552
mola_mola ENSMMOG00000001676
hippocampus_comes ENSHCOG00000004520
periophthalmus_magnuspinnatus ENSPMGG00000010698
gadus_morhua ENSGMOG00000018243
ictalurus_punctatus ENSIPUG00000006701
scleropages_formosus ENSSFOG00015001052
danio_rerio ENSDARG00000021032
esox_lucius ENSELUG00000022126
lepisosteus_oculatus ENSLOCG00000017740
xenopus_tropicalis ENSXETG00000010836
latimeria_chalumnae ENSLACG00000015487
pygocentrus_nattereri ENSPNAG00000009528
astyanax_mexicanus ENSAMXG00000024940
notechis_scutatus ENSNSUG00000005940
notechis_scutatus ENSNSUG00000005945
salvator_merianae ENSSMRG00000016056
pelodiscus_sinensis ENSPSIG00000010073
octodon_degus ENSODEG00000006760
salvator_merianae ENSSMRG00000018306
sus_scrofa ENSSSCG00000035878
capra_hircus ENSCHIG00000002299
panthera_pardus ENSPPRG00000015999
equus_asinus_asinus ENSEASG00005018097
equus_caballus ENSECAG00000029063
theropithecus_gelada ENSTGEG00000020768
cercocebus_atys ENSCATG00000017156
macaca_mulatta ENSMMUG00000040510
macaca_nemestrina ENSMNEG00000043099
piliocolobus_tephrosceles ENSPTEG00000004273
homo_sapiens ENSG00000251493
pan_troglodytes ENSPTRG00000047627
cebus_capucinus ENSCCAG00000006678
aotus_nancymaae ENSANAG00000029094
prolemur_simus ENSPSMG00000018815
propithecus_coquereli ENSPCOG00000012192
urocitellus_parryii ENSUPAG00010015028
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019704
mus_musculus ENSMUSG00000078302
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018822
mus_pahari MGP_PahariEiJ_G0015897
rattus_norvegicus ENSRNOG00000043332
cricetulus_griseus_chok1gshd ENSCGRG00001010743
microtus_ochrogaster ENSMOCG00000005673
meriones_unguiculatus ENSMUGG00000025202
meriones_unguiculatus ENSMUGG00000025203
heterocephalus_glaber_female ENSHGLG00000001269
phascolarctos_cinereus ENSPCIG00000026101
monodelphis_domestica ENSMODG00000027859
echinops_telfairi ENSETEG00000009537
anser_brachyrhynchus ENSABRG00000000141
pygocentrus_nattereri ENSPNAG00000024923
astyanax_mexicanus ENSAMXG00000016595
seriola_dumerili ENSSDUG00000008776
seriola_lalandi_dorsalis ENSSLDG00000003424
anabas_testudineus ENSATEG00000004345
monopterus_albus ENSMALG00000019405
labrus_bergylta ENSLBEG00000018907
esox_lucius ENSELUG00000015240
danio_rerio ENSDARG00000058133
eptatretus_burgeri ENSEBUG00000001866
