sphenodon_punctatus ENSSPUG00000010460
salvator_merianae ENSSMRG00000002400
bos_taurus ENSBTAG00000015592
bos_mutus ENSBMUG00000020785
bos_indicus ENSBIXG00000023004
ovis_aries ENSOARG00000016207
equus_caballus ENSECAG00000000949
oryctolagus_cuniculus ENSOCUG00000010753
xenopus_tropicalis ENSXETG00000004383
latimeria_chalumnae ENSLACG00000008091
hucho_hucho ENSHHUG00000047225
esox_lucius ENSELUG00000015567
pundamilia_nyererei ENSPNYG00000001395
maylandia_zebra ENSMZEG00005008252
haplochromis_burtoni ENSHBUG00000014824
oreochromis_niloticus ENSONIG00000019096
amphilophus_citrinellus ENSACIG00000001267
acanthochromis_polyacanthus ENSAPOG00000015012
kryptolebias_marmoratus ENSKMAG00000019032
xiphophorus_couchianus ENSXCOG00000019655
mola_mola ENSMMOG00000021850
tetraodon_nigroviridis ENSTNIG00000014581
labrus_bergylta ENSLBEG00000019677
lates_calcarifer ENSLCAG00010017940
anabas_testudineus ENSATEG00000001624
monopterus_albus ENSMALG00000014889
electrophorus_electricus ENSEEEG00000008677
paramormyrops_kingsleyae ENSPKIG00000008354
callorhinchus_milii ENSCMIG00000002704
eptatretus_burgeri ENSEBUG00000001964
gopherus_agassizii ENSGAGG00000023468
chelonoidis_abingdonii ENSCABG00000009585
chrysemys_picta ENSCPBG00000026645
pelodiscus_sinensis ENSPSIG00000010985
crocodylus_porosus ENSCPRG00005014466
pogona_vitticeps ENSPVIG00000023508
anolis_carolinensis ENSACAG00000003261
notechis_scutatus ENSNSUG00000006664
anser_brachyrhynchus ENSABRG00000014214
anas_platyrhynchos ENSAPLG00000022146
coturnix_japonica ENSCJPG00005021516
meleagris_gallopavo ENSMGAG00000006876
gallus_gallus ENSGALG00000005252
numida_meleagris ENSNMEG00000017710
lonchura_striata ENSLSDG00000017640
serinus_canaria ENSSCAG00000012322
junco_hyemalis ENSJHYG00000016761
parus_major ENSPMJG00000019321
ficedula_albicollis ENSFALG00000014438
lepidothrix_coronata ENSLCOG00000002086
manacus_vitellinus ENSMVIG00005016539
calidris_pugnax ENSCPUG00000004209
calidris_pygmaea ENSCPGG00000002380
apteryx_haastii ENSAHAG00000007397
apteryx_rowi ENSARWG00000018907
dromaius_novaehollandiae ENSDNVG00000006673
vombatus_ursinus ENSVURG00010001529
phascolarctos_cinereus ENSPCIG00000007670
sarcophilus_harrisii ENSSHAG00000007417
monodelphis_domestica ENSMODG00000023249
mus_musculus ENSMUSG00000068696
mus_spretus MGP_SPRETEiJ_G0026513
mus_spicilegus ENSMSIG00000005216
mus_caroli MGP_CAROLIEiJ_G0025563
mus_pahari MGP_PahariEiJ_G0027009
rattus_norvegicus ENSRNOG00000026953
meriones_unguiculatus ENSMUGG00000015320
