esox_lucius ENSELUG00000004074
gadus_morhua ENSGMOG00000005747
ictalurus_punctatus ENSIPUG00000018923
pygocentrus_nattereri ENSPNAG00000020959
astyanax_mexicanus ENSAMXG00000000818
danio_rerio ENSDARG00000021984
monopterus_albus ENSMALG00000004525
mastacembelus_armatus ENSMAMG00000012521
anabas_testudineus ENSATEG00000013837
maylandia_zebra ENSMZEG00005024955
haplochromis_burtoni ENSHBUG00000009036
astatotilapia_calliptera ENSACLG00000001751
pundamilia_nyererei ENSPNYG00000021988
neolamprologus_brichardi ENSNBRG00000024208
oreochromis_niloticus ENSONIG00000017823
amphilophus_citrinellus ENSACIG00000022289
amphiprion_ocellaris ENSAOCG00000001111
amphiprion_percula ENSAPEG00000003711
acanthochromis_polyacanthus ENSAPOG00000013842
acanthochromis_polyacanthus ENSAPOG00000006666
stegastes_partitus ENSSPAG00000020042
seriola_dumerili ENSSDUG00000023250
seriola_lalandi_dorsalis ENSSLDG00000015546
gasterosteus_aculeatus ENSGACG00000020909
tetraodon_nigroviridis ENSTNIG00000004393
takifugu_rubripes ENSTRUG00000022054
mola_mola ENSMMOG00000017375
labrus_bergylta ENSLBEG00000017848
scophthalmus_maximus ENSSMAG00000016030
cynoglossus_semilaevis ENSCSEG00000020492
periophthalmus_magnuspinnatus ENSPMGG00000014428
xiphophorus_maculatus ENSXMAG00000006496
xiphophorus_couchianus ENSXCOG00000018046
gambusia_affinis ENSGAFG00000022033
poecilia_latipinna ENSPLAG00000000753
poecilia_mexicana ENSPMEG00000023725
poecilia_formosa ENSPFOG00000018964
poecilia_reticulata ENSPREG00000003425
cyprinodon_variegatus ENSCVAG00000019088
fundulus_heteroclitus ENSFHEG00000003533
kryptolebias_marmoratus ENSKMAG00000013943
oryzias_latipes ENSORLG00020013209
oryzias_latipes_asm223469v1 ENSORLG00015020502
oryzias_melastigma ENSOMEG00000009555
hippocampus_comes ENSHCOG00000008327
hippocampus_comes ENSHCOG00000018099
scleropages_formosus ENSSFOG00015022082
paramormyrops_kingsleyae ENSPKIG00000020504
lepisosteus_oculatus ENSLOCG00000011183
apteryx_rowi ENSARWG00000013103
apteryx_owenii ENSAOWG00000010029
dromaius_novaehollandiae ENSDNVG00000006845
serinus_canaria ENSSCAG00000009323
lonchura_striata_domestica ENSLSDG00000013747
parus_major ENSPMJG00000014552
cyanistes_caeruleus ENSCCEG00000014681
ficedula_albicollis ENSFALG00000009502
junco_hyemalis ENSJHYG00000006470
manacus_vitellinus ENSMVIG00005018636
gallus_gallus ENSGALG00000040626
numida_meleagris ENSNMEG00000009682
anser_brachyrhynchus ENSABRG00000014237
anas_platyrhynchos_platyrhynchos ENSAPLG00000022908
calidris_pygmaea ENSCPGG00000006763
calidris_pugnax ENSCPUG00000011165
nothoprocta_perdicaria ENSNPEG00000003719
apteryx_haastii ENSAHAG00000011604
coturnix_japonica ENSCJPG00005012256
chelonoidis_abingdonii ENSCABG00000018934
gopherus_agassizii ENSGAGG00000000053
chrysemys_picta_bellii ENSCPBG00000007654
crocodylus_porosus ENSCPRG00005000921
pogona_vitticeps ENSPVIG00000015900
anolis_carolinensis ENSACAG00000012978
notechis_scutatus ENSNSUG00000012168
salvator_merianae ENSSMRG00000019029
sphenodon_punctatus ENSSPUG00000015789
ursus_americanus ENSUAMG00000005636
ailuropoda_melanoleuca ENSAMEG00000010954
neovison_vison ENSNVIG00000013487
canis_lupus_dingo ENSCAFG00020001429
canis_lupus_familiaris ENSCAFG00000005861
vulpes_vulpes ENSVVUG00000012989
canis_lupus_dingo ENSCAFG00020019097
panthera_tigris_altaica ENSPTIG00000018315
panthera_pardus ENSPPRG00000010914
felis_catus ENSFCAG00000001282
sorex_araneus ENSSARG00000007407
capra_hircus ENSCHIG00000027231
ovis_aries ENSOARG00000018374
bos_mutus ENSBMUG00000015491
bos_taurus ENSBTAG00000015041
bison_bison_bison ENSBBBG00000012154
bos_mutus ENSBMUG00000006482
bos_taurus ENSBTAG00000047836
bison_bison_bison ENSBBBG00000019233
bison_bison_bison ENSBBBG00000024153
bos_taurus ENSBTAG00000009274
bos_mutus ENSBMUG00000019005
tursiops_truncatus ENSTTRG00000010388
sus_scrofa ENSSSCG00000014371
sus_scrofa ENSSSCG00000027246
pteropus_vampyrus ENSPVAG00000009708
equus_caballus ENSECAG00000023131
equus_caballus ENSECAG00000034217
equus_asinus_asinus ENSEASG00005017518
tursiops_truncatus ENSTTRG00000005579
equus_caballus ENSECAG00000033774
spermophilus_dauricus ENSSDAG00000015509
vicugna_pacos ENSVPAG00000002460
microcebus_murinus ENSMICG00000047730
prolemur_simus ENSPSMG00000019873
propithecus_coquereli ENSPCOG00000028037
otolemur_garnettii ENSOGAG00000027727
oryctolagus_cuniculus ENSOCUG00000004237
heterocephalus_glaber_female ENSHGLG00000009165
heterocephalus_glaber_male ENSHGLG00100003541
fukomys_damarensis ENSFDAG00000014288
octodon_degus ENSODEG00000019176
octodon_degus ENSODEG00000020485
octodon_degus ENSODEG00000019964
octodon_degus ENSODEG00000003215
chinchilla_lanigera ENSCLAG00000011804
cavia_porcellus ENSCPOG00000009178
marmota_marmota_marmota ENSMMMG00000010699
ictidomys_tridecemlineatus ENSSTOG00000022532
urocitellus_parryii ENSUPAG00010001410
spermophilus_dauricus ENSSDAG00000015287
ictidomys_tridecemlineatus ENSSTOG00000021980
ictidomys_tridecemlineatus ENSSTOG00000020034
marmota_marmota_marmota ENSMMMG00000005015
castor_canadensis ENSCCNG00000015490
dipodomys_ordii ENSDORG00000006581
mus_spicilegus ENSMSIG00000031679
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023046
mus_musculus ENSMUSG00000014294
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022134
mus_pahari MGP_PahariEiJ_G0018868
rattus_norvegicus ENSRNOG00000017571
rattus_norvegicus ENSRNOG00000043512
meriones_unguiculatus ENSMUGG00000023622
cricetulus_griseus_crigri-picr ENSCGRG00015003493
cricetulus_griseus_chok1gshd ENSCGRG00001022607
cricetulus_griseus_crigri ENSCGRG00000006383
cricetulus_griseus_chok1gshd ENSCGRG00001012265
cricetulus_griseus_crigri ENSCGRG00000000293
mesocricetus_auratus ENSMAUG00000015843
microtus_ochrogaster ENSMOCG00000022078
nannospalax_galili ENSNGAG00000023938
jaculus_jaculus ENSJJAG00000023853
carlito_syrichta ENSTSYG00000008340
tupaia_belangeri ENSTBEG00000005978
pongo_abelii ENSPPYG00000015860
homo_sapiens ENSG00000131495
nomascus_leucogenys ENSNLEG00000018728
macaca_fascicularis ENSMFAG00000043950
macaca_mulatta ENSMMUG00000031056
macaca_nemestrina ENSMNEG00000033708
macaca_fascicularis ENSMFAG00000034109
cercocebus_atys ENSCATG00000036702
papio_anubis ENSPANG00000035408
theropithecus_gelada ENSTGEG00000025662
mandrillus_leucophaeus ENSMLEG00000043870
chlorocebus_sabaeus ENSCSAG00000012711
rhinopithecus_roxellana ENSRROG00000044049
rhinopithecus_roxellana ENSRROG00000033057
colobus_angolensis_palliatus ENSCANG00000020384
cercocebus_atys ENSCATG00000043434
theropithecus_gelada ENSTGEG00000028647
piliocolobus_tephrosceles ENSPTEG00000029118
colobus_angolensis_palliatus ENSCANG00000017107
saimiri_boliviensis_boliviensis ENSSBOG00000021588
callithrix_jacchus ENSCJAG00000016525
cebus_capucinus ENSCCAG00000036213
cebus_capucinus ENSCCAG00000028469
aotus_nancymaae ENSANAG00000036345
aotus_nancymaae ENSANAG00000030796
gorilla_gorilla ENSGGOG00000013369
pan_troglodytes ENSPTRG00000017321
nomascus_leucogenys ENSNLEG00000009325
colobus_angolensis_palliatus ENSCANG00000029625
macaca_mulatta ENSMMUG00000010011
rhinopithecus_bieti ENSRBIG00000032428
pan_paniscus ENSPPAG00000029576
propithecus_coquereli ENSPCOG00000020967
ursus_maritimus ENSUMAG00000013234
equus_caballus ENSECAG00000040042
erinaceus_europaeus ENSEEUG00000014212
urocitellus_parryii ENSUPAG00010007617
ochotona_princeps ENSOPRG00000006769
dasypus_novemcinctus ENSDNOG00000009777
choloepus_hoffmanni ENSCHOG00000002955
loxodonta_africana ENSLAFG00000013494
procavia_capensis ENSPCAG00000001406
echinops_telfairi ENSETEG00000005391
echinops_telfairi ENSETEG00000011703
monodelphis_domestica ENSMODG00000011446
phascolarctos_cinereus ENSPCIG00000017487
ornithorhynchus_anatinus ENSOANG00000011664
xenopus_tropicalis ENSXETG00000034248
xenopus_tropicalis ENSXETG00000031397
latimeria_chalumnae ENSLACG00000005796
eptatretus_burgeri ENSEBUG00000012351
petromyzon_marinus ENSPMAG00000005704
ciona_intestinalis ENSCING00000014349
ciona_savignyi ENSCSAVG00000006200
caenorhabditis_elegans_strain_n2 WBGene00013406
drosophila_melanogaster FBgn0040705
