coturnix_japonica ENSCJPG00005006868
gallus_gallus ENSGALG00000027533
numida_meleagris ENSNMEG00000005120
calidris_pugnax ENSCPUG00000008667
calidris_pygmaea ENSCPGG00000015700
lepidothrix_coronata ENSLCOG00000007163
manacus_vitellinus ENSMVIG00005015832
serinus_canaria ENSSCAG00000010081
lonchura_striata_domestica ENSLSDG00000001515
parus_major ENSPMJG00000017373
ficedula_albicollis ENSFALG00000000174
apteryx_owenii ENSAOWG00000004822
apteryx_rowi ENSARWG00000018287
apteryx_haastii ENSAHAG00000006337
salvator_merianae ENSSMRG00000017822
chrysemys_picta_bellii ENSCPBG00000024591
crocodylus_porosus ENSCPRG00005018844
sphenodon_punctatus ENSSPUG00000009301
phascolarctos_cinereus ENSPCIG00000011537
notamacropus_eugenii ENSMEUG00000014090
sarcophilus_harrisii ENSSHAG00000013114
monodelphis_domestica ENSMODG00000015442
sorex_araneus ENSSARG00000002702
dasypus_novemcinctus ENSDNOG00000024155
loxodonta_africana ENSLAFG00000003126
procavia_capensis ENSPCAG00000008317
echinops_telfairi ENSETEG00000009465
myotis_lucifugus ENSMLUG00000008272
erinaceus_europaeus ENSEEUG00000003934
neovison_vison ENSNVIG00000019128
mustela_putorius_furo ENSMPUG00000008616
canis_lupus_dingo ENSCAFG00020001686
canis_lupus_familiaris ENSCAFG00000006140
vulpes_vulpes ENSVVUG00000024431
ursus_americanus ENSUAMG00000026947
ursus_maritimus ENSUMAG00000004257
ailuropoda_melanoleuca ENSAMEG00000010675
panthera_pardus ENSPPRG00000010243
panthera_tigris_altaica ENSPTIG00000012903
felis_catus ENSFCAG00000044276
equus_asinus_asinus ENSEASG00005001215
equus_caballus ENSECAG00000017482
capra_hircus ENSCHIG00000020702
ovis_aries ENSOARG00000000500
bos_mutus ENSBMUG00000021273
bison_bison_bison ENSBBBG00000019995
bos_taurus ENSBTAG00000007922
tursiops_truncatus ENSTTRG00000007405
sus_scrofa ENSSSCG00000035181
vicugna_pacos ENSVPAG00000010354
pteropus_vampyrus ENSPVAG00000002207
chinchilla_lanigera ENSCLAG00000011849
octodon_degus ENSODEG00000005604
heterocephalus_glaber_male ENSHGLG00100015193
heterocephalus_glaber_female ENSHGLG00000010401
fukomys_damarensis ENSFDAG00000019492
cavia_aperea ENSCAPG00000007051
cavia_porcellus ENSCPOG00000002411
urocitellus_parryii ENSUPAG00010001803
ictidomys_tridecemlineatus ENSSTOG00000015491
spermophilus_dauricus ENSSDAG00000009592
oryctolagus_cuniculus ENSOCUG00000011224
cebus_capucinus ENSCCAG00000027867
saimiri_boliviensis_boliviensis ENSSBOG00000033843
callithrix_jacchus ENSCJAG00000021226
aotus_nancymaae ENSANAG00000027230
pan_troglodytes ENSPTRG00000049550
pan_paniscus ENSPPAG00000034565
gorilla_gorilla ENSGGOG00000014698
pongo_abelii ENSPPYG00000010805
nomascus_leucogenys ENSNLEG00000007674
macaca_nemestrina ENSMNEG00000038086
macaca_fascicularis ENSMFAG00000031331
macaca_mulatta ENSMMUG00000004703
chlorocebus_sabaeus ENSCSAG00000012914
cercocebus_atys ENSCATG00000039948
rhinopithecus_bieti ENSRBIG00000021788
rhinopithecus_roxellana ENSRROG00000044895
piliocolobus_tephrosceles ENSPTEG00000006793
theropithecus_gelada ENSTGEG00000013472
papio_anubis ENSPANG00000022391
colobus_angolensis_palliatus ENSCANG00000033234
mandrillus_leucophaeus ENSMLEG00000038261
homo_sapiens ENSG00000101236
carlito_syrichta ENSTSYG00000027917
dipodomys_ordii ENSDORG00000010880
castor_canadensis ENSCCNG00000015432
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025248
mus_musculus ENSMUSG00000048911
