gasterosteus_aculeatus ENSGACG00000018217
labrus_bergylta ENSLBEG00000021549
mola_mola ENSMMOG00000021130
tetraodon_nigroviridis ENSTNIG00000002624
gambusia_affinis ENSGAFG00000008772
periophthalmus_magnuspinnatus ENSPMGG00000024047
seriola_dumerili ENSSDUG00000020332
scophthalmus_maximus ENSSMAG00000016042
cynoglossus_semilaevis ENSCSEG00000020312
poecilia_mexicana ENSPMEG00000010730
poecilia_mexicana ENSPMEG00000010707
poecilia_formosa ENSPFOG00000003492
poecilia_latipinna ENSPLAG00000016767
cyprinodon_variegatus ENSCVAG00000022120
fundulus_heteroclitus ENSFHEG00000014843
kryptolebias_marmoratus ENSKMAG00000015758
oryzias_latipes ENSORLG00000030225
oryzias_latipes ENSORLG00020008622
oryzias_melastigma ENSOMEG00000019822
pundamilia_nyererei ENSPNYG00000009318
maylandia_zebra ENSMZEG00005016059
haplochromis_burtoni ENSHBUG00000010528
neolamprologus_brichardi ENSNBRG00000011243
oreochromis_niloticus ENSONIG00000013094
amphiprion_percula ENSAPEG00000004293
amphiprion_ocellaris ENSAOCG00000007698
acanthochromis_polyacanthus ENSAPOG00000007328
hippocampus_comes ENSHCOG00000012623
mastacembelus_armatus ENSMAMG00000004231
monopterus_albus ENSMALG00000005968
anabas_testudineus ENSATEG00000001261
gadus_morhua ENSGMOG00000005067
esox_lucius ENSELUG00000000780
danio_rerio ENSDARG00000099113
ictalurus_punctatus ENSIPUG00000022204
paramormyrops_kingsleyae ENSPKIG00000011739
scleropages_formosus ENSSFOG00015012316
takifugu_rubripes ENSTRUG00000019548
takifugu_rubripes ENSTRUG00000024997
xiphophorus_maculatus ENSXMAG00000004965
poecilia_reticulata ENSPREG00000005759
amphilophus_citrinellus ENSACIG00000001069
stegastes_partitus ENSSPAG00000022878
seriola_lalandi_dorsalis ENSSLDG00000021079
poecilia_latipinna ENSPLAG00000020641
oryzias_melastigma ENSOMEG00000009601
pundamilia_nyererei ENSPNYG00000005763
haplochromis_burtoni ENSHBUG00000005549
hippocampus_comes ENSHCOG00000008729
pygocentrus_nattereri ENSPNAG00000017769
paramormyrops_kingsleyae ENSPKIG00000021615
lepisosteus_oculatus ENSLOCG00000004466
vulpes_vulpes ENSVVUG00000025993
canis_lupus_dingo ENSCAFG00020016263
ursus_americanus ENSUAMG00000024298
ursus_maritimus ENSUMAG00000006433
spermophilus_dauricus ENSSDAG00000004729
procavia_capensis ENSPCAG00000001850
pan_troglodytes ENSPTRG00000020906
pan_paniscus ENSPPAG00000036786
pan_troglodytes ENSPTRG00000039184
homo_sapiens ENSG00000198722
gorilla_gorilla ENSGGOG00000013492
pongo_abelii ENSPPYG00000019100
nomascus_leucogenys ENSNLEG00000004514
mandrillus_leucophaeus ENSMLEG00000034951
cercocebus_atys ENSCATG00000030891
theropithecus_gelada ENSTGEG00000008377
papio_anubis ENSPANG00000025356
macaca_fascicularis ENSMFAG00000003353
macaca_nemestrina ENSMNEG00000035873
macaca_mulatta ENSMMUG00000016308
chlorocebus_sabaeus ENSCSAG00000010330
piliocolobus_tephrosceles ENSPTEG00000019493
colobus_angolensis_palliatus ENSCANG00000032296
rhinopithecus_roxellana ENSRROG00000032184
rhinopithecus_bieti ENSRBIG00000030923
callithrix_jacchus ENSCJAG00000009239
saimiri_boliviensis_boliviensis ENSSBOG00000028121
cebus_capucinus ENSCCAG00000012875
aotus_nancymaae ENSANAG00000028367
carlito_syrichta ENSTSYG00000011115
prolemur_simus ENSPSMG00000004969
microcebus_murinus ENSMICG00000000523
propithecus_coquereli ENSPCOG00000025805
otolemur_garnettii ENSOGAG00000013036
mus_spicilegus ENSMSIG00000017911
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026891
mus_musculus ENSMUSG00000028456
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025930
mus_pahari MGP_PahariEiJ_G0024075
meriones_unguiculatus ENSMUGG00000019933
peromyscus_maniculatus_bairdii ENSPEMG00000005721
microtus_ochrogaster ENSMOCG00000014687
cricetulus_griseus_crigri-picr ENSCGRG00015001750
cricetulus_griseus_chok1gshd ENSCGRG00001013114
cricetulus_griseus_crigri ENSCGRG00000011169
mesocricetus_auratus ENSMAUG00000015941
nannospalax_galili ENSNGAG00000008794
jaculus_jaculus ENSJJAG00000019777
dipodomys_ordii ENSDORG00000016518
octodon_degus ENSODEG00000014965
oryctolagus_cuniculus ENSOCUG00000011954
ochotona_princeps ENSOPRG00000008098
tupaia_belangeri ENSTBEG00000008973
neovison_vison ENSNVIG00000015744
mustela_putorius_furo ENSMPUG00000004754
ailuropoda_melanoleuca ENSAMEG00000015550
canis_lupus_familiaris ENSCAFG00000002030
panthera_pardus ENSPPRG00000019042
erinaceus_europaeus ENSEEUG00000009354
pteropus_vampyrus ENSPVAG00000009141
myotis_lucifugus ENSMLUG00000006184
ovis_aries ENSOARG00000012072
capra_hircus ENSCHIG00000012743
bos_mutus ENSBMUG00000023620
bos_taurus ENSBTAG00000011397
bison_bison_bison ENSBBBG00000003964
tursiops_truncatus ENSTTRG00000005102
vicugna_pacos ENSVPAG00000000523
equus_asinus_asinus ENSEASG00005013885
equus_caballus ENSECAG00000019234
choloepus_hoffmanni ENSCHOG00000013472
dasypus_novemcinctus ENSDNOG00000005992
echinops_telfairi ENSETEG00000020195
sorex_araneus ENSSARG00000011669
notamacropus_eugenii ENSMEUG00000003003
sarcophilus_harrisii ENSSHAG00000015662
monodelphis_domestica ENSMODG00000007685
ornithorhynchus_anatinus ENSOANG00000003455
meleagris_gallopavo ENSMGAG00000016981
meleagris_gallopavo ENSMGAG00000016478
coturnix_japonica ENSCJPG00005005997
lepidothrix_coronata ENSLCOG00000013615
manacus_vitellinus ENSMVIG00005013628
apteryx_owenii ENSAOWG00000015550
apteryx_haastii ENSAHAG00000005463
apteryx_owenii ENSAOWG00000014560
anolis_carolinensis ENSACAG00000015635
lonchura_striata_domestica ENSLSDG00000013425
taeniopygia_guttata ENSTGUG00000001785
serinus_canaria ENSSCAG00000003085
zonotrichia_albicollis ENSZALG00000008504
ficedula_albicollis ENSFALG00000009731
parus_major ENSPMJG00000005278
cyanistes_caeruleus ENSCCEG00000001394
melopsittacus_undulatus ENSMUNG00000006883
calidris_pygmaea ENSCPGG00000015998
calidris_pugnax ENSCPUG00000005639
gallus_gallus ENSGALG00000002165
numida_meleagris ENSNMEG00000015413
anas_platyrhynchos_platyrhynchos ENSAPLG00000003655
apteryx_rowi ENSARWG00000016318
nothoprocta_perdicaria ENSNPEG00000005975
dromaius_novaehollandiae ENSDNVG00000011892
crocodylus_porosus ENSCPRG00005015494
chrysemys_picta_bellii ENSCPBG00000024089
