oryctolagus_cuniculus ENSOCUG00000001669
ochotona_princeps ENSOPRG00000010521
heterocephalus_glaber_female ENSHGLG00000005928
papio_anubis ENSPANG00000021720
theropithecus_gelada ENSTGEG00000002391
cercocebus_atys ENSCATG00000043247
mandrillus_leucophaeus ENSMLEG00000000829
macaca_fascicularis ENSMFAG00000032177
macaca_mulatta ENSMMUG00000011237
macaca_nemestrina ENSMNEG00000036845
chlorocebus_sabaeus ENSCSAG00000007020
rhinopithecus_bieti ENSRBIG00000042005
rhinopithecus_roxellana ENSRROG00000017893
colobus_angolensis_palliatus ENSCANG00000030794
pan_troglodytes ENSPTRG00000028363
pan_troglodytes ENSPTRG00000049327
pan_paniscus ENSPPAG00000041678
gorilla_gorilla ENSGGOG00000007352
homo_sapiens ENSG00000204947
nomascus_leucogenys ENSNLEG00000003692
cebus_capucinus ENSCCAG00000035887
saimiri_boliviensis_boliviensis ENSSBOG00000025421
callithrix_jacchus ENSCJAG00000035501
aotus_nancymaae ENSANAG00000030471
carlito_syrichta ENSTSYG00000025410
prolemur_simus ENSPSMG00000015159
propithecus_coquereli ENSPCOG00000003477
microcebus_murinus ENSMICG00000036857
otolemur_garnettii ENSOGAG00000001561
ursus_maritimus ENSUMAG00000011351
ursus_americanus ENSUAMG00000026488
mustela_putorius_furo ENSMPUG00000006620
canis_lupus_dingo ENSCAFG00020006731
canis_lupus_familiaris ENSCAFG00000029606
vulpes_vulpes ENSVVUG00000009697
panthera_pardus ENSPPRG00000021296
panthera_tigris_altaica ENSPTIG00000008818
felis_catus ENSFCAG00000030634
equus_caballus ENSECAG00000009899
equus_asinus_asinus ENSEASG00005009011
myotis_lucifugus ENSMLUG00000015465
