piliocolobus_tephrosceles ENSPTEG00000032424
colobus_angolensis_palliatus ENSCANG00000015810
rhinopithecus_roxellana ENSRROG00000012799
papio_anubis ENSPANG00000029939
theropithecus_gelada ENSTGEG00000004482
macaca_mulatta ENSMMUG00000046015
macaca_fascicularis ENSMFAG00000016289
macaca_nemestrina ENSMNEG00000013615
mandrillus_leucophaeus ENSMLEG00000027413
cercocebus_atys ENSCATG00000005418
pan_troglodytes ENSPTRG00000052249
saimiri_boliviensis_boliviensis ENSSBOG00000031712
aotus_nancymaae ENSANAG00000032107
sus_scrofa ENSSSCG00000035086
