meleagris_gallopavo ENSMGAG00000014620
gallus_gallus ENSGALG00000043100
coturnix_japonica ENSCJPG00005016855
numida_meleagris ENSNMEG00000018339
anas_platyrhynchos_platyrhynchos ENSAPLG00000009886
anser_brachyrhynchus ENSABRG00000009514
manacus_vitellinus ENSMVIG00005013593
lepidothrix_coronata ENSLCOG00000003584
melopsittacus_undulatus ENSMUNG00000009666
calidris_pygmaea ENSCPGG00000015780
calidris_pugnax ENSCPUG00000018601
apteryx_owenii ENSAOWG00000005431
apteryx_rowi ENSARWG00000018297
apteryx_haastii ENSAHAG00000001261
dromaius_novaehollandiae ENSDNVG00000014269
taeniopygia_guttata ENSTGUG00000013722
taeniopygia_guttata ENSTGUG00000006739
lonchura_striata_domestica ENSLSDG00000006854
serinus_canaria ENSSCAG00000011573
junco_hyemalis ENSJHYG00000012490
zonotrichia_albicollis ENSZALG00000018201
cyanistes_caeruleus ENSCCEG00000012793
parus_major ENSPMJG00000011102
ficedula_albicollis ENSFALG00000001588
nothoprocta_perdicaria ENSNPEG00000001069
crocodylus_porosus ENSCPRG00005002901
gopherus_agassizii ENSGAGG00000012536
chelonoidis_abingdonii ENSCABG00000011810
chrysemys_picta_bellii ENSCPBG00000024694
pelodiscus_sinensis ENSPSIG00000010787
anolis_carolinensis ENSACAG00000014714
pogona_vitticeps ENSPVIG00000000281
notechis_scutatus ENSNSUG00000005464
notechis_scutatus ENSNSUG00000005792
salvator_merianae ENSSMRG00000022864
sphenodon_punctatus ENSSPUG00000005960
carlito_syrichta ENSTSYG00000000781
chlorocebus_sabaeus ENSCSAG00000018105
oryctolagus_cuniculus ENSOCUG00000008272
propithecus_coquereli ENSPCOG00000016159
microcebus_murinus ENSMICG00000001454
prolemur_simus ENSPSMG00000018951
otolemur_garnettii ENSOGAG00000010711
callithrix_jacchus ENSCJAG00000005292
saimiri_boliviensis_boliviensis ENSSBOG00000027895
aotus_nancymaae ENSANAG00000022863
pan_troglodytes ENSPTRG00000021796
pan_paniscus ENSPPAG00000036711
homo_sapiens ENSG00000101955
gorilla_gorilla ENSGGOG00000007123
pongo_abelii ENSPPYG00000020244
nomascus_leucogenys ENSNLEG00000001074
piliocolobus_tephrosceles ENSPTEG00000023583
colobus_angolensis_palliatus ENSCANG00000031055
rhinopithecus_bieti ENSRBIG00000007330
rhinopithecus_roxellana ENSRROG00000031414
papio_anubis ENSPANG00000011869
theropithecus_gelada ENSTGEG00000010746
mandrillus_leucophaeus ENSMLEG00000001117
macaca_nemestrina ENSMNEG00000038777
macaca_fascicularis ENSMFAG00000032104
macaca_mulatta ENSMMUG00000013135
cercocebus_atys ENSCATG00000033858
cebus_capucinus ENSCCAG00000025497
castor_canadensis ENSCCNG00000006569
chinchilla_lanigera ENSCLAG00000000198
octodon_degus ENSODEG00000000995
cavia_porcellus ENSCPOG00000013055
heterocephalus_glaber_female ENSHGLG00000013491
heterocephalus_glaber_male ENSHGLG00100002855
fukomys_damarensis ENSFDAG00000010981
ictidomys_tridecemlineatus ENSSTOG00000007767
spermophilus_dauricus ENSSDAG00000016280
marmota_marmota_marmota ENSMMMG00000010108
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034082
mus_musculus ENSMUSG00000090084
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032930
mus_pahari MGP_PahariEiJ_G0031477
rattus_norvegicus ENSRNOG00000039666
microtus_ochrogaster ENSMOCG00000000503
meriones_unguiculatus ENSMUGG00000011114
nannospalax_galili ENSNGAG00000020877
jaculus_jaculus ENSJJAG00000012346
dipodomys_ordii ENSDORG00000015046
ochotona_princeps ENSOPRG00000016785
tupaia_belangeri ENSTBEG00000004355
ursus_americanus ENSUAMG00000023528
ursus_maritimus ENSUMAG00000017486
ailuropoda_melanoleuca ENSAMEG00000007216
neovison_vison ENSNVIG00000014383
mustela_putorius_furo ENSMPUG00000012580
canis_lupus_dingo ENSCAFG00020008537
vulpes_vulpes ENSVVUG00000011256
panthera_pardus ENSPPRG00000002131
panthera_tigris_altaica ENSPTIG00000007460
erinaceus_europaeus ENSEEUG00000014004
bos_taurus ENSBTAG00000004280
ovis_aries ENSOARG00000000486
tursiops_truncatus ENSTTRG00000004908
vicugna_pacos ENSVPAG00000002593
sus_scrofa ENSSSCG00000012234
sorex_araneus ENSSARG00000007799
pteropus_vampyrus ENSPVAG00000014693
myotis_lucifugus ENSMLUG00000008997
equus_caballus ENSECAG00000018935
equus_asinus_asinus ENSEASG00005011658
procavia_capensis ENSPCAG00000006865
loxodonta_africana ENSLAFG00000002956
echinops_telfairi ENSETEG00000009192
dasypus_novemcinctus ENSDNOG00000049307
phascolarctos_cinereus ENSPCIG00000011583
notamacropus_eugenii ENSMEUG00000004761
sarcophilus_harrisii ENSSHAG00000001996
monodelphis_domestica ENSMODG00000021107
ornithorhynchus_anatinus ENSOANG00000007116
xenopus_tropicalis ENSXETG00000008596
latimeria_chalumnae ENSLACG00000016173
takifugu_rubripes ENSTRUG00000011607
tetraodon_nigroviridis ENSTNIG00000013905
mola_mola ENSMMOG00000019903
cynoglossus_semilaevis ENSCSEG00000003992
gasterosteus_aculeatus ENSGACG00000003318
labrus_bergylta ENSLBEG00000001038
xiphophorus_maculatus ENSXMAG00000011909
xiphophorus_couchianus ENSXCOG00000018885
poecilia_mexicana ENSPMEG00000007299
poecilia_formosa ENSPFOG00000014216
poecilia_latipinna ENSPLAG00000000286
poecilia_reticulata ENSPREG00000010207
fundulus_heteroclitus ENSFHEG00000000726
cyprinodon_variegatus ENSCVAG00000014418
kryptolebias_marmoratus ENSKMAG00000022123
oryzias_latipes ENSORLG00000009008
oryzias_latipes ENSORLG00020022533
oryzias_latipes_asm223469v1 ENSORLG00015020984
oryzias_melastigma ENSOMEG00000019129
amphiprion_percula ENSAPEG00000007930
amphiprion_ocellaris ENSAOCG00000007017
acanthochromis_polyacanthus ENSAPOG00000007919
stegastes_partitus ENSSPAG00000005947
maylandia_zebra ENSMZEG00005022268
astatotilapia_calliptera ENSACLG00000003162
pundamilia_nyererei ENSPNYG00000018652
haplochromis_burtoni ENSHBUG00000023194
neolamprologus_brichardi ENSNBRG00000005555
oreochromis_niloticus ENSONIG00000014280
