pundamilia_nyererei ENSPNYG00000019837
astatotilapia_calliptera ENSACLG00000005891
takifugu_rubripes ENSTRUG00000021351
cynoglossus_semilaevis ENSCSEG00000015630
cyprinodon_variegatus ENSCVAG00000012446
poecilia_mexicana ENSPMEG00000003185
oryzias_latipes ENSORLG00020015477
paramormyrops_kingsleyae ENSPKIG00000023698
esox_lucius ENSELUG00000023253
periophthalmus_magnuspinnatus ENSPMGG00000002875
periophthalmus_magnuspinnatus ENSPMGG00000020063
periophthalmus_magnuspinnatus ENSPMGG00000023004
takifugu_rubripes ENSTRUG00000021458
periophthalmus_magnuspinnatus ENSPMGG00000018620
cynoglossus_semilaevis ENSCSEG00000000823
lepidothrix_coronata ENSLCOG00000009133
cyanistes_caeruleus ENSCCEG00000004381
cyanistes_caeruleus ENSCCEG00000004208
parus_major ENSPMJG00000014820
lonchura_striata_domestica ENSLSDG00000000759
