latimeria_chalumnae ENSLACG00000011816
xenopus_tropicalis ENSXETG00000012786
scleropages_formosus ENSSFOG00015019941
paramormyrops_kingsleyae ENSPKIG00000010156
danio_rerio ENSDARG00000056292
esox_lucius ENSELUG00000017514
ictalurus_punctatus ENSIPUG00000013858
pygocentrus_nattereri ENSPNAG00000005509
amphiprion_ocellaris ENSAOCG00000012782
amphiprion_percula ENSAPEG00000016477
acanthochromis_polyacanthus ENSAPOG00000022207
stegastes_partitus ENSSPAG00000009106
gambusia_affinis ENSGAFG00000000816
xiphophorus_maculatus ENSXMAG00000016135
seriola_lalandi_dorsalis ENSSLDG00000017478
seriola_dumerili ENSSDUG00000004078
labrus_bergylta ENSLBEG00000028279
anabas_testudineus ENSATEG00000021999
mastacembelus_armatus ENSMAMG00000022512
cyprinodon_variegatus ENSCVAG00000004194
kryptolebias_marmoratus ENSKMAG00000016572
oryzias_latipes ENSORLG00000002999
oryzias_latipes_asm223469v1 ENSORLG00015002922
oryzias_latipes ENSORLG00020016625
maylandia_zebra ENSMZEG00005004056
pundamilia_nyererei ENSPNYG00000012173
astatotilapia_calliptera ENSACLG00000003666
haplochromis_burtoni ENSHBUG00000008796
neolamprologus_brichardi ENSNBRG00000009816
oreochromis_niloticus ENSONIG00000007081
amphilophus_citrinellus ENSACIG00000003497
tetraodon_nigroviridis ENSTNIG00000013369
takifugu_rubripes ENSTRUG00000004377
gasterosteus_aculeatus ENSGACG00000012138
scophthalmus_maximus ENSSMAG00000007488
oryzias_melastigma ENSOMEG00000022331
periophthalmus_magnuspinnatus ENSPMGG00000007862
hippocampus_comes ENSHCOG00000018109
gadus_morhua ENSGMOG00000017612
lepisosteus_oculatus ENSLOCG00000016788
gopherus_agassizii ENSGAGG00000020469
chelonoidis_abingdonii ENSCABG00000021560
chrysemys_picta_bellii ENSCPBG00000011431
pelodiscus_sinensis ENSPSIG00000003555
anser_brachyrhynchus ENSABRG00000002064
anas_platyrhynchos_platyrhynchos ENSAPLG00000014568
meleagris_gallopavo ENSMGAG00000007153
numida_meleagris ENSNMEG00000011011
gallus_gallus ENSGALG00000037576
coturnix_japonica ENSCJPG00005004210
calidris_pygmaea ENSCPGG00000014979
calidris_pugnax ENSCPUG00000003917
lepidothrix_coronata ENSLCOG00000012916
manacus_vitellinus ENSMVIG00005013619
ficedula_albicollis ENSFALG00000000735
taeniopygia_guttata ENSTGUG00000005139
cyanistes_caeruleus ENSCCEG00000002134
parus_major ENSPMJG00000003604
junco_hyemalis ENSJHYG00000010750
zonotrichia_albicollis ENSZALG00000005862
lonchura_striata_domestica ENSLSDG00000015910
apteryx_owenii ENSAOWG00000011462
apteryx_haastii ENSAHAG00000012428
dromaius_novaehollandiae ENSDNVG00000015233
nothoprocta_perdicaria ENSNPEG00000003621
anolis_carolinensis ENSACAG00000013710
pogona_vitticeps ENSPVIG00000005225
notechis_scutatus ENSNSUG00000016238
salvator_merianae ENSSMRG00000014910
phascolarctos_cinereus ENSPCIG00000025170
notamacropus_eugenii ENSMEUG00000003138
sarcophilus_harrisii ENSSHAG00000017959
monodelphis_domestica ENSMODG00000006351
dasypus_novemcinctus ENSDNOG00000002981
choloepus_hoffmanni ENSCHOG00000002739
capra_hircus ENSCHIG00000022900
ovis_aries ENSOARG00000006926
bos_taurus ENSBTAG00000003335
bos_mutus ENSBMUG00000006855
bison_bison_bison ENSBBBG00000022405
tursiops_truncatus ENSTTRG00000001632
sus_scrofa ENSSSCG00000023887
sorex_araneus ENSSARG00000013745
myotis_lucifugus ENSMLUG00000007341
ursus_americanus ENSUAMG00000006213
ailuropoda_melanoleuca ENSAMEG00000001543
neovison_vison ENSNVIG00000003262
mustela_putorius_furo ENSMPUG00000010705
canis_lupus_familiaris ENSCAFG00000004368
canis_lupus_dingo ENSCAFG00020005925
vulpes_vulpes ENSVVUG00000022428
panthera_pardus ENSPPRG00000002878
panthera_tigris_altaica ENSPTIG00000012183
felis_catus ENSFCAG00000014546
equus_caballus ENSECAG00000003028
prolemur_simus ENSPSMG00000010286
propithecus_coquereli ENSPCOG00000013919
microcebus_murinus ENSMICG00000002047
otolemur_garnettii ENSOGAG00000008500
pan_troglodytes ENSPTRG00000013337
pan_paniscus ENSPPAG00000040169
homo_sapiens ENSG00000100987
gorilla_gorilla ENSGGOG00000001283
pongo_abelii ENSPPYG00000010782
nomascus_leucogenys ENSNLEG00000015558
piliocolobus_tephrosceles ENSPTEG00000029786
colobus_angolensis_palliatus ENSCANG00000040616
rhinopithecus_bieti ENSRBIG00000032231
rhinopithecus_roxellana ENSRROG00000044921
papio_anubis ENSPANG00000021775
chlorocebus_sabaeus ENSCSAG00000018347
mandrillus_leucophaeus ENSMLEG00000002119
cercocebus_atys ENSCATG00000037882
theropithecus_gelada ENSTGEG00000020636
macaca_fascicularis ENSMFAG00000043885
macaca_nemestrina ENSMNEG00000013966
callithrix_jacchus ENSCJAG00000011818
saimiri_boliviensis_boliviensis ENSSBOG00000025683
cebus_capucinus ENSCCAG00000015659
aotus_nancymaae ENSANAG00000029622
ochotona_princeps ENSOPRG00000001494
oryctolagus_cuniculus ENSOCUG00000017055
chinchilla_lanigera ENSCLAG00000015160
cavia_porcellus ENSCPOG00000003951
octodon_degus ENSODEG00000010102
heterocephalus_glaber_female ENSHGLG00000000209
heterocephalus_glaber_male ENSHGLG00100012954
castor_canadensis ENSCCNG00000026141
castor_canadensis ENSCCNG00000007296
dipodomys_ordii ENSDORG00000005490
mus_spicilegus ENSMSIG00000000862
mus_musculus ENSMUSG00000033080
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025346
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024426
mus_pahari MGP_PahariEiJ_G0025869
rattus_norvegicus ENSRNOG00000042220
meriones_unguiculatus ENSMUGG00000003292
cricetulus_griseus_crigri-picr ENSCGRG00015005074
cricetulus_griseus_chok1gshd ENSCGRG00001021064
cricetulus_griseus_crigri ENSCGRG00000002906
mesocricetus_auratus ENSMAUG00000011376
peromyscus_maniculatus_bairdii ENSPEMG00000016349
microtus_ochrogaster ENSMOCG00000004010
jaculus_jaculus ENSJJAG00000021822
urocitellus_parryii ENSUPAG00010010081
marmota_marmota_marmota ENSMMMG00000021586
ictidomys_tridecemlineatus ENSSTOG00000026010
carlito_syrichta ENSTSYG00000011433
loxodonta_africana ENSLAFG00000018392
rattus_norvegicus ENSRNOG00000049311
caenorhabditis_elegans_strain_n2 WBGene00001096
