pan_troglodytes ENSPTRG00000034484
pan_paniscus ENSPPAG00000042288
homo_sapiens ENSG00000196642
gorilla_gorilla ENSGGOG00000014721
pongo_abelii ENSPPYG00000019786
nomascus_leucogenys ENSNLEG00000008449
piliocolobus_tephrosceles ENSPTEG00000025192
colobus_angolensis_palliatus ENSCANG00000027747
rhinopithecus_bieti ENSRBIG00000035338
rhinopithecus_roxellana ENSRROG00000043877
cercocebus_atys ENSCATG00000033696
mandrillus_leucophaeus ENSMLEG00000040336
papio_anubis ENSPANG00000026165
theropithecus_gelada ENSTGEG00000005953
macaca_fascicularis ENSMFAG00000043136
macaca_mulatta ENSMMUG00000005042
macaca_nemestrina ENSMNEG00000037443
chlorocebus_sabaeus ENSCSAG00000015993
saimiri_boliviensis_boliviensis ENSSBOG00000021920
cebus_capucinus ENSCCAG00000000520
callithrix_jacchus ENSCJAG00000011060
aotus_nancymaae ENSANAG00000038267
pongo_abelii ENSPPYG00000018566
carlito_syrichta ENSTSYG00000034556
propithecus_coquereli ENSPCOG00000005788
microcebus_murinus ENSMICG00000030076
prolemur_simus ENSPSMG00000006999
otolemur_garnettii ENSOGAG00000033737
castor_canadensis ENSCCNG00000021671
dipodomys_ordii ENSDORG00000012727
mus_musculus ENSMUSG00000015087
mus_spicilegus ENSMSIG00000022401
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024203
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023286
mus_pahari MGP_PahariEiJ_G0024744
rattus_norvegicus ENSRNOG00000016795
meriones_unguiculatus ENSMUGG00000005939
cricetulus_griseus_chok1gshd ENSCGRG00001012876
cricetulus_griseus_crigri ENSCGRG00000006418
cricetulus_griseus_crigri-picr ENSCGRG00015007848
mesocricetus_auratus ENSMAUG00000016473
peromyscus_maniculatus_bairdii ENSPEMG00000001339
microtus_ochrogaster ENSMOCG00000019161
nannospalax_galili ENSNGAG00000012515
jaculus_jaculus ENSJJAG00000014916
ictidomys_tridecemlineatus ENSSTOG00000021251
urocitellus_parryii ENSUPAG00010006504
marmota_marmota_marmota ENSMMMG00000009622
chinchilla_lanigera ENSCLAG00000005796
octodon_degus ENSODEG00000015751
cavia_porcellus ENSCPOG00000037140
cavia_aperea ENSCAPG00000001500
heterocephalus_glaber_female ENSHGLG00000011916
heterocephalus_glaber_male ENSHGLG00100011522
fukomys_damarensis ENSFDAG00000018443
myotis_lucifugus ENSMLUG00000002348
bison_bison_bison ENSBBBG00000000867
bos_mutus ENSBMUG00000001672
bos_taurus ENSBTAG00000039573
capra_hircus ENSCHIG00000026264
ovis_aries ENSOARG00000001552
tursiops_truncatus ENSTTRG00000002643
sus_scrofa ENSSSCG00000005841
ursus_americanus ENSUAMG00000001695
ursus_maritimus ENSUMAG00000023196
ailuropoda_melanoleuca ENSAMEG00000013211
neovison_vison ENSNVIG00000012800
mustela_putorius_furo ENSMPUG00000011046
canis_lupus_dingo ENSCAFG00020002727
canis_lupus_familiaris ENSCAFG00000019556
vulpes_vulpes ENSVVUG00000026058
felis_catus ENSFCAG00000012228
panthera_pardus ENSPPRG00000006495
equus_asinus_asinus ENSEASG00005017512
equus_caballus ENSECAG00000022075
pteropus_vampyrus ENSPVAG00000009631
erinaceus_europaeus ENSEEUG00000001304
dasypus_novemcinctus ENSDNOG00000042902
ochotona_princeps ENSOPRG00000016083
loxodonta_africana ENSLAFG00000029420
procavia_capensis ENSPCAG00000009404
