denticeps_clupeoides ENSDCDG00000016956
clupea_harengus ENSCHAG00000017570
astyanax_mexicanus ENSAMXG00005016008
astyanax_mexicanus ENSAMXG00000038020
astyanax_mexicanus ENSAMXG00000034859
pygocentrus_nattereri ENSPNAG00000015653
ictalurus_punctatus ENSIPUG00000006947
electrophorus_electricus ENSEEEG00000009004
danio_rerio ENSDARG00000079474
xiphophorus_maculatus ENSXMAG00000006105
xiphophorus_couchianus ENSXCOG00000017971
gambusia_affinis ENSGAFG00000022009
poecilia_formosa ENSPFOG00000022034
poecilia_latipinna ENSPLAG00000014181
poecilia_mexicana ENSPMEG00000006648
poecilia_reticulata ENSPREG00000012379
fundulus_heteroclitus ENSFHEG00000004285
cyprinodon_variegatus ENSCVAG00000012252
cyprinodon_variegatus ENSCVAG00000013022
kryptolebias_marmoratus ENSKMAG00000013019
oryzias_latipes ENSORLG00000028888
oryzias_latipes ENSORLG00015010022
oryzias_melastigma ENSOMEG00000011512
gouania_willdenowi ENSGWIG00000012194
tetraodon_nigroviridis ENSTNIG00000003697
takifugu_rubripes ENSTRUG00000022314
gasterosteus_aculeatus ENSGACG00000020133
anabas_testudineus ENSATEG00000016962
betta_splendens ENSBSLG00000002851
cynoglossus_semilaevis ENSCSEG00000017455
seriola_lalandi ENSSLDG00000000818
scophthalmus_maximus ENSSMAG00000005998
amphilophus_citrinellus ENSACIG00000017603
haplochromis_burtoni ENSHBUG00000021942
maylandia_zebra ENSMZEG00005023731
astatotilapia_calliptera ENSACLG00000002427
pundamilia_nyererei ENSPNYG00000015060
neolamprologus_brichardi ENSNBRG00000004690
oreochromis_niloticus ENSONIG00000015786
parambassis_ranga ENSPRNG00000012770
acanthochromis_polyacanthus ENSAPOG00000006432
seriola_dumerili ENSSDUG00000020996
lates_calcarifer ENSLCAG00010013621
larimichthys_crocea ENSLCRG00005022617
stegastes_partitus ENSSPAG00000022197
monopterus_albus ENSMALG00000005436
cottoperca_gobio ENSCGOG00000023128
labrus_bergylta ENSLBEG00000028574
mola_mola ENSMMOG00000006099
hippocampus_comes ENSHCOG00000007898
mastacembelus_armatus ENSMAMG00000000688
amphiprion_ocellaris ENSAOCG00000021123
amphiprion_percula ENSAPEG00000013620
periophthalmus_magnuspinnatus ENSPMGG00000023868
gadus_morhua ENSGMOG00000017730
hucho_hucho ENSHHUG00000006842
hucho_hucho ENSHHUG00000030290
esox_lucius ENSELUG00000015778
scleropages_formosus ENSSFOG00015011061
paramormyrops_kingsleyae ENSPKIG00000004896
lepisosteus_oculatus ENSLOCG00000005139
erpetoichthys_calabaricus ENSECRG00000021188
pogona_vitticeps ENSPVIG00000007423
anolis_carolinensis ENSACAG00000000234
notechis_scutatus ENSNSUG00000004300
salvator_merianae ENSSMRG00000008985
sphenodon_punctatus ENSSPUG00000001320
