paramormyrops_kingsleyae ENSPKIG00000024115
scleropages_formosus ENSSFOG00015017071
clupea_harengus ENSCHAG00000022924
denticeps_clupeoides ENSDCDG00000024637
ictalurus_punctatus ENSIPUG00000010297
electrophorus_electricus ENSEEEG00000000112
astyanax_mexicanus ENSAMXG00005021042
astyanax_mexicanus ENSAMXG00000039992
pygocentrus_nattereri ENSPNAG00000026203
danio_rerio ENSDARG00000076153
amphiprion_percula ENSAPEG00000009172
amphiprion_ocellaris ENSAOCG00000009529
acanthochromis_polyacanthus ENSAPOG00000018685
stegastes_partitus ENSSPAG00000014459
gouania_willdenowi ENSGWIG00000010649
oryzias_latipes ENSORLG00020004349
oryzias_latipes ENSORLG00000016430
oryzias_latipes ENSORLG00015023044
oryzias_melastigma ENSOMEG00000016137
cynoglossus_semilaevis ENSCSEG00000013980
larimichthys_crocea ENSLCRG00005001361
labrus_bergylta ENSLBEG00000002318
mola_mola ENSMMOG00000015586
cottoperca_gobio ENSCGOG00000021281
gasterosteus_aculeatus ENSGACG00000010887
poecilia_mexicana ENSPMEG00000016029
poecilia_mexicana ENSPMEG00000020125
poecilia_formosa ENSPFOG00000024557
poecilia_formosa ENSPFOG00000010382
poecilia_latipinna ENSPLAG00000016592
poecilia_latipinna ENSPLAG00000006470
poecilia_reticulata ENSPREG00000010871
xiphophorus_maculatus ENSXMAG00000004281
xiphophorus_couchianus ENSXCOG00000005240
gambusia_affinis ENSGAFG00000003671
fundulus_heteroclitus ENSFHEG00000018869
cyprinodon_variegatus ENSCVAG00000006614
kryptolebias_marmoratus ENSKMAG00000012744
parambassis_ranga ENSPRNG00000017065
astatotilapia_calliptera ENSACLG00000011185
maylandia_zebra ENSMZEG00005016219
pundamilia_nyererei ENSPNYG00000006437
haplochromis_burtoni ENSHBUG00000013037
neolamprologus_brichardi ENSNBRG00000019828
oreochromis_niloticus ENSONIG00000015355
amphilophus_citrinellus ENSACIG00000002417
monopterus_albus ENSMALG00000003580
mastacembelus_armatus ENSMAMG00000016867
anabas_testudineus ENSATEG00000005105
betta_splendens ENSBSLG00000025567
seriola_dumerili ENSSDUG00000013420
seriola_lalandi ENSSLDG00000000470
scophthalmus_maximus ENSSMAG00000011125
lates_calcarifer ENSLCAG00010015001
takifugu_rubripes ENSTRUG00000021948
periophthalmus_magnuspinnatus ENSPMGG00000018112
hippocampus_comes ENSHCOG00000007555
gadus_morhua ENSGMOG00000010075
esox_lucius ENSELUG00000005851
lepisosteus_oculatus ENSLOCG00000016242
erpetoichthys_calabaricus ENSECRG00000003287
anser_brachyrhynchus ENSABRG00000013835
anas_platyrhynchos ENSAPLG00000003360
gallus_gallus ENSGALG00000015878
coturnix_japonica ENSCJPG00005004400
numida_meleagris ENSNMEG00000011579
lepidothrix_coronata ENSLCOG00000015958
manacus_vitellinus ENSMVIG00005006545
taeniopygia_guttata ENSTGUG00000012586
lonchura_striata ENSLSDG00000005569
serinus_canaria ENSSCAG00000004652
zonotrichia_albicollis ENSZALG00000016257
junco_hyemalis ENSJHYG00000016001
ficedula_albicollis ENSFALG00000002657
cyanistes_caeruleus ENSCCEG00000019945
parus_major ENSPMJG00000003787
melopsittacus_undulatus ENSMUNG00000008741
