callorhinchus_milii ENSCMIG00000000354
erpetoichthys_calabaricus ENSECRG00000002295
latimeria_chalumnae ENSLACG00000003344
scleropages_formosus ENSSFOG00015000217
paramormyrops_kingsleyae ENSPKIG00000008386
electrophorus_electricus ENSEEEG00000011939
ictalurus_punctatus ENSIPUG00000011465
astyanax_mexicanus ENSAMXG00005014473
astyanax_mexicanus ENSAMXG00000033251
pygocentrus_nattereri ENSPNAG00000001783
danio_rerio ENSDARG00000099889
denticeps_clupeoides ENSDCDG00000035196
clupea_harengus ENSCHAG00000002811
gasterosteus_aculeatus ENSGACG00000015534
cottoperca_gobio ENSCGOG00000016953
labrus_bergylta ENSLBEG00000012320
lates_calcarifer ENSLCAG00010019705
parambassis_ranga ENSPRNG00000007735
parambassis_ranga ENSPRNG00000007707
cynoglossus_semilaevis ENSCSEG00000008768
fundulus_heteroclitus ENSFHEG00000013495
cyprinodon_variegatus ENSCVAG00000005807
poecilia_mexicana ENSPMEG00000010947
poecilia_latipinna ENSPLAG00000019529
poecilia_formosa ENSPFOG00000017908
poecilia_reticulata ENSPREG00000014837
xiphophorus_maculatus ENSXMAG00000006366
xiphophorus_couchianus ENSXCOG00000010287
gambusia_affinis ENSGAFG00000008994
kryptolebias_marmoratus ENSKMAG00000005114
oryzias_latipes ENSORLG00000023547
oryzias_latipes ENSORLG00020004773
oryzias_latipes ENSORLG00015008336
oryzias_melastigma ENSOMEG00000016154
maylandia_zebra ENSMZEG00005014344
astatotilapia_calliptera ENSACLG00000008700
haplochromis_burtoni ENSHBUG00000019513
pundamilia_nyererei ENSPNYG00000005336
neolamprologus_brichardi ENSNBRG00000020454
oreochromis_niloticus ENSONIG00000003650
amphilophus_citrinellus ENSACIG00000020763
gouania_willdenowi ENSGWIG00000003378
amphiprion_ocellaris ENSAOCG00000008299
amphiprion_percula ENSAPEG00000007759
acanthochromis_polyacanthus ENSAPOG00000022374
stegastes_partitus ENSSPAG00000016762
seriola_lalandi ENSSLDG00000018547
seriola_dumerili ENSSDUG00000018684
scophthalmus_maximus ENSSMAG00000002892
larimichthys_crocea ENSLCRG00005001063
mola_mola ENSMMOG00000002105
monopterus_albus ENSMALG00000005542
mastacembelus_armatus ENSMAMG00000022958
anabas_testudineus ENSATEG00000010891
betta_splendens ENSBSLG00000005882
takifugu_rubripes ENSTRUG00000011751
tetraodon_nigroviridis ENSTNIG00000010257
hippocampus_comes ENSHCOG00000007609
periophthalmus_magnuspinnatus ENSPMGG00000020743
gadus_morhua ENSGMOG00000016557
hucho_hucho ENSHHUG00000019168
hucho_hucho ENSHHUG00000019907
esox_lucius ENSELUG00000024114
lepisosteus_oculatus ENSLOCG00000009695
gopherus_agassizii ENSGAGG00000011269
chelonoidis_abingdonii ENSCABG00000008113
chrysemys_picta ENSCPBG00000006074
pelodiscus_sinensis ENSPSIG00000009800
calidris_pygmaea ENSCPGG00000000432
calidris_pugnax ENSCPUG00000004016
melopsittacus_undulatus ENSMUNG00000007259
junco_hyemalis ENSJHYG00000002627
zonotrichia_albicollis ENSZALG00000014150
serinus_canaria ENSSCAG00000012315
lonchura_striata ENSLSDG00000009940
taeniopygia_guttata ENSTGUG00000013509
cyanistes_caeruleus ENSCCEG00000002782
parus_major ENSPMJG00000012250
ficedula_albicollis ENSFALG00000001558
manacus_vitellinus ENSMVIG00005005488
lepidothrix_coronata ENSLCOG00000008804
anser_brachyrhynchus ENSABRG00000001660
anas_platyrhynchos ENSAPLG00000006438
meleagris_gallopavo ENSMGAG00000014435
coturnix_japonica ENSCJPG00005003348
gallus_gallus ENSGALG00000015453
numida_meleagris ENSNMEG00000010388
apteryx_owenii ENSAOWG00000002526
apteryx_haastii ENSAHAG00000012200
apteryx_rowi ENSARWG00000002923
nothoprocta_perdicaria ENSNPEG00000014143
dromaius_novaehollandiae ENSDNVG00000004711
anolis_carolinensis ENSACAG00000009644
pogona_vitticeps ENSPVIG00000010630
notechis_scutatus ENSNSUG00000016186
salvator_merianae ENSSMRG00000002252
microcebus_murinus ENSMICG00000048069
prolemur_simus ENSPSMG00000010097
propithecus_coquereli ENSPCOG00000015602
otolemur_garnettii ENSOGAG00000034721
pan_paniscus ENSPPAG00000029959
pan_troglodytes ENSPTRG00000022532
homo_sapiens ENSG00000198842
gorilla_gorilla ENSGGOG00000004523
nomascus_leucogenys ENSNLEG00000014783
piliocolobus_tephrosceles ENSPTEG00000021157
colobus_angolensis ENSCANG00000032161
rhinopithecus_bieti ENSRBIG00000038201
rhinopithecus_roxellana ENSRROG00000032684
theropithecus_gelada ENSTGEG00000008372
papio_anubis ENSPANG00000000175
cercocebus_atys ENSCATG00000033692
mandrillus_leucophaeus ENSMLEG00000030756
macaca_mulatta ENSMMUG00000051788
macaca_nemestrina ENSMNEG00000026724
macaca_fascicularis ENSMFAG00000005792
chlorocebus_sabaeus ENSCSAG00000010906
callithrix_jacchus ENSCJAG00000017165
saimiri_boliviensis ENSSBOG00000035084
cebus_capucinus ENSCCAG00000023849
aotus_nancymaae ENSANAG00000026682
carlito_syrichta ENSTSYG00000033256
mus_spicilegus ENSMSIG00000013107
mus_spretus MGP_SPRETEiJ_G0015619
mus_musculus ENSMUSG00000026564
mus_caroli MGP_CAROLIEiJ_G0014812
mus_pahari MGP_PahariEiJ_G0028049
rattus_norvegicus ENSRNOG00000003722
meriones_unguiculatus ENSMUGG00000015947
meriones_unguiculatus ENSMUGG00000015923
cricetulus_griseus ENSCGRG00001024829
cricetulus_griseus ENSCGRG00000015167
cricetulus_griseus ENSCGRG00015008389
mesocricetus_auratus ENSMAUG00000001597
microtus_ochrogaster ENSMOCG00000011284
peromyscus_maniculatus ENSPEMG00000023293
nannospalax_galili ENSNGAG00000021619
jaculus_jaculus ENSJJAG00000024394
dipodomys_ordii ENSDORG00000005388
chinchilla_lanigera ENSCLAG00000006188
octodon_degus ENSODEG00000002371
cavia_aperea ENSCAPG00000013649
cavia_porcellus ENSCPOG00000002322
heterocephalus_glaber ENSHGLG00000002484
heterocephalus_glaber ENSHGLG00100013946
fukomys_damarensis ENSFDAG00000005166
marmota_marmota ENSMMMG00000020541
ictidomys_tridecemlineatus ENSSTOG00000010472
oryctolagus_cuniculus ENSOCUG00000006203
tupaia_belangeri ENSTBEG00000008112
neovison_vison ENSNVIG00000008294
mustela_putorius ENSMPUG00000015676
ursus_maritimus ENSUMAG00000016578
ursus_americanus ENSUAMG00000018441
