vombatus_ursinus ENSVURG00010018736
phascolarctos_cinereus ENSPCIG00000007784
notamacropus_eugenii ENSMEUG00000009074
sarcophilus_harrisii ENSSHAG00000013309
monodelphis_domestica ENSMODG00000001777
pan_troglodytes ENSPTRG00000016981
pan_paniscus ENSPPAG00000043347
homo_sapiens ENSG00000164331
gorilla_gorilla ENSGGOG00000003298
pongo_abelii ENSPPYG00000015549
nomascus_leucogenys ENSNLEG00000004739
theropithecus_gelada ENSTGEG00000020848
papio_anubis ENSPANG00000009349
cercocebus_atys ENSCATG00000030220
mandrillus_leucophaeus ENSMLEG00000031536
chlorocebus_sabaeus ENSCSAG00000015506
macaca_nemestrina ENSMNEG00000030102
macaca_fascicularis ENSMFAG00000043204
macaca_mulatta ENSMMUG00000023513
colobus_angolensis ENSCANG00000040536
piliocolobus_tephrosceles ENSPTEG00000004124
rhinopithecus_roxellana ENSRROG00000036793
rhinopithecus_bieti ENSRBIG00000035499
saimiri_boliviensis ENSSBOG00000034212
saimiri_boliviensis ENSSBOG00000012619
cebus_capucinus ENSCCAG00000033227
callithrix_jacchus ENSCJAG00000016612
aotus_nancymaae ENSANAG00000038270
prolemur_simus ENSPSMG00000018804
propithecus_coquereli ENSPCOG00000018380
microcebus_murinus ENSMICG00000035309
otolemur_garnettii ENSOGAG00000000386
spermophilus_dauricus ENSSDAG00000007015
urocitellus_parryii ENSUPAG00010015076
marmota_marmota ENSMMMG00000002249
ictidomys_tridecemlineatus ENSSTOG00000008967
castor_canadensis ENSCCNG00000024670
mus_spretus MGP_SPRETEiJ_G0019701
mus_spicilegus ENSMSIG00000028570
mus_musculus ENSMUSG00000021661
mus_caroli MGP_CAROLIEiJ_G0018819
mus_pahari MGP_PahariEiJ_G0015894
rattus_norvegicus ENSRNOG00000048118
rattus_norvegicus ENSRNOG00000016622
meriones_unguiculatus ENSMUGG00000010120
peromyscus_maniculatus ENSPEMG00000018029
microtus_ochrogaster ENSMOCG00000014365
cricetulus_griseus ENSCGRG00001014449
cricetulus_griseus ENSCGRG00015008857
cricetulus_griseus ENSCGRG00000001399
mesocricetus_auratus ENSMAUG00000011981
nannospalax_galili ENSNGAG00000013698
jaculus_jaculus ENSJJAG00000024052
cavia_porcellus ENSCPOG00000006571
octodon_degus ENSODEG00000001906
chinchilla_lanigera ENSCLAG00000013134
heterocephalus_glaber ENSHGLG00000000772
heterocephalus_glaber ENSHGLG00100008768
fukomys_damarensis ENSFDAG00000007113
oryctolagus_cuniculus ENSOCUG00000000615
cavia_aperea ENSCAPG00000008605
dipodomys_ordii ENSDORG00000010493
peromyscus_maniculatus ENSPEMG00000015756
ochotona_princeps ENSOPRG00000012971
carlito_syrichta ENSTSYG00000008255
tupaia_belangeri ENSTBEG00000008828
sorex_araneus ENSSARG00000007678
dasypus_novemcinctus ENSDNOG00000043151
ursus_maritimus ENSUMAG00000007571
ursus_americanus ENSUAMG00000019505
ailuropoda_melanoleuca ENSAMEG00000011538
mustela_putorius ENSMPUG00000005857
neovison_vison ENSNVIG00000014580
canis_lupus ENSCAFG00020017236
canis_lupus ENSCAFG00000008224
vulpes_vulpes ENSVVUG00000007498
panthera_pardus ENSPPRG00000003108
panthera_tigris ENSPTIG00000015943
felis_catus ENSFCAG00000024372
ovis_aries ENSOARG00000004903
capra_hircus ENSCHIG00000021257
bos_indicus ENSBIXG00000015496
bos_indicus ENSBIXG00005018033
bos_mutus ENSBMUG00000023193
bos_taurus ENSBTAG00000018452
bison_bison ENSBBBG00000003201
tursiops_truncatus ENSTTRG00000007293
sus_scrofa ENSSSCG00000014070
vicugna_pacos ENSVPAG00000009608
myotis_lucifugus ENSMLUG00000008459
pteropus_vampyrus ENSPVAG00000007161
equus_asinus ENSEASG00005018107
equus_caballus ENSECAG00000021071
choloepus_hoffmanni ENSCHOG00000011832
loxodonta_africana ENSLAFG00000012578
procavia_capensis ENSPCAG00000012824
ornithorhynchus_anatinus ENSOANG00000010659
lonchura_striata ENSLSDG00000014228
taeniopygia_guttata ENSTGUG00000005875
serinus_canaria ENSSCAG00000004745
zonotrichia_albicollis ENSZALG00000016542
parus_major ENSPMJG00000016172
cyanistes_caeruleus ENSCCEG00000016334
ficedula_albicollis ENSFALG00000010222
manacus_vitellinus ENSMVIG00005014299
lepidothrix_coronata ENSLCOG00000000850
melopsittacus_undulatus ENSMUNG00000015952
calidris_pygmaea ENSCPGG00000005722
calidris_pugnax ENSCPUG00000010932
apteryx_haastii ENSAHAG00000012228
apteryx_owenii ENSAOWG00000007454
apteryx_rowi ENSARWG00000014546
dromaius_novaehollandiae ENSDNVG00000013092
anser_brachyrhynchus ENSABRG00000000152
anas_platyrhynchos ENSAPLG00000008765
nothoprocta_perdicaria ENSNPEG00000015925
meleagris_gallopavo ENSMGAG00000001932
coturnix_japonica ENSCJPG00005002011
gallus_gallus ENSGALG00000013511
numida_meleagris ENSNMEG00000008579
crocodylus_porosus ENSCPRG00005000842
chelonoidis_abingdonii ENSCABG00000022096
gopherus_agassizii ENSGAGG00000006618
chrysemys_picta ENSCPBG00000000509
pelodiscus_sinensis ENSPSIG00000014149
anolis_carolinensis ENSACAG00000009434
pogona_vitticeps ENSPVIG00000025328
notechis_scutatus ENSNSUG00000010939
salvator_merianae ENSSMRG00000006106
sphenodon_punctatus ENSSPUG00000000057
erinaceus_europaeus ENSEEUG00000008188
xenopus_tropicalis ENSXETG00000019317
latimeria_chalumnae ENSLACG00000003978
astyanax_mexicanus ENSAMXG00000009909
astyanax_mexicanus ENSAMXG00005019536
pygocentrus_nattereri ENSPNAG00000021321
electrophorus_electricus ENSEEEG00000014880
ictalurus_punctatus ENSIPUG00000005849
danio_rerio ENSDARG00000035399
denticeps_clupeoides ENSDCDG00000027948
periophthalmus_magnuspinnatus ENSPMGG00000017027
hippocampus_comes ENSHCOG00000008411
cottoperca_gobio ENSCGOG00000004121
gasterosteus_aculeatus ENSGACG00000015828
seriola_dumerili ENSSDUG00000005592
seriola_lalandi ENSSLDG00000014857
scophthalmus_maximus ENSSMAG00000011128
lates_calcarifer ENSLCAG00010021015
amphiprion_ocellaris ENSAOCG00000007921
amphiprion_percula ENSAPEG00000000895
stegastes_partitus ENSSPAG00000000508
parambassis_ranga ENSPRNG00000015537
maylandia_zebra ENSMZEG00005004645
astatotilapia_calliptera ENSACLG00000027357
pundamilia_nyererei ENSPNYG00000001843
haplochromis_burtoni ENSHBUG00000016544
neolamprologus_brichardi ENSNBRG00000009594
oreochromis_niloticus ENSONIG00000011171
amphilophus_citrinellus ENSACIG00000003574
tetraodon_nigroviridis ENSTNIG00000013435
takifugu_rubripes ENSTRUG00000018506
xiphophorus_maculatus ENSXMAG00000009076
xiphophorus_couchianus ENSXCOG00000017848
gambusia_affinis ENSGAFG00000000644
poecilia_formosa ENSPFOG00000012023
poecilia_mexicana ENSPMEG00000023941
poecilia_latipinna ENSPLAG00000006649
