clupea_harengus ENSCHAG00000014075
denticeps_clupeoides ENSDCDG00000026378
ictalurus_punctatus ENSIPUG00000022129
electrophorus_electricus ENSEEEG00000024389
astyanax_mexicanus ENSAMXG00000036925
astyanax_mexicanus ENSAMXG00005005472
pygocentrus_nattereri ENSPNAG00000019780
danio_rerio ENSDARG00000079333
hucho_hucho ENSHHUG00000044364
hucho_hucho ENSHHUG00000035582
esox_lucius ENSELUG00000003682
cottoperca_gobio ENSCGOG00000020162
gasterosteus_aculeatus ENSGACG00000017257
larimichthys_crocea ENSLCRG00005008737
amphiprion_percula ENSAPEG00000007155
amphiprion_ocellaris ENSAOCG00000020735
acanthochromis_polyacanthus ENSAPOG00000006556
stegastes_partitus ENSSPAG00000008666
parambassis_ranga ENSPRNG00000011027
gouania_willdenowi ENSGWIG00000016073
takifugu_rubripes ENSTRUG00000021595
tetraodon_nigroviridis ENSTNIG00000001027
mola_mola ENSMMOG00000001009
periophthalmus_magnuspinnatus ENSPMGG00000017912
fundulus_heteroclitus ENSFHEG00000016794
cyprinodon_variegatus ENSCVAG00000009012
xiphophorus_maculatus ENSXMAG00000025432
gambusia_affinis ENSGAFG00000019973
poecilia_formosa ENSPFOG00000013500
poecilia_mexicana ENSPMEG00000006861
poecilia_latipinna ENSPLAG00000009796
poecilia_reticulata ENSPREG00000010544
kryptolebias_marmoratus ENSKMAG00000001603
oryzias_latipes ENSORLG00000001744
oryzias_latipes ENSORLG00015010548
oryzias_latipes ENSORLG00020020996
oryzias_melastigma ENSOMEG00000016991
astatotilapia_calliptera ENSACLG00000000288
maylandia_zebra ENSMZEG00005006566
pundamilia_nyererei ENSPNYG00000012330
haplochromis_burtoni ENSHBUG00000015422
neolamprologus_brichardi ENSNBRG00000022073
oreochromis_niloticus ENSONIG00000002689
amphilophus_citrinellus ENSACIG00000011701
labrus_bergylta ENSLBEG00000010265
monopterus_albus ENSMALG00000009577
mastacembelus_armatus ENSMAMG00000020578
anabas_testudineus ENSATEG00000017506
betta_splendens ENSBSLG00000016119
scophthalmus_maximus ENSSMAG00000014515
cynoglossus_semilaevis ENSCSEG00000005310
lates_calcarifer ENSLCAG00010016599
seriola_dumerili ENSSDUG00000000418
seriola_lalandi ENSSLDG00000021322
hippocampus_comes ENSHCOG00000001095
gadus_morhua ENSGMOG00000004557
scleropages_formosus ENSSFOG00015011971
paramormyrops_kingsleyae ENSPKIG00000024874
