poecilia_latipinna ENSPLAG00000003082
poecilia_formosa ENSPFOG00000018095
poecilia_mexicana ENSPMEG00000003251
poecilia_reticulata ENSPREG00000006874
xiphophorus_maculatus ENSXMAG00000003606
xiphophorus_couchianus ENSXCOG00000013071
gambusia_affinis ENSGAFG00000016230
cyprinodon_variegatus ENSCVAG00000015737
fundulus_heteroclitus ENSFHEG00000003330
kryptolebias_marmoratus ENSKMAG00000013321
oryzias_latipes_asm223469v1 ENSORLG00015007590
oryzias_latipes ENSORLG00000016542
oryzias_latipes ENSORLG00020008405
oryzias_melastigma ENSOMEG00000003121
amphiprion_percula ENSAPEG00000021941
acanthochromis_polyacanthus ENSAPOG00000018614
tetraodon_nigroviridis ENSTNIG00000012668
takifugu_rubripes ENSTRUG00000014743
labrus_bergylta ENSLBEG00000008995
gasterosteus_aculeatus ENSGACG00000020051
maylandia_zebra ENSMZEG00005014611
astatotilapia_calliptera ENSACLG00000016461
haplochromis_burtoni ENSHBUG00000008341
pundamilia_nyererei ENSPNYG00000021854
neolamprologus_brichardi ENSNBRG00000011450
oreochromis_niloticus ENSONIG00000017822
amphilophus_citrinellus ENSACIG00000013451
stegastes_partitus ENSSPAG00000003501
monopterus_albus ENSMALG00000007876
mastacembelus_armatus ENSMAMG00000016338
anabas_testudineus ENSATEG00000022766
seriola_dumerili ENSSDUG00000016448
seriola_lalandi_dorsalis ENSSLDG00000004894
cynoglossus_semilaevis ENSCSEG00000004627
mola_mola ENSMMOG00000007070
periophthalmus_magnuspinnatus ENSPMGG00000023537
scophthalmus_maximus ENSSMAG00000005334
hippocampus_comes ENSHCOG00000017383
gadus_morhua ENSGMOG00000020120
esox_lucius ENSELUG00000003220
astyanax_mexicanus ENSAMXG00000040776
pygocentrus_nattereri ENSPNAG00000017881
ictalurus_punctatus ENSIPUG00000016864
danio_rerio ENSDARG00000006011
paramormyrops_kingsleyae ENSPKIG00000009132
scleropages_formosus ENSSFOG00015023076
lepisosteus_oculatus ENSLOCG00000017034
apteryx_haastii ENSAHAG00000019512
apteryx_owenii ENSAOWG00000011556
apteryx_rowi ENSARWG00000006887
dromaius_novaehollandiae ENSDNVG00000004088
nothoprocta_perdicaria ENSNPEG00000000439
calidris_pygmaea ENSCPGG00000019392
calidris_pugnax ENSCPUG00000003201
melopsittacus_undulatus ENSMUNG00000015545
lepidothrix_coronata ENSLCOG00000012876
manacus_vitellinus ENSMVIG00005019258
taeniopygia_guttata ENSTGUG00000012691
lonchura_striata_domestica ENSLSDG00000017804
ficedula_albicollis ENSFALG00000004622
serinus_canaria ENSSCAG00000010455
junco_hyemalis ENSJHYG00000008230
parus_major ENSPMJG00000001166
cyanistes_caeruleus ENSCCEG00000019172
anser_brachyrhynchus ENSABRG00000022426
anas_platyrhynchos_platyrhynchos ENSAPLG00000013469
gallus_gallus ENSGALG00000017296
coturnix_japonica ENSCJPG00005016214
meleagris_gallopavo ENSMGAG00000013868
numida_meleagris ENSNMEG00000003382
crocodylus_porosus ENSCPRG00005001305
gopherus_agassizii ENSGAGG00000017593
chelonoidis_abingdonii ENSCABG00000015004
chrysemys_picta_bellii ENSCPBG00000000661
pelodiscus_sinensis ENSPSIG00000014309
pogona_vitticeps ENSPVIG00000005019
salvator_merianae ENSSMRG00000008092
anolis_carolinensis ENSACAG00000002456
notechis_scutatus ENSNSUG00000006451
sphenodon_punctatus ENSSPUG00000018551
phascolarctos_cinereus ENSPCIG00000013304
notamacropus_eugenii ENSMEUG00000003903
sarcophilus_harrisii ENSSHAG00000010220
monodelphis_domestica ENSMODG00000014421
homo_sapiens ENSG00000087448
gorilla_gorilla ENSGGOG00000043294
pan_troglodytes ENSPTRG00000004793
pongo_abelii ENSPPYG00000004385
pan_paniscus ENSPPAG00000041574
nomascus_leucogenys ENSNLEG00000005575
mandrillus_leucophaeus ENSMLEG00000037264
colobus_angolensis_palliatus ENSCANG00000041313
rhinopithecus_roxellana ENSRROG00000042449
rhinopithecus_bieti ENSRBIG00000031909
piliocolobus_tephrosceles ENSPTEG00000028488
macaca_fascicularis ENSMFAG00000037607
macaca_nemestrina ENSMNEG00000042886
macaca_mulatta ENSMMUG00000021742
papio_anubis ENSPANG00000003392
theropithecus_gelada ENSTGEG00000027849
cercocebus_atys ENSCATG00000032112
chlorocebus_sabaeus ENSCSAG00000007574
cebus_capucinus ENSCCAG00000037388
saimiri_boliviensis_boliviensis ENSSBOG00000015570
callithrix_jacchus ENSCJAG00000047536
aotus_nancymaae ENSANAG00000036568
carlito_syrichta ENSTSYG00000003823
prolemur_simus ENSPSMG00000016459
propithecus_coquereli ENSPCOG00000028752
microcebus_murinus ENSMICG00000032471
otolemur_garnettii ENSOGAG00000010636
urocitellus_parryii ENSUPAG00010016913
ictidomys_tridecemlineatus ENSSTOG00000022449
marmota_marmota_marmota ENSMMMG00000021720
spermophilus_dauricus ENSSDAG00000016145
procavia_capensis ENSPCAG00000004265
loxodonta_africana ENSLAFG00000027183
choloepus_hoffmanni ENSCHOG00000006986
ursus_americanus ENSUAMG00000024914
ursus_maritimus ENSUMAG00000001605
ailuropoda_melanoleuca ENSAMEG00000011549
neovison_vison ENSNVIG00000002055
mustela_putorius_furo ENSMPUG00000010950
canis_lupus_familiaris ENSCAFG00000010957
canis_lupus_dingo ENSCAFG00020013524
vulpes_vulpes ENSVVUG00000030233
panthera_pardus ENSPPRG00000023573
panthera_tigris_altaica ENSPTIG00000016956
felis_catus ENSFCAG00000043246
equus_caballus ENSECAG00000036387
equus_asinus_asinus ENSEASG00005006642
myotis_lucifugus ENSMLUG00000003294
pteropus_vampyrus ENSPVAG00000016546
oryctolagus_cuniculus ENSOCUG00000016233
ochotona_princeps ENSOPRG00000007930
nannospalax_galili ENSNGAG00000000726
echinops_telfairi ENSETEG00000010574
ovis_aries ENSOARG00000019677
capra_hircus ENSCHIG00000016441
bos_taurus ENSBTAG00000006372
bos_mutus ENSBMUG00000023099
bison_bison_bison ENSBBBG00000025229
vicugna_pacos ENSVPAG00000012175
tursiops_truncatus ENSTTRG00000012467
sus_scrofa ENSSSCG00000000545
chinchilla_lanigera ENSCLAG00000001746
octodon_degus ENSODEG00000006031
cavia_porcellus ENSCPOG00000003096
heterocephalus_glaber_female ENSHGLG00000001724
heterocephalus_glaber_male ENSHGLG00100007245
fukomys_damarensis ENSFDAG00000011482
cricetulus_griseus_chok1gshd ENSCGRG00001018708
cricetulus_griseus_crigri-picr ENSCGRG00015003416
cricetulus_griseus_crigri ENSCGRG00000004600
mesocricetus_auratus ENSMAUG00000000106
peromyscus_maniculatus_bairdii ENSPEMG00000025004
microtus_ochrogaster ENSMOCG00000007352
mus_spicilegus ENSMSIG00000013586
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030121
mus_musculus ENSMUSG00000040102
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029066
mus_pahari MGP_PahariEiJ_G0022827
rattus_norvegicus ENSRNOG00000001844
meriones_unguiculatus ENSMUGG00000010515
dasypus_novemcinctus ENSDNOG00000003069
erinaceus_europaeus ENSEEUG00000008282
castor_canadensis ENSCCNG00000017214
xenopus_tropicalis ENSXETG00000031576
latimeria_chalumnae ENSLACG00000013082
