oryctolagus_cuniculus ENSOCUG00000010007
ochotona_princeps ENSOPRG00000003669
tupaia_belangeri ENSTBEG00000014374
pan_paniscus ENSPPAG00000035791
pan_troglodytes ENSPTRG00000000491
gorilla_gorilla ENSGGOG00000014013
homo_sapiens ENSG00000134684
pongo_abelii ENSPPYG00000001585
nomascus_leucogenys ENSNLEG00000002922
piliocolobus_tephrosceles ENSPTEG00000023048
colobus_angolensis_palliatus ENSCANG00000038285
rhinopithecus_roxellana ENSRROG00000039913
rhinopithecus_bieti ENSRBIG00000044271
cercocebus_atys ENSCATG00000044394
mandrillus_leucophaeus ENSMLEG00000041315
papio_anubis ENSPANG00000009804
theropithecus_gelada ENSTGEG00000016410
macaca_mulatta ENSMMUG00000019746
macaca_nemestrina ENSMNEG00000031865
macaca_fascicularis ENSMFAG00000040933
chlorocebus_sabaeus ENSCSAG00000001062
callithrix_jacchus ENSCJAG00000001037
saimiri_boliviensis_boliviensis ENSSBOG00000030205
cebus_capucinus ENSCCAG00000036757
aotus_nancymaae ENSANAG00000034533
carlito_syrichta ENSTSYG00000005019
propithecus_coquereli ENSPCOG00000021026
prolemur_simus ENSPSMG00000019131
microcebus_murinus ENSMICG00000011204
otolemur_garnettii ENSOGAG00000007359
castor_canadensis ENSCCNG00000006667
dipodomys_ordii ENSDORG00000011871
mus_spicilegus ENSMSIG00000002252
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027493
mus_musculus ENSMUSG00000028811
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026513
mus_pahari MGP_PahariEiJ_G0028844
rattus_norvegicus ENSRNOG00000007213
meriones_unguiculatus ENSMUGG00000003921
cricetulus_griseus_crigri ENSCGRG00000007526
cricetulus_griseus_chok1gshd ENSCGRG00001010863
cricetulus_griseus_crigri-picr ENSCGRG00015008983
mesocricetus_auratus ENSMAUG00000021126
peromyscus_maniculatus_bairdii ENSPEMG00000010746
microtus_ochrogaster ENSMOCG00000011342
nannospalax_galili ENSNGAG00000001419
jaculus_jaculus ENSJJAG00000013281
chinchilla_lanigera ENSCLAG00000008977
octodon_degus ENSODEG00000005363
cavia_aperea ENSCAPG00000008627
cavia_porcellus ENSCPOG00000009614
heterocephalus_glaber_female ENSHGLG00000013843
heterocephalus_glaber_male ENSHGLG00100002785
heterocephalus_glaber_male ENSHGLG00100020546
fukomys_damarensis ENSFDAG00000006620
spermophilus_dauricus ENSSDAG00000012030
ictidomys_tridecemlineatus ENSSTOG00000012031
urocitellus_parryii ENSUPAG00010005436
marmota_marmota_marmota ENSMMMG00000008699
loxodonta_africana ENSLAFG00000003786
procavia_capensis ENSPCAG00000011170
echinops_telfairi ENSETEG00000000215
choloepus_hoffmanni ENSCHOG00000003939
dasypus_novemcinctus ENSDNOG00000000536
ursus_americanus ENSUAMG00000000392
ursus_maritimus ENSUMAG00000008312
ailuropoda_melanoleuca ENSAMEG00000007476
neovison_vison ENSNVIG00000016890
mustela_putorius_furo ENSMPUG00000015207
canis_lupus_familiaris ENSCAFG00000010481
canis_lupus_dingo ENSCAFG00020025379
vulpes_vulpes ENSVVUG00000015468
panthera_tigris_altaica ENSPTIG00000003438
panthera_pardus ENSPPRG00000023768
felis_catus ENSFCAG00000000704
equus_asinus_asinus ENSEASG00005011762
equus_caballus ENSECAG00000010015
myotis_lucifugus ENSMLUG00000000759
pteropus_vampyrus ENSPVAG00000010984
vicugna_pacos ENSVPAG00000010958
sus_scrofa ENSSSCG00000030369
capra_hircus ENSCHIG00000014340
ovis_aries ENSOARG00000020897
bos_mutus ENSBMUG00000009143
bos_taurus ENSBTAG00000018065
bison_bison_bison ENSBBBG00000002320
tursiops_truncatus ENSTTRG00000014987
erinaceus_europaeus ENSEEUG00000005992
sorex_araneus ENSSARG00000012227
phascolarctos_cinereus ENSPCIG00000022457
notamacropus_eugenii ENSMEUG00000011824
monodelphis_domestica ENSMODG00000017404
sarcophilus_harrisii ENSSHAG00000011851
ornithorhynchus_anatinus ENSOANG00000011779
pogona_vitticeps ENSPVIG00000013839
anolis_carolinensis ENSACAG00000003568
notechis_scutatus ENSNSUG00000012127
salvator_merianae ENSSMRG00000015920
sphenodon_punctatus ENSSPUG00000000333
junco_hyemalis ENSJHYG00000007346
zonotrichia_albicollis ENSZALG00000012252
serinus_canaria ENSSCAG00000005070
taeniopygia_guttata ENSTGUG00000001342
lonchura_striata_domestica ENSLSDG00000004686
parus_major ENSPMJG00000006050
cyanistes_caeruleus ENSCCEG00000018716
ficedula_albicollis ENSFALG00000000592
lepidothrix_coronata ENSLCOG00000008966
manacus_vitellinus ENSMVIG00005011895
melopsittacus_undulatus ENSMUNG00000001695
calidris_pugnax ENSCPUG00000018224
calidris_pygmaea ENSCPGG00000014451
anas_platyrhynchos_platyrhynchos ENSAPLG00000005739
anser_brachyrhynchus ENSABRG00000020287
coturnix_japonica ENSCJPG00005001396
meleagris_gallopavo ENSMGAG00000005063
gallus_gallus ENSGALG00000003563
numida_meleagris ENSNMEG00000007518
apteryx_owenii ENSAOWG00000002301
apteryx_haastii ENSAHAG00000008383
apteryx_rowi ENSARWG00000011009
dromaius_novaehollandiae ENSDNVG00000009954
nothoprocta_perdicaria ENSNPEG00000009330
crocodylus_porosus ENSCPRG00005002375
chelonoidis_abingdonii ENSCABG00000018780
gopherus_agassizii ENSGAGG00000024290
chrysemys_picta_bellii ENSCPBG00000010998
pelodiscus_sinensis ENSPSIG00000006945
xenopus_tropicalis ENSXETG00000027865
latimeria_chalumnae ENSLACG00000015577
astyanax_mexicanus ENSAMXG00000010993
pygocentrus_nattereri ENSPNAG00000009622
ictalurus_punctatus ENSIPUG00000021749
danio_rerio ENSDARG00000035913
poecilia_formosa ENSPFOG00000014808
poecilia_latipinna ENSPLAG00000020075
