amphiprion_percula ENSAPEG00000003220
amphiprion_ocellaris ENSAOCG00000010538
acanthochromis_polyacanthus ENSAPOG00000021374
stegastes_partitus ENSSPAG00000006469
parambassis_ranga ENSPRNG00000003891
poecilia_mexicana ENSPMEG00000018028
poecilia_formosa ENSPFOG00000003579
poecilia_latipinna ENSPLAG00000022874
poecilia_reticulata ENSPREG00000018555
xiphophorus_maculatus ENSXMAG00000008372
xiphophorus_couchianus ENSXCOG00000004480
gambusia_affinis ENSGAFG00000021636
fundulus_heteroclitus ENSFHEG00000000706
kryptolebias_marmoratus ENSKMAG00000016531
oryzias_latipes ENSORLG00020016013
oryzias_latipes ENSORLG00000023743
oryzias_latipes ENSORLG00015022396
oryzias_melastigma ENSOMEG00000022036
astatotilapia_calliptera ENSACLG00000002994
neolamprologus_brichardi ENSNBRG00000012134
maylandia_zebra ENSMZEG00005008983
amphilophus_citrinellus ENSACIG00000002058
gouania_willdenowi ENSGWIG00000019136
monopterus_albus ENSMALG00000005742
mastacembelus_armatus ENSMAMG00000018687
anabas_testudineus ENSATEG00000020228
seriola_dumerili ENSSDUG00000014970
seriola_lalandi ENSSLDG00000008523
lates_calcarifer ENSLCAG00010009253
scophthalmus_maximus ENSSMAG00000017762
labrus_bergylta ENSLBEG00000026217
larimichthys_crocea ENSLCRG00005019194
gasterosteus_aculeatus ENSGACG00000017759
cottoperca_gobio ENSCGOG00000001669
takifugu_rubripes ENSTRUG00000019937
tetraodon_nigroviridis ENSTNIG00000006464
mola_mola ENSMMOG00000003070
hippocampus_comes ENSHCOG00000014061
hippocampus_comes ENSHCOG00000013980
periophthalmus_magnuspinnatus ENSPMGG00000008147
latimeria_chalumnae ENSLACG00000000210
urocitellus_parryii ENSUPAG00010011990
ciona_savignyi ENSCSAVG00000003323
